Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,60.580002,61.02,59.529999,60.509998,6373400,59.970014,-0.115556285389
2015-03-10,60.220001,60.220001,59.220001,59.43,4620000,58.899654,-1.31185816486
2015-03-11,59.619999,59.950001,59.34,59.59,3967200,59.058226,-0.0503170085595
2015-03-12,59.84,61.900002,59.830002,61.650002,6178300,61.099844,3.02473596257
2015-03-13,61.459999,61.57,60.57,60.93,4290400,60.386268,-0.862347882563
2015-03-16,61.200001,62.200001,60.869999,62.080002,3985000,61.526007,1.43791010722
2015-03-17,61.509998,62.02,61.150002,61.77,4219100,61.218772,0.422698761915
2015-03-18,61.619999,63.419998,61.369999,63.110001,5385900,62.546814,2.41804937387
2015-03-19,62.830002,63.259998,62.34,62.630001,4105400,62.071098,-0.318320855696
2015-03-20,63.220001,63.709999,62.93,63.349998,9595800,62.78467,0.205626380803
2015-03-23,63.32,63.650002,62.57,62.68,4033800,62.120651,-1.01073910297
2015-03-24,62.549999,63.25,62.369999,62.380001,3789100,61.823329,-0.271779380844
2015-03-25,62.310001,62.459999,61.099998,61.509998,4488700,60.96109,-1.28390785935
2015-03-26,61.25,61.630001,60.759998,61.0,4606100,60.455643,-0.408163265306
2015-03-27,61.5,62.029999,61.110001,61.209999,7933300,60.663768,-0.471546341463
2015-03-30,61.43,62.07,61.41,61.869999,3950200,61.317878,0.716260784633
2015-03-31,61.619999,61.810001,60.48,60.630001,6534800,60.088946,-1.60661800725
2015-04-01,60.43,60.73,59.09,59.619999,7795800,59.087957,-1.34039549892
2015-04-02,59.52,61.490002,59.110001,61.16,9528400,60.614215,2.75537634409
2015-04-06,60.630001,61.720001,60.419998,60.889999,4440100,60.346624,0.428827306138
2015-04-07,60.700001,61.52,60.700001,60.880001,2702900,60.336715,0.296540357553
2015-04-08,61.029999,61.669998,60.799999,61.27,3739600,60.723234,0.393250866676
2015-04-09,61.27,61.610001,60.610001,61.200001,2954200,60.653859,-0.114246776563
2015-04-10,61.470001,61.779999,61.139999,61.599998,2789500,61.050287,0.211480393501
2015-04-13,61.689999,61.919998,61.279999,61.32,2607200,60.772787,-0.599771447557
2015-04-14,61.299999,61.619999,61.0,61.5,2345500,60.951181,0.326265910706
2015-04-15,61.529999,62.0,61.459999,61.66,2747100,61.109753,0.211280679527
2015-04-16,61.560001,62.09,61.360001,61.779999,3493100,61.228681,0.35737166411
2015-04-17,61.330002,61.34,60.189999,60.68,3899500,60.138499,-1.05984343519
2015-04-20,61.110001,61.380001,60.939999,61.200001,1915800,60.653859,0.147275402597
2015-04-21,61.380001,61.82,61.169998,61.48,2025500,60.931359,0.162917885909
2015-04-22,61.5,61.720001,60.939999,61.57,1594200,61.020556,0.113821138211
2015-04-23,61.59,62.080002,61.32,61.630001,2640000,61.080022,0.0649472316935
2015-04-24,62.009998,62.779999,61.720001,62.720001,3816800,62.160295,1.14498149153
2015-04-27,62.779999,63.310001,61.650002,61.700001,3589900,61.149397,-1.72028992864
2015-04-28,61.509998,61.84,60.869999,61.599998,2932700,61.050287,0.146317676681
2015-04-29,61.549999,63.009998,61.459999,62.77,4079600,62.209848,1.98213000783
2015-04-30,62.5,63.040001,61.790001,62.130001,3382300,61.57556,-0.5919984
2015-05-01,62.41,62.990002,62.0,62.630001,2614400,62.071098,0.352509213267
2015-05-04,62.950001,63.200001,62.5,62.619999,2656400,62.061185,-0.524228744651
2015-05-05,62.669998,62.810001,61.639999,61.77,3475200,61.218772,-1.43609067931
2015-05-06,61.779999,61.869999,60.779999,61.119999,3345300,60.574571,-1.06830691273
2015-05-07,61.209999,61.599998,60.889999,61.220001,5040800,60.673681,0.0163404675109
2015-05-08,63.82,63.950001,59.68,60.82,9050700,60.277249,-4.70072077719
2015-05-11,60.900002,61.150002,59.439999,59.669998,5981200,59.13751,-2.01971093531
2015-05-12,59.439999,60.200001,58.759998,59.720001,4536000,59.187067,0.471066629729
2015-05-13,59.77,60.139999,59.34,59.720001,3520400,59.187067,-0.0836523339468
2015-05-14,60.110001,60.259998,59.52,59.639999,2447700,59.107779,-0.7819031645
2015-05-15,59.619999,60.0,59.389999,59.950001,2853700,59.415014,0.553508898918
2015-05-18,59.98,60.950001,59.919998,60.779999,2635900,60.237605,1.33377625875
2015-05-19,60.84,61.09,60.5,60.700001,2531000,60.158321,-0.230110124918
2015-05-20,60.889999,61.43,60.52,61.080002,2193000,60.534931,0.312043033537
2015-05-21,60.91,62.049999,60.869999,61.810001,2272400,61.258416,1.47759152848
2015-05-22,61.900002,61.959999,61.43,61.59,1631600,61.040378,-0.500810969279
2015-05-26,61.52,61.919998,60.5,60.68,3269000,60.138499,-1.36540962289
2015-05-27,60.759998,62.919998,60.419998,62.650002,5527000,62.09092,3.11060576401
2015-05-28,62.360001,62.970001,61.77,62.029999,3659700,61.47645,-0.529188573939
2015-05-29,61.880001,62.080002,61.599998,61.720001,3386100,61.169219,-0.258564960269
2015-06-01,61.959999,62.389999,61.439999,61.5,3417700,60.951181,-0.74241285898
2015-06-02,61.5,62.099998,61.169998,61.650002,2872300,61.099844,0.243905691057
2015-06-03,62.029999,62.509998,61.619999,62.220001,4915500,61.664757,0.306306630764
2015-06-04,61.880001,62.459999,61.549999,61.740002,3387100,61.189041,-0.226242724204
2015-06-05,61.5,61.93,61.139999,61.330002,2918200,60.7827,-0.276419512195
2015-06-08,60.900002,60.970001,60.259998,60.279999,2916100,59.888541,-1.01806729005
2015-06-09,60.220001,60.34,59.130001,59.849998,2964800,59.461333,-0.614418787539
2015-06-10,60.009998,60.619999,59.34,59.490002,5299100,59.103674,-0.866515609616
2015-06-11,59.5,59.869999,58.279999,58.77,5637000,58.388349,-1.2268907563
2015-06-12,58.650002,58.880001,58.259998,58.490002,3563700,58.110168,-0.272804764781
2015-06-15,58.150002,58.450001,57.91,58.139999,3556600,57.762439,-0.0172020630369
2015-06-16,58.130001,58.23,57.59,57.689999,3490400,57.315361,-0.756927563101
2015-06-17,57.709999,58.400002,57.459999,58.0,4115900,57.623349,0.502514304324
2015-06-18,58.080002,58.75,58.080002,58.509998,3087400,58.130035,0.740351214175
2015-06-19,58.330002,58.700001,58.0,58.060001,4050800,57.682961,-0.462885291861
2015-06-22,58.27,58.549999,58.130001,58.34,2237400,57.961141,0.120130427321
2015-06-23,58.59,58.610001,57.869999,58.09,2756700,57.712765,-0.853387950162
2015-06-24,57.970001,58.02,56.759998,56.77,4560900,56.401337,-2.07003791496
2015-06-25,56.880001,57.549999,56.700001,57.130001,5513700,56.759,0.439521792554
2015-06-26,57.41,57.669998,56.810001,57.0,4212100,56.629843,-0.714161295941
2015-06-29,56.59,56.84,55.209999,55.330002,4763400,54.97069,-2.22653825764
2015-06-30,57.740002,57.740002,55.279999,55.5,4208500,55.139584,-3.87946297612
2015-07-01,55.889999,56.119999,55.439999,55.93,3570200,55.566792,0.0715709442042
2015-07-02,56.09,56.389999,55.330002,55.52,2634600,55.159454,-1.01622392583
2015-07-06,54.900002,55.16,54.610001,54.889999,4243900,54.533545,-0.0182204000648
2015-07-07,54.869999,55.630001,54.18,55.580002,5679400,55.219066,1.29397305074
2015-07-08,55.02,55.25,54.080002,54.279999,5715600,53.927505,-1.34496728462
2015-07-09,54.740002,54.939999,54.02,54.25,6978100,53.897701,-0.895144285892
2015-07-10,54.869999,55.189999,54.459999,54.849998,4127800,54.493803,-0.0364516135676
2015-07-13,55.450001,55.75,55.299999,55.540001,4667500,55.179325,0.162308383006
2015-07-14,55.439999,55.889999,55.18,55.400002,3202900,55.040235,-0.072144662196
2015-07-15,55.389999,55.799999,55.060001,55.369999,3127000,55.010427,-0.0361076013018
2015-07-16,55.830002,55.91,55.349998,55.450001,2801900,55.089909,-0.680639416778
2015-07-17,55.290001,55.43,54.09,54.700001,5474800,54.34478,-1.06710072224
2015-07-20,54.360001,54.380001,53.450001,54.09,7256600,53.73874,-0.496690572173
2015-07-21,53.990002,54.41,53.610001,54.099998,4162800,53.748674,0.203734017272
2015-07-22,53.959999,54.369999,53.529999,54.130001,2897300,53.778482,0.315051896128
2015-07-23,54.220001,54.310001,53.549999,53.75,2644800,53.400948,-0.866840633219
2015-07-24,53.939999,54.009998,52.919998,53.040001,3856600,52.69556,-1.66851690153
2015-07-27,52.720001,53.27,52.240002,52.669998,3172700,52.32796,-0.0948463563193
2015-07-28,52.970001,53.240002,52.610001,52.75,3908500,52.407442,-0.415331311774
2015-07-29,52.790001,52.98,52.360001,52.610001,4585600,52.268352,-0.340973662796
2015-07-30,52.459999,53.369999,52.330002,53.200001,3375800,52.854521,1.41060239059
2015-07-31,53.52,54.02,53.25,53.470001,3994800,53.122768,-0.0934211509716
2015-08-03,53.560001,53.610001,52.790001,53.029999,3180100,52.685623,-0.989548151801
2015-08-04,53.169998,53.57,52.57,52.860001,3991200,52.516729,-0.583029926012
2015-08-05,52.009998,52.889999,50.02,50.419998,12661600,50.092571,-3.05710452056
2015-08-06,50.0,52.369999,47.830002,52.240002,20152100,51.900756,4.480004
2015-08-07,52.279999,52.490002,49.419998,50.34,9149400,50.013093,-3.71078622247
2015-08-10,50.509998,51.610001,50.470001,51.18,4451800,50.847638,1.32647401807
2015-08-11,50.779999,51.290001,50.0,50.290001,3741200,49.963418,-0.964942909904
2015-08-12,50.07,50.330002,49.650002,50.169998,3193000,49.844195,0.199716397044
2015-08-13,50.07,50.5,49.66,50.049999,4970900,49.724975,-0.0399460754943
2015-08-14,49.939999,50.0,49.029999,49.220001,4332800,48.900367,-1.44172610015
2015-08-17,49.200001,50.040001,48.939999,50.029999,2918900,49.705105,1.68698777059
2015-08-18,49.529999,49.740002,48.970001,49.349998,3928800,49.02952,-0.363418137763
2015-08-19,48.939999,49.09,48.369999,48.52,3476100,48.204912,-0.858191680797
2015-08-20,47.98,47.98,46.0,46.029999,9558300,45.731081,-4.06419549812
2015-08-21,45.549999,46.110001,45.09,45.09,7892000,44.797186,-1.00987708035
2015-08-24,42.349998,45.599998,40.75,43.950001,8225300,43.66459,3.77804740392
2015-08-25,45.259998,45.360001,43.27,43.27,10690200,42.989006,-4.39681415806
2015-08-26,44.389999,44.450001,43.41,44.349998,8199500,44.06199,-0.0901126400115
2015-08-27,44.830002,45.689999,44.419998,45.259998,5580200,44.966081,0.959170155736
2015-08-28,45.200001,45.93,45.169998,45.790001,5010500,45.492641,1.30530970563
2015-08-31,45.419998,45.490002,44.779999,45.240002,5119000,44.946214,-0.396292399661
2015-09-01,44.259998,44.869999,43.5,43.790001,5504900,43.505629,-1.06190018355
2015-09-02,44.380001,44.580002,43.459999,44.290001,5180300,44.002382,-0.202794046805
2015-09-03,44.48,44.619999,43.619999,43.810001,4237200,43.5255,-1.50629271583
2015-09-04,43.32,43.580002,42.52,42.919998,5029000,42.641276,-0.92336565097
2015-09-08,43.630001,43.919998,43.07,43.669998,5121500,43.538568,0.0916731585681
2015-09-09,44.349998,44.400002,43.290001,43.509998,6196600,43.37905,-1.89402488812
