Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,25.889999,26.0,25.370001,25.440001,4168600,25.183128,-1.73811516949
2015-05-12,25.24,25.6,25.08,25.440001,3886800,25.183128,0.792396988907
2015-05-13,25.48,25.719999,25.26,25.280001,2590200,25.086869,-0.784925431711
2015-05-14,25.48,25.870001,25.32,25.790001,3837800,25.592973,1.216644427
2015-05-15,25.780001,26.309999,25.48,26.309999,6455200,26.108999,2.05584941599
2015-05-18,26.299999,26.57,26.110001,26.459999,4841000,26.257852,0.608365042143
2015-05-19,27.200001,27.469999,26.610001,26.77,6263100,26.565486,-1.58088597129
2015-05-20,26.85,27.049999,26.4,26.92,4704400,26.714339,0.260707635009
2015-05-21,26.870001,27.030001,26.629999,26.9,6157000,26.694492,0.111644953046
2015-05-22,26.860001,26.879999,26.58,26.65,3956400,26.446401,-0.78183541393
2015-05-26,26.629999,26.67,26.25,26.27,3985900,26.069305,-1.35185510146
2015-05-27,26.290001,26.41,25.93,26.370001,4423600,26.168542,0.304298200673
2015-05-28,26.26,26.77,26.18,26.35,4233800,26.148694,0.34272658035
2015-05-29,26.25,26.5,26.1,26.120001,4003400,25.920452,-0.495234285714
2015-06-01,26.280001,26.549999,26.17,26.440001,4057600,26.238007,0.608827982921
2015-06-02,26.34,26.51,26.139999,26.309999,2703900,26.108999,-0.113899012908
2015-06-03,26.440001,26.799999,26.120001,26.459999,4609800,26.257852,0.0756353980471
2015-06-04,26.23,26.639999,26.1,26.209999,4410400,26.009762,-0.0762523827678
2015-06-05,26.049999,26.23,25.85,26.16,2466300,25.960145,0.422268730221
2015-06-08,26.129999,26.209999,25.9,25.92,2535200,25.721979,-0.80367014174
2015-06-09,25.92,26.07,25.6,25.790001,3113700,25.592973,-0.501539351852
2015-06-10,25.940001,26.360001,25.84,26.280001,3002200,26.079229,1.31071698879
2015-06-11,26.42,26.84,26.389999,26.42,2935600,26.218159,0.0
2015-06-12,26.23,26.75,26.219999,26.709999,3585100,26.505943,1.82996187571
2015-06-15,26.639999,27.209999,26.620001,26.65,4329200,26.446401,0.0375412927005
2015-06-16,26.52,26.65,26.33,26.51,3853700,26.307472,-0.0377073906486
2015-06-17,26.52,26.629999,26.209999,26.59,3042900,26.38686,0.26395173454
2015-06-18,26.66,26.98,26.629999,26.82,3261700,26.615103,0.600150037509
2015-06-19,26.950001,27.66,26.93,27.290001,5854800,27.081513,1.2615955005
2015-06-22,27.43,27.73,27.43,27.58,3814900,27.369297,0.54684651841
2015-06-23,27.629999,27.969999,27.540001,27.610001,4080100,27.399068,-0.0723778527824
2015-06-24,28.33,28.700001,27.75,27.92,6506600,27.706699,-1.44722908577
2015-06-25,28.08,28.32,27.809999,27.860001,3152300,27.647158,-0.783472222222
2015-06-26,27.969999,28.1,27.68,27.969999,4960300,27.756317,0.0
2015-06-29,27.66,27.92,27.35,27.389999,4418200,27.180748,-0.976142443962
2015-06-30,27.66,27.91,27.32,27.360001,4860900,27.150978,-1.08459508315
2015-07-01,27.719999,27.719999,27.129999,27.559999,2911300,27.349449,-0.577200598023
2015-07-02,27.66,27.940001,27.299999,27.59,3395900,27.379221,-0.253073029646
2015-07-06,27.34,27.99,27.290001,27.559999,3978700,27.349449,0.804678127286
2015-07-07,27.540001,28.120001,27.280001,28.1,5966700,27.885325,2.03340225006
2015-07-08,27.91,28.049999,27.459999,27.549999,4970900,27.339525,-1.28986384808
2015-07-09,27.9,28.059999,27.66,27.67,3309500,27.458609,-0.824372759857
2015-07-10,28.01,28.299999,27.85,28.190001,3539600,27.974637,0.642631203142
2015-07-13,28.35,28.48,28.139999,28.27,2734400,28.054026,-0.282186948854
2015-07-14,28.24,28.4,28.16,28.34,1760000,28.123491,0.354107648725
2015-07-15,28.370001,28.370001,27.5,27.620001,6786000,27.408992,-2.64363755222
2015-07-16,27.76,27.76,27.24,27.540001,5337300,27.329603,-0.792503602305
2015-07-17,27.639999,27.690001,27.030001,27.139999,5857500,26.932658,-1.80897256907
2015-07-20,27.209999,27.219999,26.57,26.860001,5121300,26.654798,-1.28628450152
2015-07-21,26.940001,27.200001,26.780001,27.110001,3160600,26.902888,0.631031899368
2015-07-22,27.08,27.969999,27.01,27.860001,4215500,27.647158,2.88035819793
2015-07-23,27.950001,28.0,27.15,27.43,3621900,27.220443,-1.86046862753
2015-07-24,27.48,27.629999,26.51,26.73,5394900,26.52579,-2.72925764192
2015-07-27,26.559999,26.98,26.469999,26.74,6516700,26.535714,0.67771463395
2015-07-28,27.15,27.889999,26.139999,27.59,11021300,27.379221,1.62062615101
2015-07-29,27.77,28.709999,27.610001,28.58,9496800,28.361657,2.91681670868
