Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,28.870001,29.280001,28.52,28.530001,1893900,28.530001,-1.17769306624
2015-05-12,28.4,29.84,28.24,29.379999,4250000,29.379999,3.45070070423
2015-05-13,29.530001,29.65,28.940001,29.09,1718200,29.09,-1.49001349509
2015-05-14,29.219999,29.450001,28.969999,29.16,1254500,29.16,-0.205335393749
2015-05-15,29.16,29.48,29.02,29.459999,1375100,29.459999,1.02880315501
2015-05-18,29.389999,30.799999,29.26,30.639999,1875500,30.639999,4.25314747374
2015-05-19,30.6,31.07,30.42,30.9,1727600,30.9,0.980392156863
2015-05-20,31.08,31.299999,30.91,31.07,1399600,31.07,-0.032175032175
2015-05-21,31.139999,31.290001,30.879999,31.0,1512000,31.0,-0.449579333641
2015-05-22,31.040001,31.18,30.709999,30.959999,1278300,30.959999,-0.257738393758
2015-05-26,30.959999,30.959999,30.440001,30.610001,1464600,30.610001,-1.13048453264
2015-05-27,30.6,31.15,30.440001,31.01,1254100,31.01,1.33986928105
2015-05-28,31.049999,31.15,30.9,31.02,1258400,31.02,-0.0966151399876
2015-05-29,30.969999,31.58,30.969999,31.450001,1970700,31.450001,1.54989349531
2015-06-01,31.5,31.74,31.35,31.440001,1249700,31.440001,-0.190473015873
2015-06-02,31.4,31.799999,31.129999,31.58,905500,31.58,0.573248407643
2015-06-03,31.67,31.690001,31.190001,31.5,861300,31.5,-0.536785601516
2015-06-04,31.35,31.57,31.07,31.459999,1696900,31.459999,0.35087400319
2015-06-05,31.34,32.189999,31.200001,31.889999,1211800,31.889999,1.75494256541
2015-06-08,31.809999,31.940001,31.23,31.42,1227300,31.42,-1.22602644533
2015-06-09,31.450001,31.450001,30.85,30.93,1015200,30.93,-1.65342125108
2015-06-10,31.040001,31.23,30.780001,30.92,715700,30.92,-0.386601147339
2015-06-11,31.02,31.139999,30.450001,30.77,831300,30.77,-0.805931656995
2015-06-12,30.690001,30.84,30.290001,30.379999,1206300,30.379999,-1.01010749397
2015-06-15,30.209999,30.77,29.98,30.6,1316400,30.6,1.29096661009
