Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,15.65,15.84,15.64,15.65,17249800,14.673458,0.0
2015-05-12,15.59,15.65,15.5,15.56,17670000,14.589074,-0.192431045542
2015-05-13,15.54,15.62,15.37,15.41,20890400,14.448434,-0.836550836551
2015-05-14,15.5,15.54,15.2,15.27,28794700,14.31717,-1.48387096774
2015-05-15,15.27,15.49,15.27,15.48,18937700,14.514065,1.37524557957
2015-05-18,15.47,15.64,15.45,15.58,19491900,14.607826,0.71105365223
2015-05-19,15.59,15.63,15.45,15.5,15145300,14.532818,-0.577293136626
2015-05-20,15.54,15.56,15.26,15.3,22391500,14.345298,-1.5444015444
2015-05-21,15.28,15.55,15.26,15.51,23962000,14.542194,1.50523560209
2015-05-22,15.5,15.5,15.27,15.27,24795800,14.31717,-1.48387096774
2015-05-26,15.27,15.34,15.15,15.19,25002900,14.242161,-0.523903077931
2015-05-27,15.23,15.37,15.2,15.32,18763900,14.364049,0.59093893631
2015-05-28,15.28,15.34,15.24,15.29,13959000,14.335922,0.065445026178
2015-05-29,15.31,15.4,15.16,15.17,19060400,14.22341,-0.914435009798
2015-06-01,15.33,15.45,15.19,15.36,26685300,14.401553,0.195694716243
2015-06-02,15.44,15.5,15.21,15.26,34974700,14.307794,-1.16580310881
2015-06-03,15.29,15.32,15.12,15.2,24311600,14.251537,-0.58862001308
2015-06-04,15.13,15.17,15.01,15.05,23428400,14.110897,-0.528750826173
2015-06-05,15.02,15.02,14.78,14.78,44736900,13.857745,-1.59786950732
2015-06-08,14.83,15.01,14.8,14.9,30240600,13.970257,0.472016183412
2015-06-09,14.92,15.01,14.84,14.88,20454700,13.951505,-0.268096514745
2015-06-10,15.01,15.08,14.95,15.03,20961100,14.092145,0.133244503664
2015-06-11,15.11,15.35,15.08,15.28,27187100,14.326545,1.12508272667
2015-06-12,15.2,15.35,15.18,15.23,19847300,14.279665,0.197368421053
