Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,34.5,34.790001,34.419998,34.720001,8667700,34.526178,0.637684057971
2015-03-10,34.400002,34.580002,34.080002,34.290001,14160200,34.098579,-0.319770330246
2015-03-11,34.25,34.400002,33.939999,34.189999,11435500,33.999135,-0.17518540146
2015-03-12,34.369999,34.650002,34.240002,34.580002,11295700,34.386961,0.61100670966
2015-03-13,34.5,34.639999,33.580002,34.02,16225600,33.830085,-1.39130434783
2015-03-16,34.23,34.549999,34.060001,34.349998,8423300,34.158241,0.350563832895
2015-03-17,34.139999,34.150002,33.779999,33.869999,15200200,33.680921,-0.790861183095
2015-03-18,33.880001,34.990002,33.799999,34.919998,16296400,34.725059,3.06964866973
2015-03-19,35.0,35.119999,34.459999,34.459999,11542200,34.267628,-1.54286
2015-03-20,34.779999,35.529999,34.549999,35.299999,20322400,35.102939,1.4951121764
2015-03-23,35.240002,35.849998,35.200001,35.549999,11470900,35.351543,0.879673616364
2015-03-24,35.560001,35.66,35.049999,35.07,10096800,34.874223,-1.3779555293
2015-03-25,34.950001,35.130001,34.189999,34.259998,14297300,34.068744,-1.97425745424
2015-03-26,33.93,34.150002,33.720001,33.939999,12024400,33.75053,0.0294694960212
2015-03-27,33.849998,34.16,33.68,33.700001,8329300,33.511872,-0.443122625886
2015-03-30,33.880001,34.509998,33.779999,34.259998,10932800,34.068744,1.12159677917
2015-03-31,34.41,34.529999,33.759998,33.84,12670000,33.65109,-1.65649520488
2015-04-01,33.830002,34.049999,33.189999,33.580002,14896600,33.392543,-0.738989019273
2015-04-02,33.66,34.169998,33.509998,34.040001,8407400,33.849974,1.12893939394
2015-04-06,33.82,34.560001,33.75,34.439999,10030300,34.247739,1.83323181549
2015-04-07,34.400002,34.610001,34.119999,34.240002,11964200,34.048859,-0.465116252028
2015-04-08,34.830002,34.830002,33.869999,34.130001,12126000,33.939472,-2.00976445537
2015-04-09,34.169998,34.5,34.009998,34.360001,9222500,34.168188,0.556052125025
2015-04-10,34.48,34.490002,34.16,34.34,9160700,34.148299,-0.406032482599
2015-04-13,34.419998,34.459999,33.990002,34.060001,10101600,33.869863,-1.04589488936
2015-04-14,33.950001,34.279999,33.73,34.110001,10660900,33.919583,0.471281282142
2015-04-15,34.139999,34.450001,33.98,34.040001,12308900,33.849974,-0.292905691063
2015-04-16,33.959999,34.189999,33.889999,33.990002,8369300,33.800254,0.0883480591387
2015-04-17,33.610001,33.720001,33.25,33.43,13436600,33.243379,-0.535557853747
2015-04-20,33.610001,34.150002,33.610001,33.939999,8443400,33.75053,0.981844659868
2015-04-21,33.939999,34.220001,33.830002,33.950001,9665700,33.760477,0.0294696531959
2015-04-22,33.98,34.189999,33.700001,34.040001,9433100,33.849974,0.17657739847
2015-04-23,33.880001,34.57,33.849998,34.349998,9766800,34.158241,1.38724021879
2015-04-24,34.380001,34.650002,34.029999,34.650002,6298800,34.45657,0.785343199961
2015-04-27,34.599998,34.990002,34.48,34.509998,6425200,34.317348,-0.260115621972
2015-04-28,34.5,34.689999,34.330002,34.529999,6528300,34.337237,0.0869536231884
2015-04-29,34.330002,35.150002,34.310001,34.619999,14704200,34.426734,0.844733420056
2015-04-30,34.5,34.700001,33.869999,34.080002,13128600,33.889752,-1.21738550725
2015-05-01,34.150002,34.639999,34.09,34.5,7117900,34.307405,1.0248842738
2015-05-04,34.669998,34.669998,34.189999,34.470001,8346800,34.277574,-0.576858989147
2015-05-05,34.490002,34.57,33.900002,33.919998,13349900,33.730641,-1.65266444461
2015-05-06,33.970001,34.07,33.48,33.68,18442600,33.491983,-0.85369735491
2015-05-07,33.349998,33.360001,32.34,32.779999,53877900,32.597006,-1.70914253128
2015-05-08,33.0,33.130001,32.740002,32.790001,22946900,32.606952,-0.636360606061
2015-05-11,32.790001,33.029999,32.759998,32.790001,15071100,32.606952,0.0
2015-05-12,32.639999,32.84,32.380001,32.599998,13104000,32.418011,-0.122552087088
