Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,39.66,40.07,39.52,39.869999,3123800,38.636507,0.529498234997
2015-05-12,38.52,38.950001,38.209999,38.360001,12202000,37.173225,-0.415366043614
2015-05-13,38.330002,38.700001,38.220001,38.57,4015700,37.376727,0.626136153084
2015-05-14,38.689999,38.700001,38.09,38.16,5776200,36.979411,-1.36986046446
2015-05-15,38.23,38.900002,38.169998,38.889999,3980900,37.686826,1.72639026942
2015-05-18,39.029999,39.459999,38.98,39.25,4175900,38.035689,0.563671549159
2015-05-19,39.16,39.290001,38.529999,38.619999,4814400,37.425179,-1.37896067416
2015-05-20,38.650002,38.799999,38.419998,38.669998,4657500,37.473632,0.0517360904664
2015-05-21,38.459999,38.830002,38.389999,38.560001,7515000,37.367038,0.260015607385
2015-05-22,38.25,38.830002,37.849998,38.009998,5849800,36.834051,-0.62745620915
2015-05-26,38.099998,38.189999,37.799999,37.860001,3207400,36.688694,-0.629913418893
2015-05-27,37.869999,38.130001,37.709999,37.939999,3408500,36.766217,0.18484288843
2015-05-28,38.0,38.66,37.919998,38.5,6248400,37.308893,1.31578947368
2015-05-29,38.389999,38.669998,38.240002,38.330002,5562500,37.144154,-0.156282890239
2015-06-01,38.32,38.400002,37.549999,37.880001,4633300,36.708075,-1.14822286013
2015-06-02,37.82,38.040001,37.549999,37.610001,3347300,36.446428,-0.555259122158
2015-06-03,37.709999,38.299999,37.619999,38.279999,4359800,37.095698,1.51153544183
2015-06-04,38.07,38.700001,37.919998,38.59,4748800,37.396108,1.365904912
2015-06-05,38.75,38.799999,37.889999,38.220001,5106100,37.037557,-1.36773935484
2015-06-08,38.200001,38.389999,37.950001,37.950001,2119000,36.775909,-0.654450244648
2015-06-09,37.91,38.16,37.5,37.52,2533500,36.359212,-1.0287523081
2015-06-10,37.73,37.869999,37.580002,37.709999,4558000,36.543333,-0.0530108666843
2015-06-11,37.799999,38.560001,37.77,38.439999,3336900,37.250748,1.69312173791
2015-06-12,38.330002,38.459999,37.689999,38.279999,3712900,37.095698,-0.130453945711
2015-06-15,38.110001,38.380001,37.959999,38.200001,2341600,37.018175,0.236158482389
2015-06-16,38.439999,38.869999,38.029999,38.75,6970100,37.551158,0.80645423534
2015-06-17,38.709999,38.959999,38.139999,38.52,5765800,37.328274,-0.490826672457
2015-06-18,38.560001,39.0,38.549999,38.98,2756800,37.774042,1.08920899665
2015-06-19,38.869999,38.970001,38.68,38.82,3530900,37.618992,-0.128631338529
2015-06-22,38.939999,39.25,38.849998,39.220001,4492600,38.006619,0.719060110916
2015-06-23,39.27,39.59,38.919998,39.139999,3292700,37.929092,-0.331044053985
2015-06-24,39.169998,39.400002,38.889999,38.93,2238400,37.72559,-0.612708736927
2015-06-25,38.900002,39.150002,38.759998,38.759998,2513100,37.560847,-0.359907436509
2015-06-26,39.009998,39.240002,38.73,38.880001,3160700,37.677137,-0.333240211907
2015-06-29,38.650002,38.959999,38.009998,38.049999,4361500,36.872814,-1.5524009546
2015-06-30,38.259998,38.450001,38.099998,38.169998,2689800,36.9891,-0.23523263122
2015-07-01,38.369999,38.450001,38.0,38.450001,2794100,37.26044,0.208501438845
2015-07-02,38.509998,39.0,38.400002,38.619999,2136200,37.425179,0.285642705045
2015-07-06,38.380001,38.93,38.130001,38.540001,2472000,37.571411,0.416883782781
2015-07-07,38.59,39.0,38.349998,38.970001,2863400,37.990605,0.984713656388
2015-07-08,38.790001,38.93,38.360001,38.380001,2709500,37.415433,-1.05697341952
2015-07-09,38.639999,38.759998,37.759998,37.779999,4003800,36.83051,-2.22567293545
2015-07-10,37.720001,37.75,36.830002,37.580002,9841900,36.635539,-0.371153224519
2015-07-13,37.93,38.009998,37.490002,37.709999,2988300,36.762269,-0.580018455049
2015-07-14,37.779999,38.049999,37.77,37.799999,2127200,36.850007,0.0529380638681
2015-07-15,37.830002,37.869999,37.619999,37.790001,2024400,36.84026,-0.105738826025
2015-07-16,37.860001,38.200001,37.610001,38.09,2598200,37.13272,0.607498663299
2015-07-17,37.93,38.119999,37.549999,37.639999,2196700,36.694029,-0.764568942789
2015-07-20,37.66,37.799999,37.549999,37.610001,1672500,36.664784,-0.132764206054
2015-07-21,37.619999,37.669998,36.68,36.93,4447300,36.001873,-1.83412817209
2015-07-22,36.799999,36.880001,35.970001,36.150002,9761900,35.241478,-1.76629624365
2015-07-23,36.349998,37.110001,36.240002,36.41,4584600,35.494942,0.165067409357
2015-07-24,36.34,36.360001,35.84,35.98,3637500,35.075748,-0.990643918547
2015-07-27,35.880001,36.349998,35.669998,36.220001,5948900,35.309718,0.947603095106
2015-07-28,36.32,36.43,35.580002,36.009998,3800500,35.104993,-0.853529735683
2015-07-29,35.880001,36.299999,35.830002,36.200001,2074300,35.29022,0.89186173657
2015-07-30,36.110001,36.110001,35.700001,36.049999,2153000,35.143988,-0.166164492768
2015-07-31,36.110001,36.740002,35.740002,36.48,7757300,35.563182,1.02464411452
2015-08-03,36.48,36.5,35.639999,35.860001,2789300,34.958765,-1.69955866228
2015-08-04,35.860001,36.0,35.110001,35.16,5354200,34.276357,-1.95203842855
2015-08-05,35.349998,35.619999,35.110001,35.189999,3355600,34.305601,-0.452613886994
2015-08-06,35.209999,35.23,34.32,34.93,3874400,34.052137,-0.795225810714
2015-08-07,34.849998,35.150002,34.669998,34.889999,6044200,34.013142,0.114780494392
2015-08-10,34.349998,35.34,34.349998,35.259998,4338800,34.373842,2.64919957201
2015-08-11,34.779999,35.57,34.619999,35.450001,5718700,34.559069,1.92640028541
