Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,45.889999,46.759998,45.759998,46.720001,1703000,44.351547,1.80867731115
2015-05-12,46.57,46.650002,45.900002,45.939999,878300,43.611087,-1.3528043805
2015-05-13,45.959999,46.299999,45.75,46.119999,1320900,43.781962,0.348128815233
2015-05-14,46.380001,46.509998,45.990002,46.169998,1165200,43.829427,-0.452787829823
2015-05-15,46.349998,46.459999,45.91,46.200001,691100,43.857908,-0.323618136941
2015-05-18,46.080002,46.220001,45.740002,46.119999,803300,43.781962,0.0867990413716
2015-05-19,46.34,46.459999,45.709999,46.060001,1021400,43.725006,-0.604227449288
2015-05-20,46.060001,46.41,45.939999,46.049999,762700,43.715511,-0.0217151536753
2015-05-21,45.919998,46.32,45.689999,45.939999,852600,43.611087,0.043556186566
2015-05-22,45.919998,46.009998,45.720001,45.950001,676300,43.620582,0.0653375463997
2015-05-26,45.889999,45.919998,45.040001,45.169998,914200,42.880121,-1.56897148767
2015-05-27,45.200001,45.650002,45.09,45.459999,847400,43.155421,0.575216801433
2015-05-28,45.599998,46.27,45.529999,46.220001,1393000,43.876895,1.35965576139
2015-05-29,46.369999,46.419998,45.459999,45.48,1807300,43.174407,-1.91934228853
2015-06-01,45.59,45.77,45.009998,45.470001,823600,43.164916,-0.263213423996
2015-06-02,45.299999,45.93,45.139999,45.580002,533400,43.26934,0.618108181415
2015-06-03,45.959999,46.380001,45.709999,46.040001,1552400,43.706019,0.174068759227
2015-06-04,46.130001,46.130001,45.209999,45.5,1047700,43.193394,-1.36570775275
2015-06-05,45.360001,45.669998,44.84,45.619999,1267600,43.307309,0.573187818051
2015-06-08,45.57,45.720001,45.439999,45.470001,1295700,43.164916,-0.21944042133
2015-06-09,45.439999,45.82,45.27,45.720001,1200700,43.402242,0.616201598068
2015-06-10,46.18,46.59,45.880001,46.43,1420800,44.076248,0.541359896059
2015-06-11,46.52,46.810001,45.93,46.029999,844800,43.696524,-1.05331255374
