Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,45.810001,46.150002,45.599998,45.799999,611900,44.733354,-0.0218336602961
2015-05-12,45.66,46.009998,45.439999,45.93,681700,44.860327,0.591327201051
2015-05-13,45.950001,46.18,45.740002,45.810001,884000,44.743123,-0.304678992281
2015-05-14,46.150002,46.529999,46.139999,46.48,916500,45.397517,0.715055223616
2015-05-15,46.509998,46.970001,46.490002,46.849998,1292000,45.758899,0.731025617331
2015-05-18,46.669998,46.919998,46.52,46.790001,1327700,45.700299,0.257130930239
2015-05-19,46.77,46.919998,46.490002,46.720001,1606200,45.63193,-0.10690399829
2015-05-20,46.82,47.02,46.610001,46.700001,1696600,45.612395,-0.256298590346
2015-05-21,46.630001,47.049999,46.52,46.93,2396800,45.837038,0.643360483737
2015-05-22,47.849998,48.16,47.349998,47.91,3165400,46.794214,0.125396034499
2015-05-26,47.799999,47.990002,47.549999,47.740002,2022800,46.628175,-0.125516739028
2015-05-27,47.77,48.16,47.529999,48.119999,1855000,46.999322,0.732675319238
2015-05-28,48.07,48.400002,47.900002,48.389999,1485400,47.263035,0.665693779904
2015-05-29,48.389999,48.389999,48.080002,48.34,2238400,47.2142,-0.103325069298
2015-06-01,48.330002,48.380001,48.110001,48.32,1793000,47.194665,-0.0206952195036
2015-06-02,48.200001,48.220001,47.580002,47.669998,3112300,46.559802,-1.09959126349
2015-06-03,47.849998,47.849998,47.220001,47.380001,1978300,46.276559,-0.982229926112
2015-06-04,47.220001,47.389999,47.009998,47.07,1315400,45.973777,-0.317664118643
2015-06-05,46.91,46.950001,46.139999,46.540001,2562300,45.456121,-0.788742272437
2015-06-08,46.59,46.610001,46.080002,46.279999,1146400,45.202174,-0.665380983044
2015-06-09,46.349998,46.73,46.18,46.57,1041900,45.485421,0.474653742164
2015-06-10,46.610001,47.0,46.560001,46.84,1021500,45.749134,0.493454183792
2015-06-11,46.860001,47.060001,46.799999,46.830002,694700,45.739368,-0.0640183511733
2015-06-12,46.75,46.799999,46.57,46.73,612300,45.641695,-0.0427807486631
2015-06-15,46.43,46.75,46.299999,46.330002,932900,45.251013,-0.21537368081
2015-06-16,46.400002,47.630001,46.34,47.549999,1597700,46.442598,2.47844170352
2015-06-17,47.529999,47.91,47.290001,47.759998,1024700,46.647706,0.483902808414
2015-06-18,47.91,48.43,47.790001,48.240002,1127400,47.11653,0.688795658526
2015-06-19,48.259998,48.57,48.23,48.27,1553400,47.145831,0.0207252391515
2015-06-22,48.5,48.720001,48.290001,48.299999,834800,47.175131,-0.412373195876
2015-06-23,48.360001,48.400002,48.119999,48.290001,867300,47.165365,-0.1447477224
2015-06-24,48.279999,48.380001,47.880001,48.009998,918400,46.891884,-0.559239862453
2015-06-25,48.27,48.27,47.68,47.700001,983300,46.589106,-1.18085560389
2015-06-26,47.82,48.029999,47.68,47.849998,862600,46.73561,0.0627310748641
2015-06-29,47.5,47.669998,46.98,47.009998,1098400,45.915173,-1.03158315789
2015-06-30,47.27,49.16,47.110001,47.650002,4572900,46.540271,0.803896763275
2015-07-01,47.779999,47.889999,47.259998,47.84,1640200,46.725845,0.12557765018
2015-07-02,47.919998,48.119999,47.48,47.66,1062700,46.550036,-0.542566800608
2015-07-06,47.389999,47.889999,47.099998,47.27,1088300,46.16912,-0.25321587367
2015-07-07,47.279999,48.040001,47.139999,47.98,1329000,46.862584,1.48054360153
2015-07-08,47.700001,47.98,47.509998,47.57,1266300,46.462132,-0.272538778353
2015-07-09,47.919998,47.93,47.060001,47.119999,1255200,46.326454,-1.66944706467
