Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,39.330002,39.630001,39.310001,39.330002,7198600,38.715923,0.0
2015-05-12,39.110001,39.419998,38.91,39.310001,6415500,38.696235,0.511378151077
2015-05-13,39.360001,39.59,39.02,39.310001,9561900,38.696235,-0.127032517098
2015-05-14,39.540001,40.139999,39.52,40.049999,12284500,39.424679,1.28982798964
2015-05-15,40.18,40.509998,39.939999,40.450001,9836700,39.818435,0.671978596317
2015-05-18,40.119999,40.310001,39.939999,40.0,6962300,39.37546,-0.299100206857
2015-05-19,40.0,40.299999,39.860001,40.25,8082700,39.621557,0.625
2015-05-20,40.34,40.830002,40.099998,40.66,10110200,40.025155,0.793257312841
2015-05-21,40.650002,40.709999,40.209999,40.310001,8225600,39.680621,-0.836410782956
2015-05-22,40.220001,40.360001,40.139999,40.169998,5994600,39.542804,-0.124323716451
2015-05-26,40.150002,40.169998,39.73,39.939999,7265300,39.316396,-0.523046051156
2015-05-27,39.970001,40.200001,39.889999,40.139999,6041000,39.513274,0.425313974848
2015-05-28,40.130001,40.66,39.959999,40.470001,10271800,39.838123,0.847246427928
2015-05-29,40.549999,41.599998,40.470001,41.59,26361000,40.940635,2.56473742453
2015-06-01,41.599998,41.810001,40.419998,40.689999,13766700,40.054685,-2.18749770132
2015-06-02,40.450001,40.82,40.009998,40.799999,9509600,40.162969,0.865260794431
2015-06-03,41.02,41.119999,40.75,41.029999,10828100,40.389377,0.0243759141882
2015-06-04,40.790001,40.919998,40.360001,40.419998,7098000,39.788901,-0.907092402376
2015-06-05,40.349998,40.419998,39.779999,40.02,10627900,39.395148,-0.817838950079
2015-06-08,40.07,40.209999,39.939999,40.049999,6477000,39.424679,-0.0499151484901
2015-06-09,40.080002,40.310001,39.98,40.220001,5773100,39.592026,0.349298884766
2015-06-10,40.32,40.630001,40.259998,40.369999,6769300,39.739682,0.124005456349
2015-06-11,40.360001,40.619999,40.279999,40.360001,5249800,39.72984,0.0
2015-06-12,40.790001,40.790001,40.18,40.470001,8530100,39.838123,-0.784505987141
2015-06-15,40.150002,40.43,39.990002,40.110001,6904600,39.483743,-0.0996288866934
2015-06-16,40.200001,40.790001,40.040001,40.740002,6080400,40.103908,1.34328603624
2015-06-17,40.68,40.900002,40.400002,40.790001,5743000,40.153126,0.27040560472
2015-06-18,40.93,41.060001,40.82,40.849998,10692400,40.212187,-0.195460542389
2015-06-19,40.869999,41.439999,40.869999,41.040001,12396700,40.399223,0.415957925519
2015-06-22,41.169998,41.450001,41.0,41.049999,5133700,40.409065,-0.291471959751
2015-06-23,41.0,41.240002,40.880001,41.099998,3397400,40.458284,0.243897560976
2015-06-24,41.18,41.290001,40.98,41.080002,6045600,40.438599,-0.242831471588
2015-06-25,41.189999,41.470001,41.029999,41.080002,6529600,40.438599,-0.267047833626
2015-06-26,41.009998,41.349998,40.990002,41.110001,9259800,40.616437,0.243850292312
2015-06-29,40.849998,41.049999,40.700001,40.84,9415700,40.349678,-0.024474909399
2015-06-30,41.299999,41.34,40.900002,41.139999,11869100,40.646076,-0.387409210349
2015-07-01,41.200001,41.639999,41.200001,41.610001,6014400,41.110434,0.995145606914
2015-07-02,41.73,41.84,41.259998,41.549999,5568900,41.051153,-0.431346752936
2015-07-06,41.200001,41.48,40.98,41.259998,9044900,40.764634,0.145623782873
2015-07-07,41.48,41.889999,40.990002,41.779999,6288600,41.278391,0.723237704918
2015-07-08,41.68,41.75,41.310001,41.41,5909200,40.912834,-0.647792706334
2015-07-09,41.73,41.849998,41.240002,41.25,5367000,40.754756,-1.15025161754
2015-07-10,41.509998,41.689999,41.34,41.41,4902900,40.912834,-0.240900999321
2015-07-13,41.709999,41.73,41.549999,41.599998,5675400,41.100552,-0.263728129075
2015-07-14,41.689999,41.990002,41.48,41.880001,7566100,41.377193,0.455749591167
2015-07-15,41.849998,41.900002,41.18,41.34,9288200,40.843675,-1.2186332721
2015-07-16,41.599998,42.0,41.470001,41.970001,5027100,41.466113,0.889430331223
2015-07-17,41.959999,41.959999,41.419998,41.889999,4658700,41.387071,-0.166825552117
2015-07-20,41.650002,41.869999,41.59,41.810001,3885900,41.308034,0.384151242058
2015-07-21,41.849998,42.240002,41.790001,42.07,5908200,41.56491,0.525691781395
2015-07-22,42.400002,43.0,42.119999,42.25,6694500,41.74275,-0.353778285199
2015-07-23,42.02,42.400002,42.0,42.119999,5404800,41.614309,0.237979533555
2015-07-24,42.130001,42.23,41.830002,42.029999,5261500,41.52539,-0.237365292253
2015-07-27,41.869999,42.09,41.27,42.029999,7911800,41.52539,0.382135189447
2015-07-28,42.330002,42.869999,42.060001,42.799999,8613900,42.286146,1.1103165079
2015-07-29,42.630001,43.290001,42.610001,43.099998,12208300,42.582543,1.10250290635
2015-07-30,44.209999,45.310001,44.049999,45.27,17981400,44.726492,2.39764990721
2015-07-31,45.02,45.209999,44.66,45.130001,10824200,44.588174,0.244338071968
2015-08-03,45.279999,45.509998,45.0,45.490002,7283600,44.943852,0.463787554412
2015-08-04,45.389999,45.720001,45.259998,45.599998,7557200,45.052528,0.462654779966
2015-08-05,45.77,46.59,45.77,46.290001,11656200,45.734247,1.13611754424
2015-08-06,48.549999,48.580002,46.110001,46.810001,24387000,46.248004,-3.58393004292
2015-08-07,46.810001,46.919998,45.82,46.110001,15729600,45.556407,-1.49540693238
2015-08-10,45.68,46.450001,45.599998,46.41,10550900,45.852805,1.59807355517
2015-08-11,46.209999,46.209999,45.700001,46.099998,9707800,45.546525,-0.238045882667
2015-08-12,45.540001,46.57,45.349998,46.529999,10157000,45.971363,2.173908604
2015-08-13,46.630001,46.82,46.009998,46.009998,14852900,45.457606,-1.32962253207
2015-08-14,46.130001,46.540001,45.950001,46.490002,9531200,45.931846,0.780405359193
2015-08-17,46.349998,46.5,46.119999,46.200001,9314600,45.645327,-0.323618136941
2015-08-18,46.16,46.439999,45.950001,46.150002,10319200,45.595928,-0.0216594454073
2015-08-19,45.919998,46.0,45.130001,45.209999,12630900,44.667211,-1.54616513703
2015-08-20,44.950001,45.139999,43.919998,44.0,17131700,43.471739,-2.11346157701
2015-08-21,43.599998,44.07,43.18,43.200001,18153100,42.681345,-0.91742435401
2015-08-24,41.119999,42.790001,38.91,41.959999,27576300,41.45623,2.0428016061
2015-08-25,42.540001,43.110001,41.279999,41.310001,30474000,40.814037,-2.89139626489
2015-08-26,42.150002,42.330002,41.060001,42.200001,17749600,41.693351,0.118621583933
2015-08-27,42.43,42.939999,41.919998,42.759998,15441300,42.246625,0.77774687721
2015-08-28,42.439999,43.130001,42.389999,42.799999,8975500,42.286146,0.84825638191
2015-08-31,42.68,42.779999,42.240002,42.360001,9426900,41.85143,-0.749763355201
2015-09-01,41.689999,42.0,40.73,41.009998,12395600,40.517635,-1.63108902929
2015-09-02,41.439999,42.299999,41.310001,42.27,13792500,41.76251,2.00289821436
2015-09-03,42.540001,43.91,42.490002,43.240002,15210700,42.720865,1.64551242018
2015-09-04,42.639999,43.029999,42.299999,42.57,11496300,42.058907,-0.164162761824
2015-09-08,43.290001,43.310001,42.360001,42.93,9975900,42.414586,-0.831603122393
2015-09-09,43.459999,43.459999,41.810001,41.990002,8492500,41.485873,-3.38241379159
2015-09-10,41.779999,42.73,41.759998,42.380001,12386900,41.87119,1.43609864615
2015-09-11,42.580002,42.709999,42.18,42.68,8590800,42.167587,0.234847335141
2015-09-14,42.720001,42.75,42.080002,42.279999,6910700,41.772388,-1.02996720435
2015-09-15,42.490002,43.049999,42.16,42.990002,19709200,42.473867,1.1767474146
2015-09-16,43.099998,43.380001,42.959999,43.040001,10158300,42.523266,-0.139204182794
2015-09-17,43.25,44.290001,43.18,43.720001,13481400,43.195102,1.08670751445
2015-09-18,43.25,43.73,42.77,42.849998,14948000,42.335545,-0.924860115607
2015-09-21,42.98,43.099998,42.73,42.849998,6328700,42.335545,-0.302470916705
2015-09-22,42.349998,42.43,41.700001,41.990002,8463900,41.485873,-0.850049626921
2015-09-23,42.060001,42.380001,41.869999,42.279999,7650400,41.772388,0.523057524416
2015-09-24,42.060001,42.299999,41.52,42.130001,12052300,41.624191,0.166428907122
2015-09-25,42.509998,43.220001,42.450001,42.799999,9682800,42.286146,0.682194809795
2015-09-28,42.400002,42.98,41.439999,41.470001,14602900,41.135504,-2.19339848144
2015-09-29,41.52,41.52,40.290001,40.810001,16543400,40.480828,-1.71001685934
2015-09-30,41.240002,42.0,41.16,41.869999,14090700,41.532276,1.52763571641
2015-10-01,42.27,42.529999,41.689999,42.209999,10225200,41.869533,-0.141947007334
2015-10-02,41.860001,43.57,41.549999,43.560001,11100800,43.208646,4.06115613805
2015-10-05,43.869999,44.459999,43.630001,44.290001,10663500,43.932758,0.957378640469
2015-10-06,44.299999,44.41,43.830002,43.900002,7226900,43.545904,-0.902927785619
2015-10-07,44.110001,44.43,43.799999,44.330002,7653600,43.972436,0.49875537296
2015-10-08,44.360001,45.32,44.080002,45.310001,7535900,44.944531,2.14156893279
2015-10-09,45.200001,45.32,44.77,45.0,6205800,44.63703,-0.442480078706
2015-10-12,44.779999,45.220001,44.75,45.049999,4697400,44.686626,0.602947757993
2015-10-13,44.900002,45.27,44.689999,44.84,6393000,44.478321,-0.133634737923
2015-10-14,44.48,44.98,44.48,44.740002,4642500,44.379129,0.584536870504
2015-10-15,44.939999,44.990002,44.119999,44.98,9133900,44.617191,0.0890097928128
2015-10-16,45.110001,45.860001,45.07,45.849998,9047600,45.480172,1.64042780669
2015-10-19,45.799999,46.459999,45.5,46.419998,8092600,46.045575,1.35370963654
2015-10-20,46.549999,46.650002,45.669998,45.740002,7456700,45.371063,-1.74005803953
2015-10-21,45.880001,46.02,45.049999,45.450001,12220200,45.083401,-0.937227529703
2015-10-22,45.59,47.419998,45.59,46.939999,11052100,46.561381,2.96117350296
2015-10-23,46.880001,47.0,46.400002,46.529999,9352000,46.154688,-0.746591281003
2015-10-26,46.529999,46.990002,46.32,46.799999,6745200,46.422511,0.580270805508
2015-10-27,46.810001,46.970001,46.450001,46.599998,9294500,46.224123,-0.4486284886
2015-10-28,46.16,47.0,45.419998,46.400002,8534800,46.025739,0.519935008666
2015-10-29,46.32,46.439999,45.470001,46.279999,6002100,45.906704,-0.0863579447323
2015-10-30,46.279999,46.619999,46.02,46.16,6352300,45.787673,-0.259289115369
2015-11-02,46.360001,46.630001,45.080002,46.439999,7222200,46.065414,0.17255823614
2015-11-03,46.310001,46.5,45.880001,46.400002,6926300,46.025739,0.194344629792
2015-11-04,46.73,46.77,45.73,45.880001,6504700,45.509933,-1.81895784293
2015-11-05,45.860001,45.93,45.389999,45.880001,5491000,45.509933,0.0436109890185
2015-11-06,45.639999,45.73,44.41,44.880001,6990300,44.517999,-1.66520161405
2015-11-09,44.689999,44.779999,43.889999,44.389999,9393300,44.03195,-0.671291131602
2015-11-10,44.349998,44.779999,44.299999,44.59,6648200,44.230337,0.541154477617
2015-11-11,44.84,44.959999,44.439999,44.470001,5341500,44.111306,-0.825153880464
2015-11-12,44.299999,44.439999,43.599998,43.639999,6861200,43.287999,-1.48984202009
2015-11-13,43.5,43.880001,43.119999,43.27,7839100,42.920985,-0.528735632184
2015-11-16,43.509998,44.080002,43.419998,44.060001,6136400,43.704613,1.2640841767
2015-11-17,44.080002,44.330002,43.689999,43.82,6062500,43.466548,-0.58984117106
2015-11-18,43.959999,44.540001,43.790001,44.48,6210400,44.121224,1.18289584129
2015-11-19,44.59,44.810001,44.43,44.580002,5161500,44.22042,-0.0224220677282
2015-11-20,44.93,45.0,43.75,43.950001,8815600,43.5955,-2.18116848431
2015-11-23,43.880001,44.27,43.75,44.080002,10208200,43.724453,0.455790782685
2015-11-24,43.790001,44.16,43.75,43.98,4521400,43.625257,0.433886722222
2015-11-25,43.950001,44.150002,43.849998,43.93,5048800,43.575661,-0.0455085313877
2015-11-27,44.07,44.57,43.790001,44.419998,3258300,44.061707,0.794186521443
2015-11-30,44.419998,44.580002,43.619999,43.66,11531800,43.307838,-1.71093659212
2015-12-01,44.080002,44.540001,43.759998,44.32,10622100,43.962515,0.544460047892
2015-12-02,44.34,44.349998,43.759998,43.860001,5420200,43.506226,-1.08254172305
2015-12-03,43.91,44.130001,42.41,42.610001,13964900,42.266308,-2.9605989524
2015-12-04,42.830002,44.540001,42.82,44.5,11278000,44.141063,3.89913126784
2015-12-07,44.43,44.5,43.73,44.029999,9224600,43.674853,-0.900294845825
2015-12-08,43.490002,44.209999,43.150002,44.0,6576100,43.645096,1.1726787228
2015-12-09,43.759998,44.25,43.360001,43.650002,7023600,43.297921,-0.251361985894
2015-12-10,43.580002,44.34,43.52,43.98,8901600,43.625257,0.917847594408
2015-12-11,43.16,43.57,42.57,42.73,9971200,42.385339,-0.996292863763
2015-12-14,43.07,43.389999,42.630001,43.32,9638700,42.970581,0.580450429533
2015-12-15,44.240002,44.509998,43.75,44.02,8121200,43.664935,-0.497292020918
2015-12-16,43.98,44.939999,43.970001,44.849998,9952200,44.488238,1.97816734879
2015-12-17,44.849998,44.900002,44.220001,44.360001,6994100,44.002193,-1.0925240175
2015-12-18,43.93,44.259998,42.950001,43.299999,21561100,42.950742,-1.43410198042
