Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,70.839996,71.080002,70.129997,70.589996,4987800,34.391423,-0.352907981531
2015-03-10,70.050003,70.610001,69.269997,70.300003,5660800,34.250138,0.356887921903
2015-03-11,70.419998,70.550003,69.720001,69.870003,8229200,34.040642,-0.781021038938
2015-03-12,70.07,70.889999,70.050003,70.68,4580400,34.435272,0.870558013415
2015-03-13,70.440002,70.480003,69.529999,69.870003,4541400,34.040642,-0.809197875946
2015-03-16,70.279999,70.809998,70.209999,70.739998,3667600,34.464503,0.654523344544
2015-03-17,70.120003,70.559998,69.309998,69.660004,4549600,33.93833,-0.656016800227
2015-03-18,69.400002,70.5,68.199997,70.110001,6799600,34.157569,1.02305328464
2015-03-19,70.080002,70.260002,69.440002,69.57,4769600,33.89448,-0.72774255914
2015-03-20,69.639999,70.099998,69.620003,69.900002,7811600,34.055257,0.373352963431
2015-03-23,69.889999,71.959999,69.849998,71.519997,7410600,34.844518,2.33223354317
2015-03-24,71.400002,71.910004,71.029999,71.230003,7379600,34.703234,-0.238093830866
2015-03-25,71.68,71.68,70.139999,70.139999,4970000,34.172184,-2.14843889509
2015-03-26,69.839996,70.059998,68.779999,68.800003,5382000,33.519338,-1.48910804634
2015-03-27,69.150002,70.650002,68.809998,70.599998,8950800,34.396296,2.09688497189
2015-03-30,70.989998,70.989998,68.650002,69.470001,8318600,33.845761,-2.14114247475
2015-03-31,69.470001,69.93,67.419998,68.910004,11310000,33.572931,-0.806099023951
2015-04-01,69.040001,70.650002,68.650002,70.330002,6255600,34.264753,1.86848346077
2015-04-02,72.860001,73.779999,71.82,73.389999,11053400,35.755583,0.727419699047
2015-04-06,73.010002,74.449997,72.949997,73.709999,7652600,35.911487,0.958768635563
2015-04-07,73.599998,74.050003,72.580002,72.610001,3948000,35.375568,-1.34510465612
2015-04-08,72.629997,72.980003,72.150002,72.459999,3460000,35.302487,-0.234060315327
2015-04-09,72.440002,73.470001,72.099998,73.199997,3061600,35.663014,1.04913718804
2015-04-10,73.18,75.139999,73.18,74.360001,7889200,36.228167,1.61246378792
2015-04-13,74.0,74.489998,73.940002,74.010002,4140800,36.057648,0.0135162162162
2015-04-14,74.269997,75.879997,73.809998,75.620003,8397600,36.84204,1.81770035617
2015-04-15,75.68,76.099998,74.019997,74.089996,5668400,36.096621,-2.10095665962
2015-04-16,74.800003,75.0,74.040001,74.239998,4502600,36.169702,-0.748669756069
2015-04-17,74.949997,75.07,73.309998,74.699997,8982200,36.393813,-0.333555717154
2015-04-20,75.019997,75.68,73.360001,75.099998,6250400,36.588694,0.106639567048
2015-04-21,75.190002,75.879997,74.900002,75.610001,5524200,36.837167,0.558583573385
2015-04-22,75.400002,76.110001,74.910004,76.040001,5793600,37.046663,0.848805017273
2015-04-23,76.0,77.620003,75.68,76.970001,8066000,37.499759,1.27631710526
2015-04-24,76.879997,76.980003,76.080002,76.260002,5815600,37.153847,-0.80644514073
2015-04-27,76.589996,76.589996,75.190002,75.699997,7734800,36.881013,-1.16203035185
2015-04-28,75.480003,76.309998,75.080002,76.239998,5996000,37.144101,1.00688257789
2015-04-29,75.690002,75.860001,73.410004,73.720001,6429400,35.91636,-2.6027228801
2015-04-30,73.940002,74.279999,72.949997,73.300003,4570000,35.711737,-0.865565299822
2015-05-01,73.360001,74.120003,73.099998,74.110001,5029400,36.106367,1.02235549315
2015-05-04,74.440002,74.57,73.68,74.239998,4902000,36.169702,-0.268678122819
2015-05-05,73.910004,74.120003,72.82,73.139999,4869200,35.633783,-1.04181431244
2015-05-06,73.43,74.970001,72.800003,74.959999,11545400,36.520486,2.08361568841
2015-05-07,74.629997,75.940002,74.050003,75.720001,8499000,36.890759,1.46054407586
2015-05-08,76.110001,77.190002,76.089996,76.57,6640600,37.304878,0.604387063403
2015-05-11,76.400002,76.690002,75.5,75.580002,3734200,36.822552,-1.07329840122
2015-05-12,75.160004,75.980003,74.809998,75.940002,3627600,36.997944,1.03778334019
2015-05-13,75.870003,76.32,75.360001,76.129997,4766200,37.090509,0.34268352408
2015-05-14,76.370003,77.230003,76.370003,76.970001,4987400,37.499759,0.785646165288
2015-05-15,77.010002,77.68,76.919998,77.550003,4548600,37.782335,0.701208915694
2015-05-18,77.169998,77.639999,76.279999,76.360001,5509800,37.202567,-1.04962682518
2015-05-19,76.43,76.620003,75.900002,76.080002,7449000,37.066151,-0.457932748921
2015-05-20,76.120003,76.809998,75.720001,75.720001,7257000,36.890759,-0.525488681339
2015-05-21,75.809998,76.279999,74.910004,75.489998,6794000,36.778702,-0.422107912468
2015-05-22,75.419998,76.029999,75.040001,75.07,4726200,36.574079,-0.464065246992
2015-05-26,75.18,75.779999,74.93,75.43,4829400,36.749471,0.332535248736
2015-05-27,77.279999,77.529999,76.489998,77.129997,24252600,37.577709,-0.194101969385
2015-05-28,76.510002,77.389999,76.349998,76.779999,11454200,37.40719,0.352891116118
2015-05-29,76.730003,77.220001,76.029999,76.75,11969400,37.392574,0.0260615133822
2015-06-01,76.760002,76.959999,75.099998,75.849998,6267600,36.954094,-1.18551846833
2015-06-02,75.459999,76.029999,74.540001,75.360001,6738000,36.715367,-0.132517892029
2015-06-03,75.720001,75.879997,74.260002,74.389999,5304600,36.242783,-1.75647382783
2015-06-04,74.169998,74.769997,74.010002,74.089996,4235000,36.096621,-0.107863020301
2015-06-05,74.099998,74.209999,72.040001,72.139999,6580800,35.146583,-2.64507294589
2015-06-08,71.870003,71.870003,70.779999,71.059998,11108400,34.944957,-1.12704183413
2015-06-09,71.050003,72.529999,70.830002,72.129997,7453600,35.471147,1.52004778944
2015-06-10,72.010002,73.290001,72.010002,73.089996,6221400,35.943243,1.49978332177
2015-06-11,73.059998,73.449997,72.139999,72.150002,17591400,35.480985,-1.24554616057
2015-06-12,72.0,72.269997,71.309998,72.0,7770000,35.407219,0.0
2015-06-15,71.949997,72.900002,71.529999,72.599998,13586400,35.702278,0.903406569982
2015-06-16,72.879997,73.720001,72.699997,73.589996,9657000,36.189127,0.974202839223
2015-06-17,73.82,75.080002,73.769997,74.889999,8476200,36.828425,1.44947033324
2015-06-18,75.07,76.75,75.059998,76.610001,8595200,37.674265,2.05142000799
2015-06-19,76.800003,77.470001,76.519997,77.059998,11398200,37.895558,0.338535143026
2015-06-22,77.449997,77.959999,77.290001,77.410004,6275800,38.06768,-0.051637187281
2015-06-23,77.389999,77.400002,76.449997,76.699997,3673600,37.718522,-0.891590656307
2015-06-24,76.650002,76.839996,76.330002,76.339996,3460000,37.541486,-0.404443564137
2015-06-25,76.620003,76.639999,76.309998,76.330002,3400200,37.536571,-0.37849254587
2015-06-26,76.620003,77.0,76.330002,76.559998,6354600,37.649675,-0.0783150582753
2015-06-29,76.089996,76.309998,74.949997,75.059998,6232200,36.912025,-1.353657582
2015-06-30,75.57,75.599998,74.360001,74.660004,6626600,36.715321,-1.20417626042
2015-07-01,74.839996,75.349998,74.510002,74.779999,8121200,36.77433,-0.0801670272671
2015-07-02,75.029999,75.43,74.480003,74.68,4596000,36.725154,-0.466478748054
2015-07-06,74.239998,75.290001,74.190002,75.190002,5376000,36.975957,1.27963904309
2015-07-07,75.18,76.870003,74.860001,76.769997,6698000,37.752946,2.11492019154
