,ADM,BF-B,CAG,CCE,CHD,CL,CLX,COST,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MJN,MKC,MNST,MO,PEP,PG,PM,RAI,SJM,STZ,SYY,TAP,TSN,WBA,WFM,WMT
ADM,1.0,-0.0149856260423,0.0688133063353,-0.0273845335501,-0.0345992575604,-0.00292673258652,0.0354820998097,-0.0142563983629,0.0261436199926,-0.0683388628748,-0.0194926706539,-0.0069886395627,0.41266384735,-0.0108309935825,-0.0595126914727,0.189835631191,-0.0234733514324,-0.00312863775619,-0.226602474355,-0.0321780768022,0.0488728673459,-0.0135427865007,-0.0147168347345,-0.0245541950083,0.0220287072254,-0.0285767683061,0.0537378264107,-0.104487844761,-0.0397394446036,0.0328991599436,-0.0452763760649,0.0271010919629,-0.0195796563635,-0.0429658043623,0.0242142489006,-0.0724560242498,0.00409336345187
BF-B,-0.0149856260423,1.0,0.0529548684836,0.0274576533868,0.0539591140323,-0.0093214477649,0.0128147475853,0.0590866310209,-0.0236543953446,0.177596957016,-0.0545005185998,0.0311476955138,0.0786208165685,-0.00204279169246,0.430402049815,-0.0188804344487,0.0510691481412,-0.0365717018734,-0.030751673394,-0.0562457344712,0.0702946592931,-0.0666530745371,-0.00325177028232,0.00771384924017,0.00547957422022,0.0455431176383,-0.0287173037418,0.00728132076682,-0.0270847364397,0.210340160444,0.0118158804155,0.0020688922552,0.0199580521695,0.0266267507228,0.0480729953775,0.074959509804,-0.0475822973678
CAG,0.0688133063353,0.0529548684836,1.0,-0.257366898545,0.106303095945,0.0513637960703,-0.013468162919,0.0272514783587,-0.0401139129394,0.103051379155,-0.0245371810841,0.0124282374968,0.116315702958,-0.0147688705234,0.0548311393091,0.0476811520678,-0.0874280090095,0.093373028756,0.0162436092312,-0.00985139756726,0.0468492259359,0.0725959767342,-0.00627889938092,0.00241750066276,0.0548491789288,0.0471914338507,-0.0678197986216,0.0985051092431,0.0675070542409,0.101234695007,0.123355839422,0.0391682943957,-0.0183663467163,-0.0483531821423,0.0369091360563,0.135352070686,-0.0423950358389
CCE,-0.0273845335501,0.0274576533868,-0.257366898545,1.0,0.041961540911,-0.0994177644243,-0.0129822910849,-0.0247777772009,0.00169444920641,0.0345071951374,0.00258423975292,0.039746247002,-0.171510295566,0.0905239208584,-0.0053103305202,-0.0129722078593,-0.0720483593574,-0.135379451898,0.00316746250421,0.0266735168605,-0.0808880164779,-0.0294114198262,-0.0936081939371,0.005832280203,0.0146466386879,0.00231662656608,0.0616464657502,-0.00800696363911,-0.0109530905966,-0.0850046442139,-0.0510507067448,-0.136021770709,-0.0203567692798,-0.150734866984,-0.0334017161275,-0.0113000265458,-0.0490635414609
CHD,-0.0345992575604,0.0539591140323,0.106303095945,0.041961540911,1.0,0.0340269502873,-0.0385565365201,-0.0106884898528,0.0121757149649,-0.0174761746434,-0.0239797550516,-0.0431396790498,-0.070600696191,-0.0274273413664,-0.00301799199577,-0.0602189252879,-0.307164196157,-0.068402456477,0.0910190417385,0.310491673208,0.052280816297,0.00287694136615,-0.0911498772391,-0.0407091848832,-0.00981385028178,0.031580141518,-0.0202681164845,0.00899559200811,-0.0222416298636,0.347364057615,-0.0047294355842,-0.065055959946,0.0757235704164,0.018939769618,0.014657980084,0.0238433863929,-0.103366470714
CL,-0.00292673258652,-0.0093214477649,0.0513637960703,-0.0994177644243,0.0340269502873,1.0,0.0728317157494,0.0528147287065,0.299024987734,0.0272271247844,0.365389965592,0.01718248378,0.175414207846,-0.0176336292417,0.0473891717047,0.0414566969364,0.310174043231,0.0382810531714,0.0854672405083,-0.00908738110342,-0.107855427201,0.142994445736,0.072370008261,0.0256668485158,-0.087774213477,0.0894295070209,0.0251076098143,0.0873715106161,-0.0221458472056,0.124603108067,0.0118438765868,0.0503588046176,-0.0914783972265,0.0965075974631,0.0449252784518,0.0226076897086,0.0256082268978
CLX,0.0354820998097,0.0128147475853,-0.013468162919,-0.0129822910849,-0.0385565365201,0.0728317157494,1.0,0.0296711972297,0.0538273993249,-0.000810280983774,-0.0108441786417,0.0119306137682,-0.0106334762612,0.0565753292431,-0.00405302594706,0.553910563488,0.0516993472331,-0.24493009962,-0.0534767039466,0.0151798689845,0.059366872124,-0.0597624271859,-0.00305822878609,0.00905645895462,0.0302796960419,-0.0159793927347,-0.172470316594,-0.125823570533,-0.0220632224923,-0.114179340252,-0.0983740273063,0.0409001126304,0.0128240162781,0.0141803851074,0.00129647514796,0.0119466480622,0.0405990682377
COST,-0.0142563983629,0.0590866310209,0.0272514783587,-0.0247777772009,-0.0106884898528,0.0528147287065,0.0296711972297,1.0,0.0438904352516,0.0476543632753,-0.218244747256,0.0872847139126,0.0192369097275,-0.179586590943,0.0566591158785,0.0302380290401,0.0957879655668,0.21010132563,0.0656776658034,0.0224455825865,0.027123927039,0.0352043225471,0.0192639181244,0.00628044625272,0.0295892519651,0.0224182714101,0.0182997921627,0.0296352643865,-0.0395224858396,0.0641210008352,-0.0553147574893,0.0113432584701,0.00294919046096,-0.000231613182511,-0.00243383782503,0.0284938759759,0.0436951632118
CPB,0.0261436199926,-0.0236543953446,-0.0401139129394,0.00169444920641,0.0121757149649,0.299024987734,0.0538273993249,0.0438904352516,1.0,0.0320325040437,0.0891415623612,-0.00537260888318,0.0747338329807,0.012202746213,0.0333990423698,-0.0256984047273,0.0636054228322,0.00959834757024,0.0127714470637,0.0354499214352,0.0800990528075,0.117110405407,0.0345213292737,0.00983459950158,0.0511025373593,0.016231893401,0.0222614808883,0.0647669907621,0.0211420958955,0.0138392030838,0.0032756117966,0.0959019803846,-0.176261345918,0.0661057306122,-0.00221453769038,-0.00296022624795,0.0964137342925
CVS,-0.0683388628748,0.177596957016,0.103051379155,0.0345071951374,-0.0174761746434,0.0272271247844,-0.000810280983774,0.0476543632753,0.0320325040437,1.0,0.00824755259044,-0.00780376107322,-0.00622150520922,0.1804871027,0.385238821804,-0.0884064006358,-0.234571431493,0.00117844916688,0.00873158888438,0.0648888228261,-0.0597038651846,-0.0491655642565,-0.0115508461793,0.00653399452376,0.0042315496963,0.0682175338033,-0.0547367651533,0.173685454944,0.00333529186675,0.0493889765189,-9.13529263877e-06,-0.027750997941,-0.0281477578505,-0.0406895020138,-0.0265838829243,0.116169923773,0.0065259238858
