,APA,APC,BHI,CHK,COG,COP,CPGX,CVX,CXO,DO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SE,SLB,SWN,TSO,VLO,WMB,XEC,XOM
APA,1.0,0.00310080469106,-0.0365371053643,-0.0540067218892,0.0152161303103,0.0377719597287,-0.0221259675065,-0.00619207869724,-0.147606055077,0.0774707824487,-0.176563808797,0.216334594511,-0.00215721749735,-0.00674599350796,0.0639759856245,0.0505762446138,0.0157301658018,0.00376225021783,0.0113437157407,-0.2068643258,-0.10810278095,0.00462691834426,0.0630817356239,0.0243635580621,0.00167782737889,0.0545941972119,-0.0166317793189,0.0531059543898,0.0124901132643,-0.0474473837273,0.0062801857519,0.0963062910753,-0.0693039495798,-1.20447996425e-05,-0.0165062315296,-0.0732558895173,0.0156429315209,0.0205744270576
APC,0.00310080469106,1.0,-0.0583538052998,0.0711027715136,-0.00884433942954,0.0929715100142,-0.0105056974946,0.0392294137145,0.0493930959663,0.065392895132,-0.0338711641891,0.126212465793,-0.0230670107735,0.0760437505885,0.0284690179616,0.0400697039066,0.0193486539743,-0.0132773742596,-0.0432350798741,-0.0489824074993,-0.0753216128408,0.048508768153,0.0496676558239,0.0303806967055,-0.0490399890694,0.00564509942237,0.0536414393605,0.0126163474773,-0.0384527231574,0.0160124996186,-0.084603809613,0.0324148928727,0.00024614605809,-0.0568445728587,-0.0162509614661,-0.0153189718874,0.0244844348908,0.00501358387955
BHI,-0.0365371053643,-0.0583538052998,1.0,0.194328689204,-0.00166155233316,-0.0562902618902,0.00840646614131,-0.00255731180625,-0.05686183843,0.00929960078567,-0.214048617779,-0.146166511035,-0.0382328424573,-0.00960834184277,0.13737311098,-0.026737212399,0.0746090927658,0.00622073053167,0.00914966125441,0.234170350673,-0.0173849664861,-0.0322495383187,-0.0420597102897,0.184794029628,0.0312804190202,-0.0746475960008,-0.00176251459957,-0.238810619339,-0.0214443002164,-0.0164489852884,0.038920408429,-0.0197649948337,-0.0439727626243,0.0572266636252,0.0292531035943,-0.02843596448,-0.0481341484828,0.0758567691813
CHK,-0.0540067218892,0.0711027715136,0.194328689204,1.0,-0.148701743008,-0.00889356342077,0.0051811538269,0.0086251612538,0.0823754935561,0.103154867461,-0.0716686040398,0.000120032084879,-0.0216420290349,0.0363575565892,0.0987574102534,0.0092689519436,-0.124386142088,0.0503135182748,-0.0139694674772,0.151626756276,-0.119107523706,-0.106090837444,-0.0566225082435,0.0337879883847,0.02625972618,-0.0541822694021,0.00287906810643,0.0491080980956,0.032064206345,-0.00866961427514,0.101504304138,-0.124667937934,0.0787756817719,-0.0380742538099,-0.0636813962283,-0.0184911815984,-0.118852629954,0.067591098091
COG,0.0152161303103,-0.00884433942954,-0.00166155233316,-0.148701743008,1.0,-0.0243389016307,-0.0461474230023,0.0135993863881,-0.0214778951256,0.0245345171722,-0.00392738711023,0.0313389544803,0.169945715442,0.00529508523267,0.0825672121452,0.097552272457,0.126663313324,0.00715862073835,0.105357863881,0.0229585179443,0.018508189866,0.00374771499619,-0.103290932877,0.0169515585233,-0.00106456172633,0.0376382779652,0.0210827566893,-0.00915597828676,0.0219232177582,0.0260418130743,0.0276230324326,0.0102668992356,0.154610942243,0.0407061078652,0.0316140515947,-0.0409350292535,0.0251470708782,0.0867401825265
COP,0.0377719597287,0.0929715100142,-0.0562902618902,-0.00889356342077,-0.0243389016307,1.0,-0.0484669695701,0.0635581806486,0.0734585951343,-0.0848391072556,0.0617895654381,0.031946169452,-0.0361971910782,0.0317750667668,-0.006980122161,0.0385667850332,0.0335039813306,-0.0399107460345,-0.0639615847794,-0.135385602183,-0.0136342286207,-0.401964676038,-0.0261187646175,-0.0646909784448,-0.0379432030943,0.0375549118435,0.00459450259506,0.0122648101877,0.0443966393057,-0.0827207550556,-0.116419025826,0.0362200002539,0.00185329316369,-0.0590117993771,-0.00353068994157,-0.0111319777752,-0.0661990340384,0.0333293491308
CPGX,-0.0221259675065,-0.0105056974946,0.00840646614131,0.0051811538269,-0.0461474230023,-0.0484669695701,1.0,0.0273191803507,0.0275310370605,0.0250774228818,0.0244127578772,0.0937532504812,0.0297880550541,-0.0118313281756,-0.00475152786356,0.0435364772792,-0.0261935231464,0.00961459753817,0.0113519360531,0.136596162907,0.0438059152908,0.105894765085,-0.046172342856,-0.00923283124617,-0.0499984810923,-0.00598640727002,-0.0179759080174,0.0183039933056,-0.0178467150137,-0.0181928305126,-0.0640387229464,0.0242329484146,0.0182994775748,0.0338563874936,0.0422597806022,-0.164054295092,0.0091654956163,0.100459725897
CVX,-0.00619207869724,0.0392294137145,-0.00255731180625,0.0086251612538,0.0135993863881,0.0635581806486,0.0273191803507,1.0,0.007565015744,0.0222874912416,0.0476019906003,-0.0297137123943,-0.00908416435394,-0.01642492312,0.0381674665087,0.00992817563129,-0.0688063846128,0.097313300961,-0.0491569404602,0.0010701383903,0.0125415938648,0.0664117882003,-0.253819636408,-0.144283611742,-0.00472364870315,0.00878507401783,-0.00692129894087,0.0465435319999,-0.116949319295,-0.00632613845512,-0.00450949615677,-0.0034491410534,-0.0253952583167,-0.024818772113,0.0387714859142,-0.0306131067186,0.0120432826185,-0.0201758537643
CXO,-0.147606055077,0.0493930959663,-0.05686183843,0.0823754935561,-0.0214778951256,0.0734585951343,0.0275310370605,0.007565015744,1.0,0.0315329286763,0.0535585373526,0.0798575472467,0.0236758495465,0.0867931107932,0.0671469974885,-0.228226617883,-0.116691801229,0.0243509155557,-0.0273009364952,-0.0252706845621,-0.0199038949364,-0.0095071326725,0.0431045737662,0.0138410634575,-0.0526361016305,-0.0451240776191,-0.00421031061637,-0.00194553609672,-0.0208790831641,-0.272688372468,0.114314121126,-0.110802372049,0.0638108065704,-0.0434968126873,-0.0573819819071,-0.0408788765139,0.0423161497498,0.0307589296364
DO,0.0774707824487,0.065392895132,0.00929960078567,0.103154867461,0.0245345171722,-0.0848391072556,0.0250774228818,0.0222874912416,0.0315329286763,1.0,-0.0803000740811,0.144465259272,0.0576365314476,0.130432396827,0.0832840630522,0.0161481796986,-0.0163251058307,-0.00489644907338,4.87250686654e-05,0.148311837703,0.0483743179726,0.00679727070211,-0.0368587579258,-0.0193958424742,-0.0021091689044,0.0127532263888,0.0283804071324,-8.42568386007e-05,0.0152580560536,0.00738644009281,-0.0550058440163,0.0132943331256,0.165557768277,-0.0350662203058,-0.00487569811113,0.0194408698113,0.062856145302,-0.0216454436974
