,AFL,AIG,AIV,AIZ,ALL,AMG,AMP,AMT,AON,AVB,AXP,BAC,BBT,BEN,BK,BLK,BRK-B,BXP,C,CB,CBG,CCI,CFG,CINF,CMA,CME,COF,DFS,EFX,EQR,ESS,ETFC,EXR,FITB,FRT,GGP,GS,HBAN,HCN,HCP,HIG,HRB,HST,ICE,IVZ,JPM,KEY,KIM,L,LM,LNC,LUK,MAC,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,O,PBCT,PFG,PGR,PLD,PNC,PRU,PSA,RF,SCHW,SLG,SPG,SPGI,STI,STT,SYF,TMK,TROW,TRV,UDR,UNM,USB,VNO,VTR,WFC,WLTW,WY,XL,ZION
AFL,1.0,-0.0357322607558,0.000763034823463,0.0131207257898,0.000262507175552,0.133449375562,0.0573692841384,0.0816609568539,-0.0773859247942,0.114198555377,0.0327259129636,0.0159751860379,-0.164426193794,0.0812817879081,0.0948361484421,-0.147774801152,-0.0169892991278,-0.0253503128699,-0.0229840253656,0.0434713434839,0.0353670069011,-0.108247781098,0.244295481595,0.0330044408847,0.221786910392,0.0959317431108,0.0584370315811,-0.0487554847642,-0.045356873543,0.189660463676,0.0404391263396,-0.0269968269122,-0.0185496253815,-0.0202982238856,-0.36991613211,0.0324224523105,0.137868068286,-0.283840610536,-0.00941416803121,0.0760566967577,0.0109689244584,-0.0352227202402,0.0172192575896,0.0578982172631,0.0813245826867,0.139341987113,-0.0155474328796,-0.0386107106804,0.0622912653907,0.0588336063445,0.00889252670796,0.0601829266558,0.00733539536214,-0.014161496962,0.135195637929,0.0115913253622,-0.200608538539,0.0553222584242,-0.00948148569343,-0.00324160361748,0.176867335575,0.0892908928395,0.0248048392806,0.0505571047767,0.0629780059694,0.0722335018909,-0.221045072657,0.0484423299921,0.0456493687723,-0.063050054485,0.0682507372323,0.00776846742995,-0.0198974202105,0.0292318212818,0.0775993144788,-0.103680304657,-0.043951797385,-0.0107148146301,0.0125849169494,-0.144169337649,0.0106530516375,0.0746991826353,-0.00135835442732,0.115990848431,0.019993193017,0.0149606149005,0.0319402454672,0.054456210617,-0.00996202853298,0.0218703061599
AIG,-0.0357322607558,1.0,-0.0219210156844,-0.0342023054569,-0.0328330827505,0.00405804840272,0.0198062864533,0.0232603948567,0.0456260804956,-0.0490680855518,0.104868483397,0.0467723197709,0.0631349240023,0.070893110511,-0.00855326223067,0.0332684574026,-0.0119820026101,-0.0160311839647,-0.0203831332394,0.0149441451353,0.0183145557507,-0.0843653137442,-0.00114861134916,-0.217421343562,-0.00661923871938,0.0339657372461,0.0171250592216,-0.0394769350071,0.00459365406442,-0.00302445892933,0.00786549700295,-0.0722987911804,0.0249435070287,0.0202700462984,-0.027134884183,-0.0147565036423,0.0899677668015,0.0550540111275,-0.0120478717778,0.0474164667397,-0.0509925015011,-0.00137789169026,-0.0301756236404,0.0107158249256,0.249995341412,0.0355644940284,0.0786206318515,-0.0664481989016,-0.195747231698,-0.230757091391,0.036825842971,-0.0449655631397,0.0320893908208,-0.0121527198023,0.106903653925,0.087057366594,0.0517811153172,0.0354737152625,-0.0193162639303,-0.0617603074547,-0.00451054601428,0.0154996773934,-0.0278941457325,-0.0497485600302,0.0110145222662,0.0187644307948,0.0601623585984,0.00421656944508,0.000289808873604,0.0330687696748,-0.0301698889146,-0.0255688327267,0.00396909870531,0.0144309162936,0.0298744335732,0.0275087325488,0.0421675794936,-0.0519426287461,0.0110221113276,-0.0487462762983,-0.0848918313778,-0.0726144287908,-0.0191873802456,-0.0741704473896,-0.0284219842193,0.20501493446,-0.108397593113,-0.230022572988,-0.00553914162686,0.0797923600384
AIV,0.000763034823463,-0.0219210156844,1.0,0.235372502817,-0.00482298972579,-0.100605156808,-0.0398423495176,-0.0421842391385,-0.472302254625,0.0664289375297,-0.00503049567171,-0.06062678156,0.056164120474,-0.0378544172763,-0.0520832763313,-0.0293053830774,0.515084932962,0.0664181519301,-0.0483356852472,0.0631883283685,0.0133276152547,-0.0463594187767,-0.0565898208146,0.0255100896457,-0.01808429198,-0.0780262347188,-0.0257541372782,0.00744193106038,-0.034649177616,0.0706298493228,0.0794281713446,0.0654576125541,0.0545073681769,-0.0168853886767,-0.0139601322868,0.0681582040922,0.0773251850084,-0.00496300842716,0.0145136718627,0.114997711423,-0.0262094012704,-0.0569521169998,-0.0127608317483,-0.123087367765,-0.0164010819098,-0.00453406307372,0.0141400886043,-0.0151787832185,0.116558783886,-0.0126730278333,-0.019158864627,-0.0325385570519,-0.0200968954426,-0.00671119718801,0.142575625771,0.0300275894266,-0.0204044423678,-0.0345801573798,-0.0344945415623,0.0187833268616,-0.0947613240077,0.243947261733,0.0431384707054,0.0271873824887,-0.0397872558538,-0.185613473369,-0.0321895343613,-0.00385541512109,0.119906685224,-0.0304669631748,-0.101184955143,0.0231495352487,0.105323286822,-0.0362785187204,-0.0275852975471,-0.159597437217,-0.0301771333871,0.12288977942,0.0545825527062,-0.0421916750885,0.119625962919,0.0724080555223,-0.0812632713719,0.165838093377,0.0534307621568,-0.0291446362513,-0.0172770907533,-0.0379409981481,-0.00312088704905,0.139326674664
AIZ,0.0131207257898,-0.0342023054569,0.235372502817,1.0,-0.124241063201,-0.0311716331254,-0.0675978501815,-0.0127165578437,-0.225622926277,-0.0291981098393,-0.0480145286241,-0.0683766640686,0.0310615554797,0.0995546184326,-0.0101988093369,-0.00799334184949,0.211995882317,0.0461279200595,0.0143772462415,0.147211604342,0.222231202274,-0.0306647609485,0.0148036222699,0.108662695268,-0.00266967090778,-0.0629659384149,0.0147856840254,-0.0891272498284,0.021862494897,-0.00195150696279,0.00281074556118,0.00503861864581,0.0671295993001,-0.006010111913,-0.00085385925628,0.0376933257538,0.1041178817,0.0659910941378,-0.0431496730573,0.0105672731568,0.0688725902473,-0.0140112724148,0.0495683855462,-0.110992141142,-0.0149613621687,0.0158904041899,-0.0893164222964,0.00666906693957,0.0620988506646,-0.00906289515778,0.134993356851,0.0251179355925,0.0714190306498,-0.0389147639422,0.144101077229,-0.0230389025206,0.0634386102765,-0.031980196288,0.0741926230338,-0.0596708894165,0.0175060388001,0.00630899271609,0.0892655354054,0.04174399275,0.0109863390543,0.00936254990605,0.0379598913031,0.0709356209115,0.14084381373,0.0212588333819,0.0399845233035,0.0378793629643,-0.00563070965207,-0.0757597418303,-0.0886052041452,-0.0771543781803,0.00248271330727,0.00336515223806,-0.149835882844,0.0193384988735,0.114784897184,-0.012564192658,-0.0510428985659,0.0420006026182,0.0130028850477,0.00574356812199,0.0610169363254,0.0122125174751,-0.336106916834,0.0645430335089
ALL,0.000262507175552,-0.0328330827505,-0.00482298972579,-0.124241063201,1.0,-0.034381565923,0.0243238782414,-0.0285017765567,0.0748870130353,0.0233783213681,0.0539507327109,0.0218053490066,0.00709009510375,0.0477793129676,0.0377397070581,-0.00230511535803,0.00524250587105,-0.00835333289994,0.0393446562852,0.0179034818552,-0.0144272657302,-0.00517806651953,0.0204276049587,-0.339452800717,0.00420083078572,-0.0512002242396,0.0354227065952,0.00291780889665,-0.0335952733949,0.0374331379325,0.0196539482195,0.0692754228544,0.0550546444093,0.0176929765439,0.0204814506737,-0.00730595956238,-0.0765242391814,0.0336858549092,0.0064040750692,-0.0722753663799,0.0496013473545,-0.0221536532646,-0.00249825948742,-0.0385671052354,0.0353300237441,0.0515106254472,0.0253441377965,0.0378418147753,0.0702853446057,0.0559334604737,0.063665941055,0.027768993743,0.0290661409884,-0.0272131993288,0.0791421052974,-0.0529801853951,0.0189927319901,0.0104298499841,0.0118922659914,0.033210110503,-0.00220265300483,-0.0164914090452,0.122662063568,-0.0697856007536,0.0543490600344,0.0515178419096,0.034248501831,0.0773310188592,-0.753237390543,-0.0117722826388,-0.0276862647504,0.0692893506272,0.0775320023994,0.00236230839552,-0.0176736001757,0.00445711818147,0.0123741107293,-0.00568475892398,-0.026955926735,0.0633122152045,-0.380728426893,0.0565158503313,0.00750235601217,0.0127599274576,-0.000537260372384,0.0116108018592,0.0622655749907,-0.0011513003381,-0.0435236451539,0.0237048061538
AMG,0.133449375562,0.00405804840272,-0.100605156808,-0.0311716331254,-0.034381565923,1.0,0.0504498455452,0.0168004887066,0.0136355059734,-0.00452915919476,0.0516599055564,0.0921486659038,0.0341342004042,0.0117198106431,-0.0119964977478,0.0238873292083,0.0125500790941,-0.0141645624819,0.0345844401798,-0.0245518249292,0.0016295932892,0.0321518737783,0.186738746713,-0.0027082832527,0.0353299265165,0.204566273519,0.0208003877714,0.00909711651711,0.0233649882445,0.00605605676245,-0.0312345253461,-0.0163797253274,0.0448611581581,0.00297834009855,0.0169794173975,0.0225445125144,-0.00880304271299,0.0332484230278,0.0236641551913,0.00437001311231,0.0339563406723,0.0146466700429,0.009662706564,0.0395346742163,0.0127904653363,0.0225931595361,0.0421681653779,-0.0118486243817,0.0197859354715,-0.0422065634729,0.00123985959051,0.0502259677172,0.0155293643407,0.0868151324141,0.0522572118559,-0.0456158698102,0.0577719730058,0.0903718549353,0.0172946965191,0.0563461076289,0.0992129309522,0.0376434144423,0.0309346071844,0.276719053781,0.0178323338139,0.099751146895,0.0327635138017,0.0348160824551,-0.117263047268,0.0646963166469,0.0781205612822,0.0496635179653,-0.00452373796741,0.0407705276536,0.0232949961006,0.0161547438935,0.109716735665,-0.014575917701,0.0370505485557,0.0191783458805,-0.00268939454707,-0.0128603835188,0.0343208276374,-0.0307717603236,0.00734381561062,-0.0264819047919,-0.0774220606636,0.0994162288861,0.00163018212293,0.0664275094879
AMP,0.0573692841384,0.0198062864533,-0.0398423495176,-0.0675978501815,0.0243238782414,0.0504498455452,1.0,-0.029785129606,-0.00318905567326,-0.0444681124119,-0.0266281640156,-0.145803819511,-0.150958235247,-0.0477334150045,0.196745574225,0.0166595315071,0.00138237919489,-0.044945150621,0.0210270095221,0.00902528498774,0.0213034040982,0.0348149683928,0.360495360041,0.0123135496124,-0.00732644814825,-0.0601348977347,0.0820298722892,0.0626814236993,-0.0259417733213,-0.0482593038477,0.024526435129,-0.0401234081502,-0.00702213162218,-0.0339988191794,-0.0183754262367,-0.0421814124947,0.0623895089119,0.014955111237,0.0175044834606,0.0935386593679,-0.00359366146873,-0.0234493816818,0.0104559795245,0.0100710835149,0.101631295354,-0.0113671053831,0.0741305379984,0.00954325697996,-0.04904058887,0.025768525397,0.0165803255084,-0.0207034401179,0.0223629437513,0.143972475953,0.0681612639066,0.100272042494,-0.0125832820299,0.0109047352259,-0.0132624877631,0.0278527829789,0.0570536378261,0.0288566349355,0.0260218810504,0.00522357667003,-0.00689499438141,0.173939929072,-0.00889902566468,-0.258803374049,-0.100124935361,0.0741443426146,0.0575132374903,-0.299815557035,0.220305978926,0.0217273664009,0.02177603461,-0.0223880432741,-0.041067451161,-0.0361073539349,-0.00794261409774,0.0134367596239,-0.0438593723114,-0.121839870368,0.0541019581278,-0.0987498343995,-0.0484925154415,-0.000898327367602,-0.246329777887,-0.0538482543525,-0.0414624521628,0.000132938275101
AMT,0.0816609568539,0.0232603948567,-0.0421842391385,-0.0127165578437,-0.0285017765567,0.0168004887066,-0.029785129606,1.0,-0.00535103467039,0.0950497797551,-0.0235288628434,0.0473782858269,0.0371498024945,-0.0326254531527,0.0131824390733,-0.131384115639,-0.0357351540363,-0.00154641266139,0.0809412946221,-0.0821466993206,-0.00405550064746,-0.00274266884722,-0.0215025792405,0.0676648904644,-0.00250276923134,0.0350779609248,0.0275308170225,0.0395770170599,0.0217916075075,0.062918452427,-0.0245358387089,0.00973790661371,-0.194799954501,-0.0440326028222,-0.0133299954335,-0.0533804284335,0.021179556875,0.0550708322882,-0.0119627491079,0.00799557349344,0.0824100276382,0.00274931585496,-0.00991205219948,-0.0428475764646,-0.00696985993073,0.0249679173605,0.000964616835298,-0.0205948358716,-0.00506806175847,0.0428989848662,-0.0334742477776,-0.0610201688648,-0.0388398608009,0.088319948982,-0.0264362711842,-0.07261565157,0.0373843831014,0.0143856747839,0.0142106228778,-0.0255745226657,-0.00139725797269,0.0269521558473,0.000736484534719,0.0127188099413,0.127835786056,-0.0252236251818,-0.0224943946205,-0.0152967021257,-0.0244750168954,-0.0276343604246,0.0359244412951,0.0152391331376,-0.00980595043426,0.0313539180645,0.0060251810954,0.0168364085359,-0.0771827895859,0.107413005756,-0.00903098981848,0.222710879326,0.00755290171998,-0.0191317569155,-0.00358267503856,-0.0805642079948,0.050261019808,-0.0249925695616,0.0055679010175,-0.0122441822341,0.142724964719,-0.0301532069913
AON,-0.0773859247942,0.0456260804956,-0.472302254625,-0.225622926277,0.0748870130353,0.0136355059734,-0.00318905567326,-0.00535103467039,1.0,-0.00482130470495,0.0153079511541,0.0551018014922,0.0122465173911,0.0786343253028,-0.0451943014152,0.0221773162583,-0.49992314416,0.0257481001923,0.0112150994585,-0.0224374726212,0.0116369758088,0.00239142158699,0.021070320318,-0.0701319847018,0.07970591304,0.146153264377,0.0194815996217,-0.131776463373,0.0887688178693,-0.0262506859413,-0.0721165261779,0.0142603000616,-0.0066904394036,0.154809690828,0.0180426773921,-0.0432498936876,-0.0306439982777,-0.0311132176638,0.0158232172175,-0.13832979066,-0.130358204549,-0.0103876417989,-0.0409885376333,0.0675936364183,0.00223458402786,0.11074585626,0.0666617576554,0.0332986047533,-0.0877589057383,-0.149156692379,-0.0789873177812,-0.0537633291318,0.0191760359963,0.102537182117,-0.192610607723,0.0654701462856,0.0297354171754,-0.0218753710663,0.102470286338,-0.0441821582533,0.023773638988,-0.112975400396,-0.0695287371197,-0.0472782580238,-0.160749659106,0.00634063398953,0.0951720370556,0.181235370412,-0.153531604338,0.0434954650972,-0.0868753423427,0.045220059581,-0.0588814465137,0.012245202981,0.0521840080205,0.108021478377,-0.00289004805777,-0.150500694824,-0.0500918136286,-0.0383962312974,-0.0759656768557,-0.0104915035812,-0.0457006739148,0.0067647255951,0.0346267206443,0.0260412330834,-0.220320251697,0.00639856112225,0.0110267393098,-0.188820254543
AVB,0.114198555377,-0.0490680855518,0.0664289375297,-0.0291981098393,0.0233783213681,-0.00452915919476,-0.0444681124119,0.0950497797551,-0.00482130470495,1.0,0.0211959814222,-0.0115699943261,-0.0322226442983,-0.0348072687109,0.0228544696616,-0.0635802422726,-0.00243539190091,0.0928208228767,-0.0294082498063,0.0207369135312,0.0400463433161,-0.0666572188697,-0.00629407284439,0.0176652935726,0.0167967297252,-0.0210095912906,-0.00652840272497,-0.0324734408462,-0.0320953561965,-0.0789428185715,0.00603607636726,-0.109736858177,0.0871057784637,-0.00461664328205,-0.0633722909816,-0.0111239929049,-0.04685703307,-0.129887648285,0.00934262543494,0.0168460503834,-0.0224698438828,-0.0205623018873,-0.0343002373957,0.0129383537371,-0.0678439038631,0.0753065877154,-0.0107786908162,0.143469475819,0.000347011249399,-0.0512484925671,-0.0105670902251,-0.0100331844424,-0.0326117418021,-0.00167350395429,-0.0105277243546,-0.0212474640859,-0.128489149579,-0.0343606335394,-0.00737059948708,0.0588264501463,0.00826066747332,-0.280274194978,0.019503727223,0.0141185010413,-0.0087093676391,-0.131155692119,-0.0640758734625,-0.0230050307996,-0.0119836678176,-0.0325114418891,0.149013612828,-0.0476953424638,0.0127049846703,-0.0590859911771,0.0181016231009,-0.0644720471592,-0.0337518085895,-0.0141097257909,0.0271915520896,0.00412423676841,-0.00655924367028,-0.0295468967348,-0.0305580936683,-0.0136473165118,-0.00511662521095,-0.00855630852111,-0.0262111197954,-0.0101356026519,0.0193819496947,0.00783415120006
