,A,ABBV,ABC,ABT,AET,AGN,ALXN,AMGN,ANTM,BAX,BCR,BDX,BIIB,BMY,BSX,BXLT,CAH,CELG,CERN,CI,CNC,DGX,DVA,ENDP,ESRX,EW,GILD,HCA,HOLX,HSIC,HUM,ILMN,ISRG,JNJ,LH,LLY,MCK,MDT,MNK,MRK,MYL,PDCO,PFE,PKI,PRGO,REGN,STJ,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
A,1.0,0.099637736808,-0.0912245886073,0.031114063596,-0.0227327626324,-0.00768943177259,0.00484443515846,-0.0224192770369,0.0231859175381,-0.0886292690813,-0.0375484122722,-0.00527709789924,0.00580777252462,0.0407908529334,-0.0936752018276,0.0154710652353,0.0409141110505,-0.0159270305622,0.0119885038808,0.0194862704716,-0.00317867674543,-0.0617599555084,0.113327915113,-0.018668420245,0.29676523314,0.0327225537402,0.034656518985,0.0726168706739,-0.00984535935138,0.00346242860893,0.043103705332,-0.00149721102454,-0.0327469977763,0.0956481768956,0.0108101283548,-0.0197815072609,-0.000804439113198,0.17536759565,-0.0431862161879,-0.0373592757633,-0.0333469070548,-0.0480268592979,-0.0541648830528,0.101774132128,0.0759289901557,0.000476257669726,-0.223903026154,0.0120339832302,-0.0147080041682,-0.13992293522,-0.0306814974271,0.114845681495,-0.0182838123855,-0.0682333288055,-0.0088711671015,0.0513410621878,0.0603208213612
ABBV,0.099637736808,1.0,-0.00159834010782,0.0215934576579,0.0433935673045,0.046383974028,-0.0125429370569,0.0135357872426,0.0098587734692,-0.10217327211,0.0141600575022,0.0388840281489,0.01467397152,0.0526699174888,0.0873209954174,-0.0445766003948,-0.0151204942897,-0.0254346065198,0.0120941196176,0.00471056626514,0.0111919281986,-0.124230505924,-0.00268866844963,-0.014861661415,0.0207647949324,0.0120719798379,-0.0404360634118,-0.085207615913,0.201724896785,-0.0299593978447,0.0348967997914,0.037001432223,0.0488422749861,-0.00140827592173,-0.0250697822551,0.0593354551627,-0.0658474162372,0.0948071633678,0.0246725142637,0.0455415014733,0.00977827914758,-0.0145382308333,0.087330849035,0.0222526038657,0.0273184498183,-0.146574201254,0.00424681949008,0.00341798737599,0.0424231805961,0.0151529010372,0.00619110257094,0.034909835178,-0.0313204532838,-0.0294162616395,-0.0184111391991,-0.0190588057396,0.0432243238122
ABC,-0.0912245886073,-0.00159834010782,1.0,-0.0492352219763,-0.0243483586117,0.00654425930887,0.00340671441678,0.0211006129513,0.0550729669989,0.021035084051,-0.0305065926916,0.00160995126918,-0.0193226845624,0.00519786875491,-0.00991205939162,0.102569033153,0.00805486799626,-0.019938141158,0.0167668739011,-0.0288844470459,0.00178536351366,0.000456172627625,0.0198679083083,-0.00433118631482,-0.0594735997223,0.0092120245679,0.000317218367882,-0.0212773387557,-0.0278342632332,-0.00368271735158,0.0239952329001,-0.0176607169059,0.00707664107219,0.00605360853794,-0.00791867242242,0.00171401187029,0.0575374431494,0.00025920894532,0.00124869472627,-0.0165571622345,-0.0203808858711,0.0418670295859,0.000466224870219,0.0306916196841,0.00688140385007,0.0154428688134,0.00989831805331,0.00109282879437,-0.0207784435056,-0.0251476260169,0.0335604167427,-0.0512523361625,-0.0090783281607,-0.0037738636273,0.00502110169463,-0.0564850129992,0.010343255998
ABT,0.031114063596,0.0215934576579,-0.0492352219763,1.0,-0.0395891818074,-0.0101950577615,0.0208435330098,-0.323073719735,0.0298296783636,0.0653522772775,0.179813562119,-0.0409911558492,0.012915673251,-0.0256600404004,-0.0267247019571,0.18212669933,0.0990004619314,-0.0257025819269,0.0483734368577,0.00563132704119,-0.0541934258145,-0.0338120357684,-0.0828900921371,-0.0812177061456,-0.0215792950258,-0.0662414782895,-0.0884702698028,0.0379189744727,0.0774278493029,-0.0312365251266,-0.0111801408311,-0.0240354793094,-0.0098145514482,0.0332046781956,-0.0371942122206,0.117534915432,0.0252687746619,0.0407057020171,0.0101312985339,0.0374183140795,-0.0114910311412,-0.0409083142082,0.0381216124493,0.0150352027255,-0.0510504191418,-0.0497592265496,0.0219138610852,-0.0556191646461,-0.00670830101904,0.00740729434822,0.0160541037782,-0.0440099806945,-0.00450918430019,-0.11815292592,-0.00530233141935,-0.235090465222,0.00402786549296
AET,-0.0227327626324,0.0433935673045,-0.0243483586117,-0.0395891818074,1.0,-0.100774721875,-0.000297779909114,-0.0440871372546,0.0362213447213,0.135554579451,0.00490619241526,0.0157142347357,-0.00120832722826,0.0472127826165,0.0601269438817,0.0246534557798,0.0199951033008,-0.030673595573,-0.267169087527,-0.00408983430786,0.0194531340616,0.0333232043101,-0.0463807985495,-0.0178374645313,0.000250461888153,-0.101934956165,-0.00841455134658,-0.00742678705678,0.0258196378195,-0.0213724751582,-0.00756675332198,0.264193330966,0.0344649799338,0.0201583544485,-0.00993324809253,0.00995824022724,0.0163509393015,-0.0212572722587,-0.00491922323678,0.0134989098112,0.0117162835603,0.0465551976688,0.000865342103299,-0.0137437915568,-0.00638464644285,0.0179064802396,0.00569263117909,-0.157863422846,-0.0252913958933,-0.00510029671336,-0.000675067545228,-0.0591417713514,0.0227777041064,-0.0370925889786,-0.00513553975975,0.0455109446683,0.00786475908009
AGN,-0.00768943177259,0.046383974028,0.00654425930887,-0.0101950577615,-0.100774721875,1.0,-0.000116688533654,0.0277628258025,0.00651153579884,-0.295602729726,0.0332578053143,-0.00907465679934,0.0409025201878,0.0274917092763,0.00122935772818,0.023791542778,-0.00380038698212,0.00309635527146,0.0639297667138,0.0323908840906,-0.0225647622383,-0.0115857125407,-0.00617977855778,0.0254579374914,-0.0246707716804,0.144844999143,0.0629290999137,0.0211559887526,0.029397092357,-0.00395319183234,0.0182894246813,-0.109416317593,0.00215199518762,-0.0140777450852,0.0037509420929,0.208820525449,0.03750570189,0.0297133759908,0.00945145411,-0.0531764566754,-0.0248159635111,0.0148529966761,0.0766296286394,-0.00942141624552,0.00107879443179,0.0128212403513,0.0265147152716,0.0294010575064,0.0110767813719,0.00416090462026,0.00223862885325,-0.00231127052144,0.00787477174738,-0.0221678968455,-0.0222335374986,-0.00220165803472,0.0198605688833
ALXN,0.00484443515846,-0.0125429370569,0.00340671441678,0.0208435330098,-0.000297779909114,-0.000116688533654,1.0,0.00744801449685,-0.0228433590889,0.0432100253002,0.00880266471854,-0.000480991059957,0.0293116842002,0.00817094580474,0.00792064285274,-0.0466739635095,0.00643443956591,0.0527046489271,0.00483963137531,0.134983227278,0.000420166304168,-0.00671243030863,-0.00824282060831,0.0441144776207,-0.0251320108434,0.0131342061402,-0.0247598429816,0.00994281906581,-0.000433503208366,-0.0834100556376,-0.0484595462509,-0.0301697199119,-0.0108549096147,0.0446553541924,-0.0152136770868,-0.0296600288927,0.637245051687,0.00413130526805,0.000213578560563,0.0620990373141,-0.0673486727451,0.0149563840884,0.0709088271854,0.0118251567848,-0.0037241275121,0.00358207066889,-0.0309084316541,0.037762450606,-0.0194020740241,0.00554898263618,-0.170851345453,0.0689238701099,0.00746402070455,0.0163072308505,0.0205995938844,0.0305757776216,-0.0107813421661
AMGN,-0.0224192770369,0.0135357872426,0.0211006129513,-0.323073719735,-0.0440871372546,0.0277628258025,0.00744801449685,1.0,-0.006576949266,0.0240458412644,-0.119100772904,-0.0527391725057,0.0235689941209,0.0158650043399,0.00284378283868,-0.00426798873459,-0.00354782088366,-0.00163658344842,0.0552773898923,-0.0132940994675,-0.0260723541632,0.00427039207577,-0.0433790680048,0.00847886203585,-0.0277364788429,0.00271187453562,-0.00465185762566,0.00382383946871,0.187294272157,-0.0242676148678,0.00640657236853,-0.05037009452,0.00711079877566,0.0500123854415,0.0137171864752,0.0693444903251,-0.0759161403984,-0.0167778672609,0.0830987537505,-0.00507826396453,0.000857019686512,0.0968318632156,-0.00980017002966,0.00828527887809,0.0224040322451,0.00948767440808,-0.0285330386858,0.0207929551452,-0.0159126040134,0.0185077127536,0.0267496479256,0.0900530759591,-0.00302952832422,-0.00765906576874,-0.00726893168734,-0.0079815822064,0.00179167822882
ANTM,0.0231859175381,0.0098587734692,0.0550729669989,0.0298296783636,0.0362213447213,0.00651153579884,-0.0228433590889,-0.006576949266,1.0,0.0044259996774,-0.0160111404488,-0.0385151502107,-0.0109164661266,0.0229611937662,0.0198069220492,0.0191698588241,-0.0230261235528,-0.0243567786675,-0.0316763891912,-0.0716865818149,0.0442312673455,-0.00387583643744,-0.48136707223,0.0805552654114,-0.054052664562,0.000362049055395,0.0196575922621,-0.0774719713021,0.00268615475991,-0.00963810717098,0.0390719430198,-0.00120972569038,0.0526745814284,0.0834220468219,-0.055861040593,-0.171994432664,-0.0643579797539,0.0577372007509,-0.000265820985043,-0.111370946273,-0.0906297855255,0.111213491657,-0.171794067159,0.034928467914,0.154163911207,0.0181653944951,-0.0430669123013,0.0290825262514,-0.0113011059983,-0.00495863600064,0.591550867631,-0.0142972378749,0.0520046121376,0.0297313119576,-0.0280109704503,0.0106967068967,0.0154636427438
BAX,-0.0886292690813,-0.10217327211,0.021035084051,0.0653522772775,0.135554579451,-0.295602729726,0.0432100253002,0.0240458412644,0.0044259996774,1.0,0.0970184416284,-0.0345312874119,-0.0325475730696,-0.0537521152793,0.0214236493287,-0.0825678487069,-0.0394332190598,0.0344000336205,-0.0962222928921,-0.00145039314299,0.0322412355648,0.135010585792,-0.0226723667142,-0.0409162098315,-0.0206256384465,-0.0553246896106,-0.105317736369,-0.03715817779,0.0854544624403,0.0316679389766,-0.0442018573046,0.00660140208502,-0.0222961629971,0.0182810246951,0.0330562620775,0.00115674038908,0.0311817620227,-0.0107390493502,-0.0216515739603,0.105512493221,0.0408400236086,-0.0218883141828,-0.0288374756092,-0.050106199606,0.0197948630979,0.0180151073158,-0.0386310089267,0.0065592332895,-0.0730235150995,0.005784422035,-0.00220890654986,-0.0328999050963,0.0921494187688,-0.0263772757753,-0.166211416088,0.0520411705028,-0.0819558258657
