,AAL,ALLE,AME,APH,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DHR,DNB,DOV,EMR,ETN,EXPD,FAST,FDX,FLIR,FLR,FLS,GD,GE,GLW,GWW,HON,IR,IRM,ITW,JBHT,JEC,KSU,LEG,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PBI,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TXT,TYC,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
AAL,1.0,-0.0375023296621,-0.0660040929464,0.0408603256507,0.00777426405427,-0.000807192008767,0.0067133463812,-0.00677953062099,-0.0217315390924,0.0667986726483,0.0505664657525,-0.0216422711479,0.0152299522404,0.0767385133464,-0.132516894811,-0.129064534063,-0.0117244546369,-0.0381797470205,0.0199030027983,0.0240338283745,-0.0248586507252,0.0220045605153,-0.00900823879067,0.0119284646654,-0.0252729034001,0.0267122916683,-0.0229753627731,-0.0628291152012,0.00656250978506,0.0202410309889,0.00289528616245,0.0532626043281,-0.0456492797376,0.0103397951424,-0.00283318053728,0.0108747524662,0.0452110144267,-0.0336520760514,-0.133529914893,-2.61434752053e-05,0.00200223732323,0.022272275711,0.0024712065438,-0.036276893296,-0.0235135431205,-0.000312541208573,0.0683947838563,0.0350601195976,0.0160252222647,-0.0109867035903,0.000530698040697,-0.125319366105,-0.0262066221374,-0.034225970141,-0.0326013537121,-0.0141384017336,-0.00360560442841,-0.0251031949928,0.0706354320997,-0.00677586000252,0.00713070065558,0.0154006797188,0.0262547114546,-0.0123848782004,0.0196302882204,-0.0158043828548,0.00152588350846
ALLE,-0.0375023296621,1.0,0.0600876353477,-0.0465318800078,0.0497644672175,-0.0535146056201,-0.184442630689,0.000559645503696,-0.0171287529208,0.108237685378,-0.124418374269,-0.0523296178833,0.00589329503891,-0.0921742856573,0.0403605441521,0.0198239037577,-0.0165504475199,-0.00285137248311,0.0627790267309,0.119815114845,-0.0874170840979,-0.136204245926,-0.0343242193138,-0.0599086327792,-0.0776495387841,0.0371029418617,-0.00618467248574,-0.0317685763954,-0.0598894808765,-0.0416355924484,0.123318644225,-0.007186643163,0.00340379107646,-0.00358653860921,0.00138430162939,0.100121309892,0.0360410238027,0.227080905019,0.128738906727,0.375412087266,-0.0314970637309,-0.0898243121527,0.238718003075,-0.0323577977679,0.230668807844,0.0536521063215,-0.323257181849,0.0467910227864,0.0408088415555,-0.0171816004437,-0.0240315151899,0.0932281610787,0.0694193082798,0.00777729780562,-0.00485298754086,0.0154882516293,-0.0310445733438,0.0253286232392,0.0664277166387,0.0976915325865,-0.11454317634,-0.0631552493652,-0.1005726649,0.141085944258,-0.0219415645289,0.056471365687,-0.0407210198996
AME,-0.0660040929464,0.0600876353477,1.0,-0.0187247596747,-0.0130801644471,0.0730818182784,0.0310056391587,-0.0463715037401,0.0323127374791,0.0766832775038,0.0329771874446,-0.0961394369571,0.0137911286622,0.0968284059222,0.125404448637,0.314186376806,-0.0309133133532,0.0434863261076,-0.0344353543418,0.00602407837472,0.0447183955912,-2.59252441715e-06,-0.0912278836566,0.0500695625692,0.0455014951445,-0.0296844501579,0.124148426929,-0.0530267226547,0.0581023795911,0.050615688729,0.0313810288801,0.0590053526379,-0.0458937393754,-0.0149989008555,-0.0518415554059,0.0680185913237,-0.00664196867593,0.0401482384983,0.369391016288,0.145198576515,0.0196275776135,0.0327423925953,0.195182664218,-0.0570853910328,-0.0126790883441,0.00466857651996,-0.163007586801,0.0852881821815,0.00666526096664,0.00356023597061,-0.0511537880349,0.0202073044444,0.0430907650833,0.0281226982305,0.0512225874699,-0.0279523149249,0.00814726637781,-0.0302074081878,-0.0197356605487,0.000830353726965,0.0449168913364,-0.0107832713432,0.0314151125951,-0.0345489343577,0.0291471898471,0.0122692202155,-0.0437292857733
APH,0.0408603256507,-0.0465318800078,-0.0187247596747,1.0,-0.0532342245884,0.00973457295257,-0.0871763978366,-0.0249105796576,0.0513085935956,-0.05212758741,-0.0384908218161,-0.177647032788,-0.0566848817715,-0.0786990609799,-0.0452348273299,-0.0366143593502,-0.0272402449389,-0.0490901701182,0.105525342239,0.0454335573531,0.0621849869574,0.055658144378,0.020440713191,0.0345444602132,0.00417644130463,-0.0415253642139,0.116824120128,-0.0270592736215,-0.0287827070955,0.00500693943628,0.0342916085902,0.0348544530076,0.0611756601712,-0.00435497805678,0.047919489424,-0.00593339139558,0.029469927781,0.0706957898221,-0.0953050111006,0.0105826311436,0.0865658279751,-0.0654720656403,-0.0717247878278,0.0642765395179,0.106437239858,-0.0449498489733,-0.00447234472362,0.109483839906,0.128488086887,0.0345839120425,0.0254589175745,-0.0866309559275,0.00192158904357,-0.087893207824,-0.0665861434638,-0.148176217993,-0.0501204410408,0.0387349165177,0.0431738566268,0.0197482346109,0.0303048675854,-0.023247971443,-0.1144075308,0.0304946423593,-0.0144053916367,0.0207885058272,-0.0682003822438
AYI,0.00777426405427,0.0497644672175,-0.0130801644471,-0.0532342245884,1.0,0.0513638455291,0.00902155051061,-0.000554850353076,0.0386355638875,0.0790416964847,0.0272696144231,-0.0201457300115,-0.0674508650442,-0.113423846813,-0.0482825009912,-0.0686941805451,0.0153160823127,-0.0886582304764,0.0353219437424,0.0446405421852,0.00695759534891,-0.0285124528707,0.14452741166,-0.085460827638,-0.0239047081709,0.21363030034,-0.0600581727634,0.130504461839,-0.0413873634837,0.0216906507532,0.118803478373,0.0308559091808,-0.0270908917287,-0.0222333032016,-0.00630047379965,-0.066347430843,0.0454508005099,0.0569611463076,0.0322858444772,0.0591209074372,-0.0380931472368,0.085840647155,0.0753046462478,-0.0946150663862,0.0397912049391,0.165358563261,0.0605629102011,-0.00239179765136,-0.138784908459,-0.0519784415846,-0.0566678089152,0.0203440273401,-0.0265911338242,-0.102789446112,-0.0472363017841,0.0235477163011,-0.0206484366954,-0.128694026985,-0.0399304649488,0.0845217628323,0.0557427770396,0.0199439119109,-0.041869728294,0.00883503773029,-0.0324617889496,-0.00179783303085,-0.0350313664062
BA,-0.000807192008767,-0.0535146056201,0.0730818182784,0.00973457295257,0.0513638455291,1.0,0.133796911957,0.0097178037102,0.00161590206609,-0.000162962130585,0.0798993791113,0.267880029629,-0.00840428268297,0.0873648751819,0.0264827741475,0.0300322882765,0.0209510123345,0.111021228533,0.0223517388404,0.0193539776714,0.0395838715484,0.0117247736962,-0.0448446538713,-0.0936707597065,0.532910198459,0.0228192594329,-0.0131794197318,-0.0196372602573,0.0704485714244,-0.0336225919696,0.0386991086703,-0.00565700611459,0.0236544108682,0.0180618654015,-0.0225804977244,0.0152950662837,-0.190315005658,0.030312126724,-0.0093786908672,-0.00775173247614,-0.055305031554,-0.00459207355533,0.0226949617721,-0.0709226639452,-0.00257068847213,-0.0185685901995,0.064196403413,0.0295875056336,-0.048870794383,-0.0874653714025,0.111806051239,-0.0204772099407,0.00176999418658,0.00121689333361,-0.00403497387123,-0.0233541462393,0.01266633692,-0.00827591098726,0.121445371167,0.0149610741162,0.0263332545156,-0.0110556807884,-0.0171604755605,-0.0840493852886,0.0554484697039,-0.0940949326632,0.0297498048673
CAT,0.0067133463812,-0.184442630689,0.0310056391587,-0.0871763978366,0.00902155051061,0.133796911957,1.0,-0.0112141038654,0.0348053264685,-4.17967313967e-05,0.0673927526211,0.109600936925,-0.012164734432,0.0411765672826,0.0186863791651,0.0309062891967,-0.0317265329002,0.0622444693156,0.00745405117919,0.00596510234921,0.0809893523667,0.00260972524399,0.0238126256392,0.0120848181302,0.150311139236,0.00790625031344,-0.00177776058584,0.0180280600173,0.0239664449387,0.010897553952,-0.1285058206,0.00384254224699,-0.0617088583364,0.0600532998788,0.132792609862,-0.0443065072989,-0.136497217138,-0.213825445164,-0.0435219260841,0.00188645770547,-0.0307180793632,0.316745950161,0.0916532956791,-0.030699978132,-0.312128814955,-0.0367501575935,0.0170275796406,-0.20490187018,-0.193333063692,-0.0528346079178,-0.00226899917989,0.0189053656302,0.0225281585494,0.0433349622826,-0.0540271392175,0.00113528929887,-0.0577737889248,0.0362828038218,0.0292001277441,-0.0406716683067,0.00957832274689,-0.0152186443413,-0.0306922031872,-0.014234444763,-0.0155589801679,0.0139172540702,0.0153492894568
CHRW,-0.00677953062099,0.000559645503696,-0.0463715037401,-0.0249105796576,-0.000554850353076,0.0097178037102,-0.0112141038654,1.0,-0.00830562202816,0.0251189283348,-0.00909359316443,0.00155663620648,-0.00128736728627,0.101690661789,0.0104374457631,-0.055590780336,0.0155818613513,-0.0277426314019,-0.00519057519999,-0.0512146360919,-0.00485032038012,-0.0527272230043,0.197841352259,0.041140599505,0.00741799205007,0.00588024246442,-0.00966107804964,-0.135500091179,-0.115800081185,-0.0164925605438,-0.00233387811498,-0.0125440949969,-0.0115637265111,-0.0383289911947,0.00386853266619,-0.111521292799,-0.0885389897704,0.0200173016069,-0.00427435355474,0.0139610898978,-0.0237363332631,-0.00185453030103,-0.0614931824111,-0.000828488232663,0.00484851297526,-0.0247151409658,0.0119379703358,-0.103402069043,-0.0220923729671,-0.0268511608802,-0.012532810582,0.00509933271337,-0.00355888394824,0.119100075982,-0.0220687675719,-0.0429525609037,0.0295016707144,-0.000156378610886,-0.0168986522723,-0.00334588613372,0.0358235919614,-0.0430562020483,0.00265611169276,-0.00328803866852,0.111575225613,-0.033179573709,0.0224738483261
CMI,-0.0217315390924,-0.0171287529208,0.0323127374791,0.0513085935956,0.0386355638875,0.00161590206609,0.0348053264685,-0.00830562202816,1.0,0.00643903419082,0.0239163521501,0.0450304940965,-0.0110940595267,0.034401770313,-0.0613448808469,0.0775951134135,0.0111795006053,0.0495728947864,-0.0909972430668,-0.00441391700287,-0.0589717115585,-0.000165198446277,0.0675263047328,-0.00808086643686,-0.0152399083539,0.017464409794,0.0102620164797,-0.0186370812944,-0.0101057126777,0.264326833098,-0.0268801038116,-0.0587435303722,0.0100291695036,0.00613055484363,0.0441318348755,0.0373267732947,0.0146484992582,-0.0191362470747,-0.00193159646567,0.0261308308782,-0.0512773457438,0.00890993559344,5.46599287393e-05,-0.027406996209,-0.0228161851414,-0.0130850207562,0.00930211953233,0.169647881813,0.0273326336323,0.000145211037304,0.00903903115699,-0.018249218079,0.0629430069439,-0.00376280789305,-0.0717205386389,0.000837360633517,0.0268716671605,-0.0133210075699,-0.0119754896487,-0.00313322398824,0.0263226098746,0.101355540093,0.0106765312768,0.0050302320664,0.0115389437909,-0.0137405171126,0.023416212759
COL,0.0667986726483,0.108237685378,0.0766832775038,-0.05212758741,0.0790416964847,-0.000162962130585,-4.17967313967e-05,0.0251189283348,0.00643903419082,1.0,0.0328111901663,-0.0524663135876,0.0743075229556,0.0475076193458,0.0143196230764,0.077530600496,-0.0167027219148,-0.0171679334908,-0.0140642128029,0.0272263424219,0.0752029500893,-0.0683428630666,-0.163194239574,0.0917796119561,-0.0154255503496,0.0084509893347,0.00951956823409,0.0242352069265,0.18523665062,0.0321104310356,0.00854231307915,0.0940249713415,0.0325167811093,0.142698301636,-0.0138672724029,-0.0440560071262,0.100119652599,0.0144919745185,0.0711179043324,0.0066143636285,0.0260808540284,-0.0203912361563,0.00139584608645,0.0306707312719,-0.0283373408546,-0.00500668281732,-0.218442502909,0.0148896647287,-0.0172009525372,-0.0195291338926,0.0119102568389,0.0821871664446,-0.0224464842684,0.00402912314085,0.00813116794927,0.2155890842,0.0752292182862,-0.1839860886,-0.053056829771,0.00198790694703,0.02851177897,0.194340872352,-0.00569333904928,-0.0183568090514,0.003107627315,0.0190970305494,0.00883178979508
