,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,ATVI,AVGO,CA,CRM,CSCO,CSRA,CTSH,CTXS,EA,EBAY,EMC,EQIX,FB,FFIV,FIS,FISV,FSLR,GOOG,GOOGL,GPN,HPE,HPQ,HRS,IBM,INTC,INTU,JNPR,KLAC,LLTC,LRCX,MA,MCHP,MSFT,MSI,MU,NFLX,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,SNDK,STX,SWKS,SYMC,TDC,TEL,TSS,TXN,V,VRSN,WDC,WU,XLNX,XRX,YHOO
AAPL,1.0,0.00235893263969,0.029372588151,0.0274603902907,-0.00287084137989,-0.00985116357139,0.0953590601344,0.00407772859996,-0.0722991895187,0.0889249371098,-0.0354856957098,-0.0762256330987,-0.0254286872289,-0.0754929948403,-0.0859200651533,0.0057056477202,0.0058247761977,-0.0876383969006,-0.00592699559252,-0.041626886769,-0.0608506426923,-0.0445366422606,0.00660558163649,0.0172859409938,-0.0733236995099,-0.0284856971291,-0.0197815067223,0.0440732487408,0.0129992134254,-0.0514793448497,-0.157861275144,-0.181246547301,0.103346091674,-0.00995093726156,0.00257574479936,0.0612610955542,0.0193479011843,-0.0245106761062,0.0149647930247,-0.0365139204466,0.101240818659,-0.0418979285412,-0.00333520490191,-0.0459661298866,0.0359685267494,-0.0643733687134,-0.00206800576432,0.0394509726078,-0.0724440559483,0.00366639218977,0.0273390070812,0.19149298643,0.00600382802092,0.0693063665796,-0.0387033379565,0.128836273929,0.0116825439851,-0.014310076645,0.00809326693761,-0.0321373519575,-0.00686415289987,0.0613285259869,-0.0931154756685,-0.0382608643762,0.0721996880287,0.0997238166236,0.0134568883428,-0.0624478230978
ACN,0.00235893263969,1.0,-0.00458814803527,-0.00212672842617,0.328377238277,-0.173563227779,0.0791137824199,0.0757075396502,0.0230372454432,-0.0805695629233,0.00129048552499,-0.0280920807155,0.0269946642105,0.0712422306132,0.00215263346069,-0.0622539542615,0.0258920019715,-0.0075146812521,0.0333969745702,0.0307347442337,0.0860179091687,0.0827639084616,0.00501941435739,0.0438645450247,-0.0100910050994,0.0267585363033,0.030232614956,-0.0418256736038,0.0962774811534,-0.100971596681,-0.0154184276759,-0.0018896966184,0.0294094782481,0.0143335852278,-0.067905546037,-0.0571775591212,-0.0142269431064,0.0203447666045,0.0264075745992,-0.0635460042895,0.0401090076623,0.0178723335036,0.0458821228888,-0.0535879363219,-0.01229451497,0.0525322419353,-0.0202577764782,-0.238676055561,0.0204369142134,0.0640675473213,0.0662009359916,0.0105058826425,-0.0580314214511,0.00254180111029,-0.0351702854621,0.024366312993,0.0230375952956,-0.00301190988698,-0.0185628717038,-0.124983950034,-0.0535370880764,0.0399644855779,-0.00711564827357,-0.0849972725215,0.00624526255849,0.0181412503815,0.0412884217654,0.279985293141
ADBE,0.029372588151,-0.00458814803527,1.0,0.00056650873226,-0.0298339705187,0.0459412663576,-0.0491726547004,-0.0393175937048,-0.000245170728779,-0.0330240598169,-0.0837806889096,0.143201315739,-0.0416226817113,-0.0385545522195,-0.0278615351157,0.0623752028834,0.0297913867516,0.00484126436148,-0.0109358107168,-0.0143899129397,-0.0931061771138,0.132860315195,0.0563909117589,-0.0685588344563,-0.0425214690134,-0.0055423873888,-0.0177288734182,0.00236143633758,0.0535489439433,-0.148684251629,-0.0570624936859,-0.0177078841224,0.0775604522865,-0.00967718402823,0.0472847095042,-0.00878225037749,0.0205875853638,-0.00437086168478,-0.0100633117949,0.077945970129,0.030773484194,-0.272661316016,0.1785328145,-0.0194877961903,-0.0545995474288,0.00919751527198,0.108452567693,-0.0083251227945,0.0828741930642,0.0567521143448,-0.0153799677614,0.0156107623775,0.0413217910075,0.0126600800107,0.0554264466665,0.0427635875528,0.037535581901,-0.0101332797465,0.040804114277,-0.0265805497938,0.110692191299,0.0252906059387,-0.0454519046098,-0.0958983778664,0.00114143277907,-0.0126404634243,-0.00994026906199,-0.0844886801507
ADI,0.0274603902907,-0.00212672842617,0.00056650873226,1.0,0.00369336905622,-0.0101743022328,-0.0130175779348,0.147109162458,0.0186498385688,0.0170947088966,0.0593438331276,-0.0595903188958,0.0631702831556,-0.00632087785142,0.00198542227243,0.0303260389109,-0.0110042830721,-0.0205171982939,0.0603557053168,-0.0471441284677,0.00279851245653,0.014976808106,0.00672533474879,-0.00524690632176,0.00352558344253,-0.0383127013162,-0.00891640665932,0.00422949981899,-0.0207970528664,-0.0554101914796,-0.00353990425926,-0.0499843614901,0.0122626476023,-0.637464372211,0.0412408808244,-0.0272408040145,0.0140725113759,-0.0302773389959,0.0207465487786,-0.0782205508121,-0.307293047213,0.0645819847528,-0.0650787515929,0.0214099209888,-0.0128224086319,-0.00616922676753,0.0916782529421,-0.00779433906186,0.0538023465207,0.0352793672956,-0.046805623899,0.00120786854116,-0.0236633741925,-0.110222375036,0.00425944075045,-0.0669613079508,-0.0348665978422,-0.0318136396747,0.0248333579233,-0.00933178895559,0.10618434109,-0.0186459787849,-0.00909894518049,0.35385586654,-0.0472224429264,-0.0490487100827,0.014870143133,-0.0532225246517
ADP,-0.00287084137989,0.328377238277,-0.0298339705187,0.00369336905622,1.0,-0.0454572672655,0.0446662491448,-0.00641551302285,0.0159222679,0.0154120965646,-0.00972692474279,-0.0960979635635,-0.068538273477,-0.180624107741,0.00744000386162,-0.0295987722005,0.0207033057028,0.0309650100546,-0.0332388195854,-0.04372865048,-0.0268791763799,-0.0252789748027,0.0271201780578,0.0246589293518,0.046421138275,-0.044102606104,0.054019743279,0.026661464969,-0.0302304269048,0.0868597149742,0.0105766385895,0.0592513686437,6.71899271882e-05,-0.00269352077469,-0.0402198321397,0.00993251540353,-0.0147665393271,-0.0204462508427,-0.00104770609753,-0.118461491661,0.026158782619,-0.00223289236879,0.0138121880278,0.0259654142497,-0.0468740225022,0.0828658461965,0.0212136781281,-0.142072043271,0.246389468387,-0.024181870189,0.0594537224599,-0.0303413487444,0.233912575561,0.0133190307278,0.00178846416722,0.00359600244239,-0.0275110465227,-0.0808172172666,0.0311832066232,-0.230107008641,-0.0758261788975,0.00997259833654,-0.0552870138311,-0.0130872788537,0.0410143605542,-0.014793136675,-0.0122469474747,0.142333750102
ADS,-0.00985116357139,-0.173563227779,0.0459412663576,-0.0101743022328,-0.0454572672655,1.0,-0.0416210477646,0.0526217330919,0.0737701386786,-0.0288614534584,0.0289676519794,0.00654660243659,-0.00480078592894,0.0419458669731,-0.106208216646,0.0114350746302,0.0106909608325,0.0260584048011,-0.00224677665166,-0.0253726491144,-0.0563360872924,0.0499847381993,0.050215604898,0.0669373539802,-0.0558708402064,0.0489448790875,-0.00492300116728,0.0207227002517,0.0323044822218,0.160077506997,-0.0182421009496,0.022519308584,0.0229446161501,-0.0614759104559,0.0315118543771,0.00181830590189,0.0272558094302,0.015908180765,0.01616300897,0.0565192892563,-0.0799201946023,0.0684605593568,0.0103626498932,-0.0340609362746,0.00347706051764,-0.0031897732908,-0.0112338615996,0.0626627024962,0.0239322633506,-0.0039222416603,0.0103588187263,0.012457489108,0.0844821638992,0.025425845226,0.0941115076011,-0.0190712609883,-0.000432793083326,0.035231795427,-0.00467919509338,-0.0246063009995,-0.0436783917176,0.0198731664883,0.00521949807129,-0.0106543414908,0.127610476758,-0.0270502468161,0.000557133303165,-0.169800336138
ADSK,0.0953590601344,0.0791137824199,-0.0491726547004,-0.0130175779348,0.0446662491448,-0.0416210477646,1.0,0.00148555426569,0.0115954743321,0.00100384988491,0.0149051368888,-0.000407999223552,-0.0267915035595,0.0539596857381,0.101865680268,-0.0461342893704,0.0367186649034,0.00858684219177,0.0308558495749,-0.0850242683544,-0.0176202761799,-0.00616802615301,-0.00571534689781,0.0243995218618,-0.0169131508473,-0.115943886723,0.00505840870935,0.00416101056312,-0.0155819292505,-0.085611334152,-0.0123885162169,0.013437201928,0.0413802891813,0.00905282251906,0.0142172258896,-0.0110191485395,0.0439224058744,0.00826303130854,0.0490236091012,0.0739187785798,0.0429707993044,-0.0602521665303,-0.012886518966,0.0237596300785,-0.0013083273431,0.0564105923412,-0.0423483032927,0.00146798067624,0.162003976321,0.0899764956025,-0.103202710063,-0.00385627403789,0.00236649480534,0.0087131629462,-0.151921196486,0.0576619640371,-0.053925682898,-0.0289188279392,0.0296207687518,0.00246750072177,-0.10456546326,0.0300539369346,0.017689755668,-0.0579767835518,0.214870896381,0.0271400780265,-0.0212470694825,0.046136912278
AKAM,0.00407772859996,0.0757075396502,-0.0393175937048,0.147109162458,-0.00641551302285,0.0526217330919,0.00148555426569,1.0,0.00480961661136,0.0241936411478,0.0261294798115,0.0737408101351,0.141288178831,2.36205126627e-05,-0.1250149983,0.137147842004,0.00635807467766,-0.0306236161368,0.0656086086183,-0.108131585512,0.0271384221085,-0.0194131586508,0.0297826397239,0.0125749473217,-0.0125350857427,-0.0113692518144,-0.020162321588,-0.0107908519564,0.0634000261957,0.0104682897996,0.0343076938516,-0.0629895675539,-0.0566331318454,0.0246017918493,-0.0125717048718,0.0117262323178,0.0296022285187,0.0432029366417,0.0283798290307,-0.062498854601,-0.183312910878,0.039024139262,-0.0427515277807,0.00823949911375,0.0408548669212,-0.0518748341862,-0.0141317798534,-0.0909998903048,-0.00753542757468,-0.0272011356834,-0.0556697061626,-0.00296295358423,0.0351815542241,-0.15511721651,0.0171062213863,-0.339480969444,0.0831559608775,0.286927646231,-0.000717231966694,-0.0316779859215,-0.0735659228401,-0.0200381495061,-0.00448527247387,-0.0478865049923,0.0432955806294,0.0950271760888,-0.0107882416674,0.115951148261
AMAT,-0.0722991895187,0.0230372454432,-0.000245170728779,0.0186498385688,0.0159222679,0.0737701386786,0.0115954743321,0.00480961661136,1.0,-0.0805181284554,-0.16382424901,0.0702185138925,0.0234520844418,-0.0852054283612,0.0566733049917,0.0235874415532,0.0416441454496,0.0181121160598,-0.0404313414183,0.0117239790473,0.0752863616096,0.0530151005433,0.0356107971433,0.246005607377,0.0206807301519,-0.0177157342612,0.0413212483995,0.00224804084928,0.0159673534701,-0.0594412076096,0.206323327145,-0.209914386993,-0.122555715832,0.0240879333297,-0.0534547055448,-0.123852929271,0.00946591257534,0.305340499269,-0.191891696946,-0.0196743960513,-0.0124074186076,-0.0258607037619,0.00177853752129,-0.00605270811478,0.0166842918883,-0.0198994328355,-0.00661648149286,-0.015233189436,0.0115950753903,0.0175416550661,0.0557667583426,0.0354412000863,0.0440833759673,-0.0166335739841,-0.0373792456454,-0.0145637207862,-0.0461264412836,-0.0688267013867,-0.0140825835204,0.0952534077199,0.0423998016266,-0.00770860473246,0.0970578350755,0.0013814101976,0.00958564285134,-0.0302629098368,-0.0230315416024,0.0906853899919
ATVI,0.0889249371098,-0.0805695629233,-0.0330240598169,0.0170947088966,0.0154120965646,-0.0288614534584,0.00100384988491,0.0241936411478,-0.0805181284554,1.0,0.0399892518229,0.000926858435969,0.0159751381375,-0.0768449328366,-0.00205974163083,0.0507750910454,0.00747699276036,0.0318637590871,-0.0443056794816,-0.029126634389,-0.0787820465696,-0.0024382866672,-0.00689902816104,-0.0158768231981,-0.0159002345598,0.00563855201244,-0.0314443771724,0.0488685187831,0.0185832654541,0.06162867488,0.0841824059157,-0.00101075880443,0.0286594410537,0.0229210914791,0.00604331258735,-0.0124637789761,-0.012909905798,0.0531729814847,-0.0081406168715,0.0313676918908,0.00108732575823,0.0538103808814,-0.16890161238,0.0155995264829,-0.139583733552,0.0790186197322,-0.00562540725623,-0.0344242217788,-0.000731650800024,-0.157569029362,-0.0258955187333,-0.0299317446412,-0.0147951883118,-0.0123386967896,-0.0291171221608,-0.00519149603787,0.0370821051508,-0.036723754565,0.00480432260077,0.0397178801113,0.0200863251209,0.036117235109,-0.0522447176173,-0.00355771098663,-0.0458806264807,-0.0512408387179,-0.066966216816,0.0712190877135
