,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,GAS,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,TE,WEC,XEL
AEE,1.0,-0.144550002552,0.00258706222833,-0.148534011783,0.176772609092,-0.0540041128216,0.163559382095,0.10963737795,-0.0225575814135,0.0977271621683,0.183386029903,-0.028019319273,-0.303543482797,0.0953452550582,-0.0404523194958,-0.0556436110968,0.270272483063,0.0873107479285,-0.0813991945086,-0.211334151759,0.0245527900487,-0.134672407962,0.151761309608,0.0518729125001,0.415917175111,-0.0134787833289,0.0267010123683,0.430012452819,-0.111482013192
AEP,-0.144550002552,1.0,-0.00491410612869,-0.0514257693515,-0.0110489900651,0.0276585748552,0.029794929772,0.038222654536,0.0565351589947,-0.0216285927308,-0.0183952410935,0.0195820761374,0.129274506365,0.0337489440268,-0.0058645085172,0.0180204527382,0.0114885396078,0.0219797381275,-0.0132346566728,0.104923267689,0.0186103820595,0.118371816879,0.0281242661005,-0.141576576515,-0.0661096103877,0.0119114378027,-0.0303349706119,0.0420339061132,0.0977158395255
AES,0.00258706222833,-0.00491410612869,1.0,-0.0172033860113,-0.0103386400415,-0.0144656996268,0.0135629491729,0.00258599683226,-0.123985804804,-0.00901981311253,0.0749543096719,0.0842474887234,0.01937921309,-0.0266871745875,0.00392828530357,0.00643738329696,0.045175207095,0.0136809576257,-0.0541107869287,0.0656270495977,0.0155837900442,0.0408972266096,-0.0324421104278,0.0271157747791,0.0357210605844,-0.023542133287,-0.0130853424179,0.0331912069047,0.0698062409211
AWK,-0.148534011783,-0.0514257693515,-0.0172033860113,1.0,0.0307397252813,0.0035225867762,0.0434782981494,0.0154011153374,0.0530548753575,0.0707694962839,0.0495014053684,-0.0643624250707,-0.0650908665603,0.0347783925106,-0.0580209035516,0.149531763,0.0477952936467,0.00985022021071,0.0951724705681,-0.0519591683757,0.00097193821289,0.0429638986252,0.00108173169222,0.0346593665,0.0593732353714,0.0333214407561,0.0767550950783,-0.0511884727166,-0.0278073280174
CMS,0.176772609092,-0.0110489900651,-0.0103386400415,0.0307397252813,1.0,-0.00297368308757,0.0313581616984,0.465129876714,0.0379848602994,0.0415091992653,0.145854776625,-0.0577251818865,-0.173359351394,-0.000843418939024,-0.0121338210389,0.125029069517,0.0898239184454,0.0284021389122,0.0760622838409,-0.0745650550341,0.0196065176417,0.07098728646,-0.0437672093144,-0.0648753625239,0.0862110917133,0.00620104563552,0.133359851561,0.0122799837826,-0.0683079659995
CNP,-0.0540041128216,0.0276585748552,-0.0144656996268,0.0035225867762,-0.00297368308757,1.0,-0.04541962212,-0.00230757403419,-0.17770693468,0.00388870369755,0.0426857333533,0.112110727501,0.116280090953,0.0696417886053,-0.119143525694,0.113734845254,-0.011093280832,0.0575576087168,-0.0228614300674,0.0308072305578,0.128861523084,0.0340318638531,-0.0167397374002,-0.0186142090822,-0.0117351695642,0.1174706448,-0.0546495092199,-0.0603257818176,-0.046046656838
D,0.163559382095,0.029794929772,0.0135629491729,0.0434782981494,0.0313581616984,-0.04541962212,1.0,0.059460436005,-0.0578623429063,0.0766530498929,0.0146346062905,0.0136750148317,-0.137798088825,-0.0332868746883,-0.0131123050703,-0.00697796597121,0.140156246103,0.0633082578632,-0.0119291822723,-0.0702484763424,0.00989068916317,-0.0676821105355,0.0452243738105,-0.355692881615,0.277808058231,-0.00859309657333,0.0155245880609,0.240522940804,-0.0691157787995
DTE,0.10963737795,0.038222654536,0.00258599683226,0.0154011153374,0.465129876714,-0.00230757403419,0.059460436005,1.0,0.0311587897047,-0.0605247175321,0.0802447554814,0.0103883656952,0.0306642899178,0.00441043392018,-0.00180137024827,0.0432163821824,0.0389214935137,0.036041539059,0.00725934963913,-0.0614379625632,0.110333040609,0.016686020037,0.0917584195192,-0.0803536973593,-0.0265317949441,0.0061098435434,0.199666735411,0.08252651817,-0.0510490645284
DUK,-0.0225575814135,0.0565351589947,-0.123985804804,0.0530548753575,0.0379848602994,-0.17770693468,-0.0578623429063,0.0311587897047,1.0,0.0461613874577,0.000426304611722,-0.241284899834,0.0695953669527,0.0314224368583,0.0164931236493,0.0512155948278,0.00881332315179,-0.000498412643035,0.0378363561951,0.00549863928753,0.0757680325203,0.134317395234,0.0995791180634,0.086287408433,-0.0180303483883,0.0508627234981,0.0256005377372,0.0175037036776,0.0636772996229
ED,0.0977271621683,-0.0216285927308,-0.00901981311253,0.0707694962839,0.0415091992653,0.00388870369755,0.0766530498929,-0.0605247175321,0.0461613874577,1.0,0.131509369795,0.0324275666461,-0.0599481787086,0.0192899591197,0.0263479277137,0.278252531966,0.0357900637062,0.0702396603859,0.0295557427252,-0.0246164473074,0.0173990050536,0.072716877169,0.125475248321,0.0444699008197,0.122773627752,-0.00932164116007,-0.0564261359923,0.0856861364686,-0.00260142335329
