Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,46.240002,46.869999,45.790001,46.299999,2748900,46.299999,0.129751291966
2015-03-10,45.5,46.02,44.860001,44.860001,2859600,44.860001,-1.40659120879
2015-03-11,44.860001,45.240002,44.27,44.630001,2988500,44.630001,-0.512706185628
2015-03-12,44.830002,44.869999,44.389999,44.470001,2784300,44.470001,-0.803035877625
2015-03-13,43.98,44.0,42.689999,43.009998,4056500,43.009998,-2.20555252387
2015-03-16,42.669998,43.700001,42.209999,43.619999,3844200,43.619999,2.22639101131
2015-03-17,43.189999,43.779999,42.5,42.919998,3949400,42.919998,-0.625147039249
2015-03-18,42.490002,44.959999,42.400002,44.689999,3602000,44.689999,5.17768156377
2015-03-19,43.98,44.330002,43.630001,43.98,2230800,43.98,0.0
2015-03-20,44.689999,45.040001,44.189999,44.200001,5874500,44.200001,-1.09643770634
2015-03-23,44.380001,44.959999,43.919998,43.93,2567600,43.93,-1.01397248729
2015-03-24,44.110001,44.220001,43.41,43.720001,2892900,43.720001,-0.884153233186
2015-03-25,44.049999,45.16,43.810001,44.82,2885100,44.82,1.74801593072
2015-03-26,45.450001,45.59,44.32,44.810001,2028700,44.810001,-1.4081407831
2015-03-27,44.389999,45.220001,44.200001,45.049999,1699400,45.049999,1.48682138966
2015-03-30,45.259998,46.040001,45.07,45.810001,2244300,45.810001,1.21520774261
2015-03-31,45.310001,45.580002,44.990002,45.119999,1886100,45.119999,-0.41933788525
2015-04-01,45.18,45.950001,45.18,45.389999,2242700,45.389999,0.46480522355
2015-04-02,44.950001,45.849998,44.790001,45.34,2547900,45.34,0.867628456782
2015-04-06,45.549999,46.900002,45.23,46.48,2599700,46.48,2.04171464416
2015-04-07,46.5,47.209999,45.98,46.27,2146100,46.27,-0.494623655914
2015-04-08,46.450001,47.130001,45.98,46.07,2458900,46.07,-0.818086096489
2015-04-09,46.259998,48.439999,46.080002,48.290001,3221800,48.290001,4.38824705526
2015-04-10,48.439999,48.709999,47.810001,48.18,2082100,48.18,-0.536744437175
2015-04-13,48.130001,48.349998,47.290001,47.5,2584400,47.5,-1.30895696429
2015-04-14,47.939999,49.200001,47.580002,48.880001,2689600,48.880001,1.96078852651
2015-04-15,49.389999,51.580002,48.990002,51.43,3400000,51.43,4.13039287569
2015-04-16,51.07,51.549999,50.290001,50.549999,2368200,50.549999,-1.01821225769
2015-04-17,50.66,50.66,49.639999,49.779999,2400800,49.779999,-1.73707264114
2015-04-20,49.700001,50.73,49.689999,50.330002,2254600,50.330002,1.26760762037
2015-04-21,50.27,50.48,48.369999,48.66,2198800,48.66,-3.20270539089
2015-04-22,48.720001,49.509998,48.400002,49.02,3418800,49.02,0.615761481614
2015-04-23,51.700001,53.419998,51.049999,52.779999,6091600,52.779999,2.08897094605
2015-04-24,52.919998,54.189999,52.400002,52.810001,3817900,52.810001,-0.207855261068
2015-04-27,53.869999,54.619999,53.23,54.07,3818700,54.07,0.371266017659
2015-04-28,53.759998,53.990002,52.779999,53.240002,3301400,53.240002,-0.96725450027
2015-04-29,53.869999,54.990002,52.970001,54.810001,3208600,54.810001,1.74494527093
2015-04-30,55.0,56.279999,54.18,54.82,4978100,54.82,-0.327272727273
2015-05-01,54.700001,54.91,53.549999,54.549999,3124800,54.549999,-0.274226686029
2015-05-04,54.669998,54.759998,53.830002,54.34,2877100,54.34,-0.603618094151
2015-05-05,55.16,55.669998,54.389999,54.48,3317400,54.48,-1.23277737491
2015-05-06,55.32,55.580002,53.0,53.580002,5822100,53.580002,-3.14533261027
2015-05-07,53.330002,53.369999,51.18,52.09,3769000,52.09,-2.32514898462
2015-05-08,52.849998,53.52,51.619999,53.389999,3091600,53.389999,1.02176162807
2015-05-11,53.240002,53.369999,51.5,51.57,4079900,51.57,-3.1367429325
2015-05-12,51.849998,53.439999,51.689999,52.799999,3017600,52.799999,1.83221029247
2015-05-13,53.349998,53.349998,52.049999,52.919998,2138200,52.919998,-0.805998155801
2015-05-14,53.07,53.790001,52.380001,52.59,2318300,52.59,-0.904465799887
2015-05-15,52.549999,52.549999,51.68,52.360001,2706300,52.360001,-0.36155661963
2015-05-18,52.380001,53.150002,52.02,53.080002,1818400,53.080002,1.33638981794
2015-05-19,51.869999,52.25,50.73,51.200001,2325300,51.200001,-1.29168693448
2015-05-20,51.41,52.09,50.720001,51.630001,1860800,51.630001,0.427934254036
2015-05-21,52.040001,54.130001,51.709999,53.139999,2320000,53.139999,2.11375476338
2015-05-22,52.57,53.400002,52.16,52.5,2013600,52.5,-0.133155792277
2015-05-26,51.869999,52.02,50.75,51.200001,1733900,51.200001,-1.29168693448
2015-05-27,51.130001,52.130001,50.860001,51.799999,1786000,51.799999,1.31038135517
2015-05-28,51.48,51.540001,50.669998,51.299999,1438900,51.299999,-0.349652292152
2015-05-29,51.630001,52.48,51.32,51.330002,1949400,51.330002,-0.581055576582
2015-06-01,51.27,51.5,50.810001,51.189999,1381900,51.189999,-0.156038619075
2015-06-02,51.529999,53.509998,51.529999,52.950001,2140900,52.950001,2.75568023978
2015-06-03,52.799999,53.470001,52.310001,52.59,1668700,52.59,-0.397725386321
2015-06-04,51.990002,52.52,51.84,52.27,1970000,52.27,0.538561241063
2015-06-05,51.799999,53.540001,51.57,52.73,2001600,52.73,1.79536876053
2015-06-08,52.509998,53.279999,52.200001,52.299999,1324900,52.299999,-0.399921934867
2015-06-09,52.740002,53.09,52.34,52.560001,1410700,52.560001,-0.341298811479
2015-06-10,53.450001,54.34,53.16,54.200001,1935400,54.200001,1.40318051631
2015-06-11,54.200001,54.27,53.5,53.689999,1897200,53.689999,-0.94096308227
2015-06-12,53.380001,53.669998,53.150002,53.5,1421400,53.5,0.224801419543
2015-06-15,52.82,53.200001,52.200001,52.959999,1503600,52.959999,0.265049223779
2015-06-16,53.0,53.59,52.799999,53.360001,1695900,53.360001,0.679247169811
2015-06-17,53.779999,54.360001,52.939999,53.52,1677700,53.52,-0.483449246624
2015-06-18,53.759998,53.919998,52.849998,53.599998,2539700,53.599998,-0.297619058691
2015-06-19,53.240002,54.0,53.240002,53.549999,5566500,53.549999,0.582263313965
2015-06-22,53.68,54.599998,53.599998,54.529999,2364200,54.529999,1.58345566319
2015-06-23,54.400002,54.610001,54.18,54.48,2707400,54.48,0.147055141652
