Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,52.52,52.93,51.650002,51.650002,6198800,49.504487,-1.65650799695
2015-03-10,51.119999,51.490002,50.299999,50.68,6891900,48.574779,-0.86071793546
2015-03-11,50.869999,50.869999,49.869999,50.16,4501400,48.516745,-1.39571262818
2015-03-12,50.25,50.32,49.779999,49.799999,5869800,48.168538,-0.895524378109
2015-03-13,49.34,49.59,48.07,49.07,7428700,47.462454,-0.547223348196
2015-03-16,48.709999,48.849998,47.790001,48.669998,6963300,47.075556,-0.0821207161183
2015-03-17,48.18,48.48,47.369999,47.459999,9079000,45.905197,-1.49439809049
2015-03-18,47.209999,48.790001,46.080002,48.59,11927100,46.998179,2.92311169081
2015-03-19,47.900002,48.450001,47.779999,47.889999,6670400,46.32111,-0.0208830888984
2015-03-20,48.34,49.939999,48.299999,49.66,15174300,48.033125,2.7306578403
2015-03-23,49.66,50.34,49.349998,49.360001,4996400,47.742954,-0.604105920258
2015-03-24,49.48,49.630001,48.48,48.509998,5746300,46.920798,-1.96039207761
2015-03-25,49.049999,49.43,48.689999,49.040001,5571000,47.433438,-0.0203832827805
2015-03-26,49.689999,49.810001,48.73,48.950001,4492100,47.346386,-1.48922925114
2015-03-27,48.990002,49.650002,48.48,49.25,6237800,47.636557,0.530716451083
2015-03-30,49.189999,50.040001,48.75,49.84,5762700,48.207229,1.32140884979
2015-03-31,49.400002,50.169998,49.200001,49.990002,11090700,48.352316,1.19433193545
2015-04-01,50.189999,50.470001,49.869999,49.919998,4704000,48.284606,-0.537957771228
2015-04-02,49.619999,51.139999,49.599998,51.009998,5401600,49.338897,2.80128784364
2015-04-06,51.330002,53.060001,51.27,52.700001,8068100,50.973535,2.66900242864
2015-04-07,52.709999,53.189999,52.330002,52.77,4545100,51.041241,0.113832292048
2015-04-08,52.990002,53.25,52.240002,52.740002,5627400,51.012225,-0.47178711184
2015-04-09,52.990002,54.720001,52.990002,54.549999,4766900,52.762927,2.94394591644
2015-04-10,54.650002,54.970001,54.060001,54.43,3589000,52.646859,-0.402565401553
2015-04-13,54.689999,54.709999,53.029999,53.18,4428500,51.43781,-2.76101486124
2015-04-14,53.59,54.540001,53.48,54.360001,4282700,52.579153,1.43683709647
2015-04-15,54.75,56.639999,54.34,56.0,7099100,54.165425,2.28310502283
2015-04-16,55.59,56.43,54.610001,55.299999,4736700,53.488357,-0.521678359417
2015-04-17,55.169998,55.169998,54.07,54.59,4916800,52.801617,-1.05129240715
2015-04-20,54.540001,55.419998,54.52,55.029999,4164000,53.227202,0.898419492145
2015-04-21,55.029999,55.119999,53.040001,53.130001,4297200,51.389448,-3.45265861262
2015-04-22,53.200001,54.400002,52.549999,53.93,5623500,52.163239,1.37217854564
2015-04-23,54.080002,56.07,53.889999,55.75,6486700,53.923615,3.08801393905
2015-04-24,55.439999,55.5,53.830002,54.200001,7437100,52.424395,-2.23664866949
2015-04-27,55.610001,55.610001,54.259998,54.689999,5407100,52.89834,-1.65438227559
2015-04-28,51.220001,52.18,50.18,51.93,14482800,50.22876,1.38617529508
2015-04-29,50.48,53.119999,50.380001,52.919998,9186300,51.186325,4.83359350238
2015-04-30,53.23,54.77,52.490002,54.41,7405900,52.627514,2.21679504039
2015-05-01,54.349998,55.0,53.849998,54.73,4094500,52.93703,0.6991757387
2015-05-04,54.860001,55.119999,53.869999,54.740002,3808700,52.946705,-0.218736780555
2015-05-05,55.470001,56.029999,54.82,55.400002,4734400,53.585083,-0.126192534231
2015-05-06,56.130001,56.130001,53.990002,54.52,6037000,52.733911,-2.86834308091
2015-05-07,53.59,53.59,51.669998,51.970001,6945000,50.26745,-3.02295017727
2015-05-08,52.5,53.32,51.279999,53.23,4408200,51.486171,1.39047619048
2015-05-11,52.400002,52.549999,51.099998,51.330002,6409100,49.648417,-2.04198465489
2015-05-12,51.490002,52.009998,50.759998,51.48,4334300,49.793501,-0.0194251303389
2015-05-13,51.990002,52.400002,51.16,51.880001,5083700,50.180399,-0.211581065144
2015-05-14,51.810001,52.470001,50.93,51.220001,4268400,49.542021,-1.13877627603
2015-05-15,51.02,51.650002,50.310001,51.27,7305600,49.590382,0.490003920031
2015-05-18,51.110001,51.290001,50.330002,51.18,3292400,49.50333,0.136957539876
2015-05-19,50.73,50.799999,49.27,49.959999,5090900,48.323296,-1.5178415139
2015-05-20,50.279999,50.369999,49.619999,50.169998,3473800,48.526416,-0.218776853993
2015-05-21,50.439999,51.950001,50.18,51.400002,5045300,49.716124,1.90325737318
2015-05-22,50.84,51.549999,50.509998,50.709999,3343500,49.048726,-0.2557061369
2015-05-26,50.029999,50.689999,49.720001,49.959999,3521500,48.323296,-0.139916053166
2015-05-27,49.790001,50.790001,49.419998,50.299999,3679400,48.652158,1.02429803125
