Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,37.07,37.23,36.900002,37.029999,790700,35.835682,-0.10790666307
2015-03-10,36.950001,37.75,36.830002,37.630001,1612800,36.416333,1.84032471339
2015-03-11,37.630001,38.189999,37.439999,38.009998,1795900,36.784074,1.00982458119
2015-03-12,38.200001,38.630001,38.200001,38.5,1021500,37.258272,0.785337675776
2015-03-13,38.529999,38.689999,38.27,38.380001,633700,37.142144,-0.389301852824
2015-03-16,38.610001,39.209999,38.610001,39.16,990000,37.896985,1.4244987976
2015-03-17,39.099998,39.27,38.900002,39.009998,628500,37.751822,-0.230179039907
2015-03-18,39.009998,40.049999,38.73,40.040001,1148000,38.748604,2.64035645426
2015-03-19,39.849998,40.25,39.73,40.049999,878500,38.75828,0.501884592315
2015-03-20,40.099998,41.220001,39.98,41.189999,1832800,39.861511,2.71820711812
2015-03-23,41.189999,41.330002,40.790001,40.849998,1282000,39.532477,-0.82544551652
2015-03-24,40.73,40.98,40.330002,40.330002,639400,39.029252,-0.982072182666
2015-03-25,40.369999,40.470001,39.389999,39.450001,834500,38.177633,-2.27891509237
2015-03-26,39.310001,39.540001,39.119999,39.279999,689700,38.013114,-0.0763215447387
2015-03-27,39.259998,39.619999,39.220001,39.380001,885700,38.109891,0.305662267227
2015-03-30,39.549999,39.900002,39.25,39.869999,627500,38.584085,0.80910242248
2015-03-31,39.77,39.959999,39.27,39.360001,982600,38.090536,-1.03092532059
2015-04-01,39.349998,39.43,38.779999,38.939999,1113300,37.68408,-1.04192889667
2015-04-02,38.950001,39.200001,38.790001,38.959999,2475100,37.703435,0.0256688055027
2015-04-06,39.029999,39.299999,38.91,39.27,1815000,38.003438,0.614914184343
2015-04-07,39.18,39.240002,38.720001,38.779999,823700,37.52924,-1.02093159775
2015-04-08,38.889999,39.040001,38.490002,38.860001,945100,37.606662,-0.0771355123974
2015-04-09,38.709999,38.799999,37.669998,37.869999,803100,36.64859,-2.16998197287
2015-04-10,38.040001,38.290001,37.709999,37.830002,947900,36.609883,-0.552047829862
2015-04-13,37.860001,38.099998,37.66,37.740002,645300,36.522786,-0.316954561095
2015-04-14,37.740002,38.279999,37.740002,38.049999,757200,36.822785,0.821401652284
2015-04-15,38.119999,38.18,37.34,37.369999,662900,36.164717,-1.96747119537
2015-04-16,37.220001,37.799999,37.080002,37.650002,673600,36.435688,1.15529550899
2015-04-17,37.490002,37.740002,37.169998,37.459999,831600,36.251814,-0.0800293368883
2015-04-20,37.549999,37.779999,37.299999,37.599998,655700,36.387298,0.133153132707
2015-04-21,37.779999,38.009998,37.59,37.93,1115800,36.706657,0.397038125914
2015-04-22,37.919998,38.689999,37.82,38.630001,1621700,37.38408,1.87237087934
2015-04-23,38.59,38.759998,38.34,38.639999,760400,37.393756,0.129564654055
2015-04-24,38.68,39.02,38.509998,38.68,833300,37.432467,0.0
2015-04-27,38.77,39.34,38.77,39.220001,2007100,37.955051,1.16069383544
2015-04-28,39.150002,39.209999,38.66,38.970001,1001800,37.713115,-0.459772645733
2015-04-29,38.549999,38.91,38.25,38.32,1420000,37.084077,-0.596625177604
2015-04-30,38.220001,38.529999,37.470001,37.73,1214500,36.513106,-1.28205386494
2015-05-01,38.029999,38.950001,37.959999,38.27,1693900,37.035691,0.63108337184
2015-05-04,38.490002,38.939999,38.43,38.650002,1340100,37.403436,0.415692366033
2015-05-05,38.490002,38.639999,37.279999,37.43,1321000,36.222783,-2.75396712112
2015-05-06,37.43,37.959999,37.41,37.799999,1587200,36.580848,0.988509217205
2015-05-07,37.860001,38.630001,37.790001,38.400002,1105700,37.161499,1.42631005213
2015-05-08,38.970001,39.66,38.959999,39.099998,1090500,37.838919,0.333582234191
2015-05-11,38.93,39.07,38.02,38.099998,1354600,36.871172,-2.13203698947
2015-05-12,37.75,38.240002,37.509998,38.110001,896700,36.880851,0.953645033113
2015-05-13,38.07,38.349998,37.209999,37.279999,1079900,36.363874,-2.0751273969
2015-05-14,37.48,38.009998,37.439999,37.900002,1269100,36.968641,1.12060298826
2015-05-15,38.009998,38.459999,37.98,38.349998,3211500,37.407579,0.894501494054
2015-05-18,38.200001,38.279999,37.77,37.810001,1372600,36.880852,-1.02094238165
2015-05-19,37.599998,38.130001,37.57,37.889999,660800,36.958884,0.771279296345
2015-05-20,37.900002,38.23,37.77,37.959999,797000,37.027164,0.158303421725
2015-05-21,38.009998,38.09,37.689999,37.779999,864900,36.851587,-0.605101320973
2015-05-22,37.73,38.080002,37.459999,37.959999,808600,37.027164,0.609591836735
2015-05-26,37.98,37.98,37.540001,37.619999,864000,36.695519,-0.947869931543
2015-05-27,37.689999,38.240002,37.52,38.16,850900,37.22225,1.24701780968
2015-05-28,38.099998,38.32,37.98,38.240002,1182100,37.300286,0.367464586219
2015-05-29,38.18,38.34,37.790001,37.93,2784800,36.997902,-0.654793085385
2015-06-01,38.0,38.66,37.630001,38.610001,1386200,37.661192,1.60526578947
2015-06-02,38.459999,38.470001,37.93,38.060001,1450500,37.124709,-1.0400364285
2015-06-03,38.040001,38.290001,37.220001,37.23,1482100,36.315104,-2.12934011227
2015-06-04,37.18,37.360001,37.02,37.200001,799200,36.285842,0.0537950511027
2015-06-05,36.720001,37.380001,36.52,37.080002,906600,36.168792,0.980394853475
2015-06-08,37.16,37.32,36.939999,37.02,585300,36.110265,-0.37674919268
2015-06-09,37.009998,37.23,36.73,36.799999,895500,35.89567,-0.567411541065
2015-06-10,36.759998,37.400002,36.580002,36.939999,991500,36.032229,0.489665423812
2015-06-11,37.23,37.66,36.869999,37.5,2150900,36.578469,0.725221595488
2015-06-12,37.439999,37.580002,37.150002,37.18,827900,36.266333,-0.694441792052
2015-06-15,37.150002,37.189999,36.849998,36.919998,589800,36.01272,-0.619122443116
2015-06-16,36.950001,37.59,36.849998,37.580002,1086400,36.656505,1.70500942612
2015-06-17,37.580002,37.939999,37.200001,37.889999,756700,36.958884,0.824898838483
2015-06-18,37.93,38.75,37.900002,38.470001,1039500,37.524633,1.42367782758
2015-06-19,38.380001,38.470001,38.060001,38.150002,1250400,37.212497,-0.599267832223
2015-06-22,38.25,38.509998,38.0,38.049999,1727200,37.114952,-0.522878431373
