Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,16.309999,16.33,16.120001,16.17,72912700,15.964046,-0.858363020133
2015-03-10,16.040001,16.129999,15.79,15.79,85633600,15.588886,-1.55860962852
2015-03-11,15.92,16.16,15.87,16.110001,85910100,15.904811,1.19347361809
2015-03-12,16.049999,16.209999,15.9,16.09,126376300,15.885065,0.249227429858
2015-03-13,16.08,16.15,15.94,16.09,88581900,15.885065,0.0621890547264
2015-03-16,16.110001,16.219999,15.85,16.129999,63406500,15.924555,0.124134070507
2015-03-17,16.07,16.120001,15.96,16.09,67315000,15.885065,0.124455507156
2015-03-18,16.01,16.1,15.91,15.98,86387600,15.776466,-0.187382885696
2015-03-19,15.96,15.97,15.61,15.61,109169200,15.411178,-2.19298245614
2015-03-20,15.7,15.93,15.64,15.84,99867700,15.638249,0.891719745223
2015-03-23,15.82,15.88,15.72,15.72,73773500,15.519778,-0.63211125158
2015-03-24,15.73,15.8,15.61,15.61,77011000,15.411178,-0.762873490146
2015-03-25,15.63,15.65,15.4,15.41,88541500,15.213726,-1.40754958413
2015-03-26,15.39,15.54,15.26,15.42,76741500,15.223599,0.194931773879
2015-03-27,15.48,15.49,15.27,15.31,73140800,15.115,-1.09819121447
2015-03-30,15.42,15.61,15.4,15.52,70835300,15.322325,0.64850843061
2015-03-31,15.5,15.52,15.38,15.39,61381700,15.193981,-0.709677419355
2015-04-01,15.42,15.46,15.25,15.41,73153900,15.213726,-0.064850843061
2015-04-02,15.43,15.62,15.43,15.54,50443500,15.34207,0.712896953986
2015-04-06,15.39,15.6,15.34,15.51,51189500,15.312452,0.779727095517
2015-04-07,15.53,15.65,15.45,15.46,50057800,15.263089,-0.450740502254
2015-04-08,15.51,15.74,15.5,15.61,71732500,15.411178,0.644745325596
2015-04-09,15.63,15.76,15.53,15.71,44935600,15.509905,0.511836212412
2015-04-10,15.69,15.79,15.6,15.72,43817700,15.519778,0.19120458891
