Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,34.700001,34.970001,34.650002,34.869999,1333500,34.869999,0.489907766861
2015-03-10,34.650002,34.880001,34.110001,34.119999,1533600,34.119999,-1.5295900993
2015-03-11,34.16,34.369999,33.970001,34.139999,1018700,34.139999,-0.0585509367682
2015-03-12,34.349998,35.009998,34.34,34.990002,1177500,34.990002,1.8631849702
2015-03-13,34.939999,35.200001,34.419998,34.540001,1796500,34.540001,-1.14481399957
2015-03-16,34.740002,35.040001,34.709999,35.009998,1689800,35.009998,0.777190513691
2015-03-17,34.849998,35.02,34.66,34.93,1226200,34.93,0.229560988784
2015-03-18,34.860001,36.080002,34.700001,35.810001,1771200,35.810001,2.72518638195
2015-03-19,35.740002,35.91,35.540001,35.740002,1225100,35.740002,0.0
2015-03-20,35.849998,36.849998,35.849998,36.790001,3055500,36.790001,2.62204477668
2015-03-23,36.77,36.869999,36.580002,36.580002,1770700,36.580002,-0.516720152298
2015-03-24,36.439999,36.490002,36.040001,36.060001,908200,36.060001,-1.04280463894
2015-03-25,36.119999,36.189999,35.48,35.490002,1161000,35.490002,-1.74417778915
2015-03-26,35.369999,35.82,35.299999,35.650002,1141400,35.650002,0.791639830128
2015-03-27,35.68,35.970001,35.540001,35.93,1107200,35.93,0.70067264574
2015-03-30,36.16,36.509998,36.060001,36.41,977500,36.41,0.691371681416
2015-03-31,36.889999,38.990002,36.709999,38.709999,5689100,38.709999,4.9335864715
2015-04-01,38.810001,39.0,38.369999,38.830002,2367700,38.830002,0.0515356853508
2015-04-02,38.790001,39.34,38.689999,38.889999,2410000,38.889999,0.257793239036
2015-04-06,38.799999,39.029999,38.73,38.919998,1293300,38.919998,0.309275781167
2015-04-07,38.830002,38.889999,38.34,38.349998,1258700,38.349998,-1.23616784774
2015-04-08,38.490002,38.66,38.07,38.43,1700900,38.43,-0.155889833417
2015-04-09,38.34,38.790001,38.27,38.650002,1149800,38.650002,0.808560250391
2015-04-10,38.810001,39.049999,38.389999,38.509998,790900,38.509998,-0.773004360397
2015-04-13,38.490002,38.849998,38.349998,38.580002,851000,38.580002,0.233826955894
2015-04-14,38.610001,38.84,38.23,38.32,796700,38.32,-0.75110332165
2015-04-15,38.52,38.639999,38.310001,38.41,970000,38.41,-0.285565939772
2015-04-16,38.130001,38.950001,38.09,38.880001,1391100,38.880001,1.96695510184
2015-04-17,38.59,38.709999,38.099998,38.419998,1269000,38.419998,-0.440533817051
2015-04-20,38.580002,38.669998,38.369999,38.540001,912600,38.540001,-0.103683250198
2015-04-21,38.650002,38.669998,38.279999,38.330002,896400,38.330002,-0.82794303607
2015-04-22,38.389999,38.549999,38.099998,38.330002,1422000,38.330002,-0.156282890239
2015-04-23,38.169998,38.32,37.93,38.23,1520300,38.23,0.157196759612
2015-04-24,38.330002,38.709999,38.27,38.490002,1165900,38.490002,0.417427580619
2015-04-27,38.619999,38.939999,38.299999,38.360001,1366500,38.360001,-0.673221146381
2015-04-28,38.419998,38.75,38.240002,38.66,1483800,38.66,0.624679886761
2015-04-29,39.0,39.77,37.950001,38.59,2325200,38.59,-1.05128205128
2015-04-30,38.549999,38.849998,38.080002,38.34,2097400,38.34,-0.544744501809
2015-05-01,38.639999,38.73,38.279999,38.509998,968900,38.509998,-0.336441520094
2015-05-04,38.580002,38.790001,38.220001,38.580002,1018000,38.580002,0.0
2015-05-05,38.310001,38.34,37.259998,37.279999,1796700,37.279999,-2.68859820703
2015-05-06,37.290001,37.48,36.52,36.869999,1645600,36.869999,-1.12631265416
2015-05-07,36.919998,37.200001,36.709999,37.009998,2021400,37.009998,0.243770327398
2015-05-08,37.580002,37.900002,37.459999,37.549999,1763400,37.549999,-0.0798376753679
2015-05-11,37.43,38.529999,37.369999,38.330002,3682300,38.330002,2.40449372161
2015-05-12,38.040001,38.040001,37.360001,37.57,1647400,37.57,-1.23554413156
2015-05-13,37.57,37.880001,37.27,37.599998,1893400,37.599998,0.0798456215065
2015-05-14,37.93,38.549999,37.669998,38.52,2622700,38.52,1.5554969681
2015-05-15,38.669998,38.720001,38.369999,38.57,1265500,38.57,-0.258593238096
2015-05-18,38.43,38.810001,38.349998,38.720001,1241000,38.720001,0.754621389539
2015-05-19,38.740002,38.869999,38.529999,38.689999,1316100,38.689999,-0.129073302578
2015-05-20,38.799999,39.0,38.509998,38.68,1097100,38.68,-0.309275781167
2015-05-21,38.639999,38.759998,37.990002,38.25,1633700,38.25,-1.00931420832
2015-05-22,38.209999,38.439999,37.959999,38.290001,1137200,38.290001,0.20937451477
2015-05-26,38.23,38.450001,37.93,38.360001,1629100,38.360001,0.340049699189
2015-05-27,38.509998,38.66,38.220001,38.610001,1904500,38.610001,0.259680615927
2015-05-28,38.490002,38.619999,38.16,38.32,1108300,38.32,-0.441678335065
2015-05-29,38.369999,38.369999,37.849998,38.240002,2458600,38.240002,-0.338798549356
2015-06-01,38.360001,38.639999,38.080002,38.48,1921100,38.48,0.312823245234
2015-06-02,38.23,38.709999,37.880001,38.439999,1404400,38.439999,0.549304211352
2015-06-03,38.41,38.5,37.990002,38.150002,969200,38.150002,-0.676901848477
2015-06-04,38.0,38.049999,37.759998,37.91,1803800,37.91,-0.236842105263
2015-06-05,37.650002,37.860001,37.389999,37.419998,1498500,37.419998,-0.610900365955
2015-06-08,37.529999,37.540001,36.830002,36.849998,1394500,36.849998,-1.81188653909
2015-06-09,36.900002,37.080002,36.470001,36.599998,1472800,36.599998,-0.813018926124
2015-06-10,36.68,37.290001,36.68,37.099998,1724700,37.099998,1.14503271538
2015-06-11,37.299999,37.5,37.119999,37.32,1169600,37.32,0.0536219853518
2015-06-12,37.18,37.41,37.099998,37.290001,846200,37.290001,0.295860677784
2015-06-15,37.049999,37.099998,36.540001,36.57,1602600,36.57,-1.29554389462
2015-06-16,36.52,36.82,36.360001,36.529999,1405500,36.529999,0.0273795180723
2015-06-17,36.57,36.77,36.279999,36.700001,1172800,36.700001,0.355485370522
2015-06-18,36.799999,37.889999,36.799999,37.720001,2511500,37.720001,2.50000550272
2015-06-19,37.189999,37.540001,36.950001,37.119999,1615400,37.119999,-0.188222645556
2015-06-22,37.369999,37.369999,37.080002,37.110001,1028800,37.110001,-0.695739916932
2015-06-23,37.380001,37.5,37.07,37.389999,1259400,37.389999,0.0267469227729
2015-06-24,37.369999,37.709999,37.09,37.290001,1553800,37.290001,-0.214070115442
2015-06-25,37.330002,37.34,37.040001,37.209999,1251200,37.209999,-0.32146529218
2015-06-26,37.200001,37.52,36.880001,37.490002,3300200,37.490002,0.779572559689
2015-06-29,37.23,37.5,36.450001,36.509998,1856800,36.509998,-1.93392962665
2015-06-30,36.790001,37.34,36.639999,37.0,1897200,37.0,0.570804550943
2015-07-01,37.369999,37.540001,36.990002,37.52,1538800,37.52,0.401394177185
2015-07-02,37.68,37.900002,37.369999,37.68,1728600,37.68,0.0
2015-07-06,37.349998,37.75,37.200001,37.43,1327800,37.43,0.21419545993
2015-07-07,37.57,38.09,37.139999,38.049999,1824000,38.049999,1.27761245675
2015-07-08,37.75,37.939999,37.220001,37.310001,1586600,37.310001,-1.1655602649
2015-07-09,37.75,37.82,37.139999,37.200001,1114800,37.200001,-1.45695099338
2015-07-10,37.73,37.740002,37.349998,37.599998,1121400,37.599998,-0.3445587066
2015-07-13,38.02,38.09,37.59,37.799999,1252100,37.799999,-0.578645449763
2015-07-14,37.860001,38.18,37.689999,38.02,639000,38.02,0.422606961896
2015-07-15,37.990002,38.060001,37.66,38.040001,1212600,38.040001,0.131610943321
2015-07-16,38.32,38.419998,38.169998,38.369999,952200,38.369999,0.130477557411
2015-07-17,38.360001,38.450001,37.48,37.52,1500500,37.52,-2.18978357169
2015-07-20,37.529999,38.029999,37.439999,38.02,1044600,38.02,1.30562486826
2015-07-21,37.990002,38.389999,37.82,38.34,1333600,38.34,0.921289764607
2015-07-22,38.279999,38.689999,38.189999,38.470001,2255500,38.470001,0.496347975349
2015-07-23,38.48,38.759998,38.400002,38.560001,1453600,38.560001,0.207902806653
2015-07-24,38.48,38.59,37.580002,37.689999,1982600,37.689999,-2.05301715177
2015-07-27,37.52,37.599998,37.200001,37.369999,1293700,37.369999,-0.399789445629
2015-07-28,37.52,37.880001,37.200001,37.75,1367200,37.75,0.613006396588
2015-07-29,37.689999,37.689999,36.810001,37.18,2262900,37.18,-1.35314145272
2015-07-30,37.18,37.639999,36.970001,37.59,1552700,37.59,1.10274341044
2015-07-31,37.689999,38.259998,37.5,37.970001,1968500,37.970001,0.74290795285
2015-08-03,37.939999,38.279999,37.369999,37.75,1804400,37.75,-0.500788099652
2015-08-04,37.799999,37.830002,37.5,37.630001,935100,37.630001,-0.449730170628
2015-08-05,37.91,38.139999,37.700001,38.0,1073500,38.0,0.237404378792
2015-08-06,38.0,38.0,37.040001,37.540001,1461300,37.540001,-1.21052368421
2015-08-07,37.52,37.52,37.119999,37.459999,1090000,37.459999,-0.159917377399
2015-08-10,37.830002,38.360001,37.66,38.299999,1319400,38.299999,1.24239221558
2015-08-11,38.07,38.630001,38.009998,38.5,2166500,38.5,1.12949829262
2015-08-12,37.959999,37.98,36.939999,37.540001,2178500,37.540001,-1.1064225792
2015-08-13,37.470001,38.060001,37.25,38.02,1597900,38.02,1.46783823144
2015-08-14,37.900002,38.310001,37.689999,38.23,1195600,38.23,0.870707078063
2015-08-17,38.07,38.290001,37.720001,37.91,1314500,37.91,-0.420278434463
2015-08-18,37.880001,38.0,37.549999,37.59,1515100,37.59,-0.765578121289
2015-08-19,37.450001,37.560001,36.900002,37.310001,1570400,37.310001,-0.373831765719
2015-08-20,36.860001,37.09,36.23,36.279999,1510200,36.279999,-1.57352681569
2015-08-21,36.0,36.0,34.91,34.919998,2431800,34.919998,-3.00000555556
2015-08-24,33.029999,33.599998,31.280001,32.470001,4256800,32.470001,-1.69542239465
2015-08-25,33.349998,33.349998,31.530001,31.57,2423300,31.57,-5.33732565741
2015-08-26,32.52,32.700001,31.67,32.150002,6027800,32.150002,-1.13775522755
2015-08-27,32.610001,33.029999,32.09,32.59,4836400,32.59,-0.0613339447613
2015-08-28,32.48,32.740002,32.27,32.529999,2933000,32.529999,0.153937807882
2015-08-31,32.43,32.68,31.940001,32.02,3284700,32.02,-1.26426148628
2015-09-01,31.309999,31.629999,30.85,31.15,3219400,31.15,-0.511015666273
2015-09-02,31.5,32.330002,31.5,32.330002,3550300,32.330002,2.63492698413
2015-09-03,32.43,33.049999,31.959999,32.779999,3795800,32.779999,1.07924452667
2015-09-04,32.200001,32.299999,31.530001,31.790001,2624100,31.790001,-1.27329188592
2015-09-08,32.380001,32.84,32.09,32.619999,2679100,32.619999,0.741192070995
2015-09-09,33.0,33.32,32.209999,32.299999,2374100,32.299999,-2.12121515152
2015-09-10,32.189999,32.84,32.07,32.52,2482600,32.52,1.02516623253
2015-09-11,32.349998,32.889999,32.209999,32.77,1817600,32.77,1.29830610809
2015-09-14,32.84,32.84,32.200001,32.290001,1903600,32.290001,-1.67478380024
2015-09-15,32.360001,33.049999,32.16,32.970001,3677500,32.970001,1.88504320504
2015-09-16,32.93,33.509998,32.82,33.299999,2036700,33.299999,1.12359246887
2015-09-17,33.16,34.040001,33.029999,33.369999,2257600,33.369999,0.633290108565
2015-09-18,32.279999,33.369999,31.540001,33.23,4827900,33.23,2.94300194991
2015-09-21,33.310001,33.860001,33.25,33.549999,2083400,33.549999,0.720498327214
2015-09-22,33.169998,33.349998,32.700001,32.91,2119500,32.91,-0.783834837735
2015-09-23,33.009998,33.43,32.849998,33.299999,1894900,33.299999,0.878524742716
2015-09-24,32.98,33.279999,32.369999,32.740002,2341100,32.740002,-0.727707701637
2015-09-25,33.150002,33.200001,32.349998,32.560001,2360400,32.560001,-1.77979174783
2015-09-28,32.419998,32.470001,30.889999,30.93,2621400,30.93,-4.59592255373
2015-09-29,30.98,31.620001,30.93,31.309999,2376200,31.309999,1.06520012912
2015-09-30,31.74,32.029999,31.5,32.0,2458300,32.0,0.819155639572
2015-10-01,31.959999,32.09,31.219999,31.83,2749900,31.83,-0.406755331876
2015-10-02,31.379999,31.969999,31.139999,31.959999,2818400,31.959999,1.84831108503
2015-10-05,32.16,32.529999,32.060001,32.439999,2305600,32.439999,0.870643656716
2015-10-06,32.34,32.5,32.080002,32.130001,1755100,32.130001,-0.649347557205
2015-10-07,32.259998,32.52,32.169998,32.32,2443900,32.32,0.185995051829
2015-10-08,32.27,33.220001,32.139999,33.16,1365300,33.16,2.75797954757
2015-10-09,33.07,33.330002,32.91,32.970001,1521300,32.970001,-0.302385848201
2015-10-12,32.98,33.349998,32.880001,33.34,1360600,33.34,1.09157064888
2015-10-13,33.09,33.549999,32.900002,33.389999,2386600,33.389999,0.906615291629
2015-10-14,33.369999,33.599998,33.209999,33.41,2188500,33.41,0.119871145336
2015-10-15,33.48,33.849998,33.439999,33.810001,2763200,33.810001,0.985666069295
2015-10-16,33.830002,34.41,33.790001,34.380001,1856100,34.380001,1.62577288645
2015-10-19,34.290001,34.73,34.099998,34.689999,1952400,34.689999,1.16651498494
2015-10-20,34.599998,34.869999,34.48,34.509998,2360400,34.509998,-0.260115621972
2015-10-21,34.709999,34.720001,34.130001,34.27,2071100,34.27,-1.26764336697
2015-10-22,34.450001,35.400002,34.349998,35.279999,2275000,35.279999,2.40928294893
2015-10-23,35.43,35.580002,34.84,34.919998,3636400,34.919998,-1.4394637313
2015-10-26,34.869999,34.970001,34.439999,34.5,2827500,34.5,-1.06108118902
2015-10-27,34.360001,34.610001,34.290001,34.490002,2682100,34.490002,0.378349814367
2015-10-28,37.09,37.919998,36.849998,37.57,6510000,37.57,1.29414936641
2015-10-29,37.57,38.490002,37.400002,38.360001,3221600,38.360001,2.10274421081
2015-10-30,38.349998,38.349998,37.27,37.279999,3468800,37.279999,-2.79008880261
2015-11-02,37.349998,37.720001,37.349998,37.560001,3043700,37.560001,0.56225705822
2015-11-03,37.470001,37.5,37.099998,37.130001,2124000,37.130001,-0.907392556515
2015-11-04,37.150002,37.23,36.720001,36.75,2048500,36.75,-1.07672134176
2015-11-05,36.880001,37.060001,36.66,36.75,1887600,36.75,-0.352497278945
2015-11-06,36.52,36.689999,35.950001,36.16,2781200,36.16,-0.985761226725
2015-11-09,36.09,36.25,35.610001,35.959999,2027900,35.959999,-0.3602133555
2015-11-10,36.009998,36.18,35.73,35.959999,2660400,35.959999,-0.138847550061
2015-11-11,36.0,36.16,35.73,36.02,2905800,36.02,0.0555555555556
2015-11-12,35.860001,35.900002,35.09,35.099998,2167100,35.099998,-2.11936134636
2015-11-13,35.110001,35.200001,34.540001,34.68,1803500,34.68,-1.22472511465
2015-11-16,34.619999,35.02,34.400002,34.990002,1834200,34.990002,1.06875508575
2015-11-17,34.990002,35.450001,34.889999,34.990002,1477800,34.990002,0.0
2015-11-18,35.16,36.099998,35.040001,36.049999,2017800,36.049999,2.53128270762
2015-11-19,36.040001,36.330002,35.900002,36.32,2494900,36.32,0.776911743149
2015-11-20,36.48,37.18,36.400002,36.860001,2128900,36.860001,1.04166940789
2015-11-23,36.82,37.07,36.799999,36.84,1451500,36.84,0.0543183052689
2015-11-24,36.59,36.93,36.400002,36.860001,1211800,36.860001,0.737909264826
2015-11-25,36.990002,37.529999,36.759998,37.32,1319900,37.32,0.892127553818
2015-11-27,37.32,37.380001,37.080002,37.34,653900,37.34,0.05359056806
2015-11-30,37.509998,37.580002,37.25,37.470001,1710000,37.470001,-0.106630237624
2015-12-01,37.5,37.759998,37.380001,37.709999,2207800,37.709999,0.559997333333
2015-12-02,37.619999,37.790001,36.77,36.880001,1520600,36.880001,-1.96703354511
2015-12-03,36.959999,37.0,35.869999,35.98,1769100,35.98,-2.65151251763
2015-12-04,36.119999,36.73,35.75,36.669998,1900800,36.669998,1.5226993777
2015-12-07,36.59,36.759998,36.240002,36.380001,2052700,36.380001,-0.573924569555
2015-12-08,36.110001,36.5,35.790001,36.09,2141300,36.09,-0.0553890873611
2015-12-09,35.880001,36.34,35.130001,35.330002,1734900,35.330002,-1.53288457266
2015-12-10,35.400002,35.509998,35.040001,35.18,1706200,35.18,-0.62147454116
2015-12-11,34.73,35.43,34.439999,34.57,2230800,34.57,-0.460696803916
2015-12-14,34.43,34.75,34.009998,34.689999,1872800,34.689999,0.755152483299
2015-12-15,35.189999,35.869999,35.02,35.57,1912100,35.57,1.07985510315
2015-12-16,35.790001,36.360001,35.580002,36.279999,1256600,36.279999,1.36909188687
2015-12-17,36.330002,36.450001,35.380001,35.380001,1588000,35.380001,-2.61492140848
