Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,58.880001,59.09,58.439999,59.0,3676500,57.779246,0.203802645995
2015-03-10,58.32,58.540001,57.759998,57.759998,3650400,56.564901,-0.960222908093
2015-03-11,57.990002,58.16,57.77,57.849998,3594800,56.653039,-0.241427824058
2015-03-12,59.240002,60.169998,59.009998,59.880001,5302800,58.64104,1.08034938959
2015-03-13,59.889999,60.09,58.720001,59.34,3148800,58.112212,-0.918348654506
2015-03-16,59.48,59.669998,59.060001,59.5,2840800,58.268901,0.0336247478144
2015-03-17,59.25,59.349998,58.779999,58.91,3004700,57.691108,-0.573839662447
2015-03-18,58.810001,59.09,58.009998,58.950001,4105600,57.730282,0.238054748545
2015-03-19,58.759998,59.040001,58.43,58.59,2451900,57.37773,-0.289309063625
2015-03-20,58.779999,59.619999,58.610001,59.41,4008800,58.180763,1.07179484641
2015-03-23,59.52,59.889999,58.889999,58.889999,2500400,57.671522,-1.05846942204
2015-03-24,58.700001,58.759998,57.73,57.77,4437000,56.574696,-1.58432876347
2015-03-25,57.939999,58.110001,57.119999,57.139999,3226100,55.957731,-1.38073871903
2015-03-26,56.82,57.240002,56.580002,56.799999,3650500,55.624765,-0.0352006335797
2015-03-27,56.93,57.189999,56.529999,56.57,3086900,55.399525,-0.632355524328
2015-03-30,56.759998,57.23,56.759998,56.790001,2375000,55.614974,0.0528594098964
2015-03-31,56.599998,56.830002,56.040001,56.349998,4238500,55.184075,-0.441696128682
2015-04-01,56.189999,57.740002,56.169998,57.630001,4264600,56.437594,2.56273718745
2015-04-02,57.630001,58.240002,57.43,58.200001,3076800,56.9958,0.989068176487
2015-04-06,57.490002,58.23,57.189999,57.799999,2741900,56.604075,0.539218975849
2015-04-07,57.990002,58.02,57.18,57.18,3016500,55.996904,-1.39679595114
2015-04-08,57.389999,58.0,57.220001,57.48,2832800,56.290696,0.156823491145
2015-04-09,57.169998,57.68,56.880001,57.439999,2885500,56.251523,0.472277434748
2015-04-10,57.5,58.02,57.400002,57.959999,2827700,56.760764,0.79999826087
2015-04-13,57.919998,58.27,57.880001,57.880001,2121800,56.682421,-0.0690555963072
2015-04-14,58.040001,58.619999,57.84,58.43,2304500,57.22104,0.671948644522
2015-04-15,59.900002,59.900002,58.93,58.950001,3447900,57.730282,-1.58597824421
2015-04-16,58.84,59.48,58.709999,59.419998,2517700,58.190554,0.985720598232
2015-04-17,58.93,59.27,58.650002,59.080002,3998600,57.857593,0.254542677753
2015-04-20,59.220001,59.689999,59.009998,59.490002,3135600,58.25911,0.455928732592
2015-04-21,59.610001,59.849998,59.23,59.259998,4484300,58.033865,-0.587154829942
2015-04-22,58.060001,58.759998,57.5,57.889999,9578600,56.692213,-0.292803990823
