Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,32.220001,32.220001,31.76,31.84,2483900,31.083948,-1.17939474924
2015-03-10,31.84,32.0,31.48,31.58,2872300,30.830122,-0.816582914573
2015-03-11,31.690001,31.860001,31.549999,31.780001,2562700,31.025373,0.284001253266
2015-03-12,31.66,32.200001,31.66,32.07,3708100,31.506768,1.29500947568
2015-03-13,32.110001,32.110001,31.52,31.809999,1933100,31.251334,-0.934294583174
2015-03-16,31.870001,32.200001,31.780001,32.16,2617800,31.595188,0.909943492001
2015-03-17,32.040001,32.299999,31.969999,32.189999,1559700,31.62466,0.468158537199
2015-03-18,32.169998,32.700001,31.950001,32.580002,1307600,32.007813,1.27449184175
2015-03-19,32.419998,32.5,31.969999,32.290001,2418000,31.722906,-0.400977816223
2015-03-20,32.52,32.900002,32.380001,32.900002,2105400,32.322193,1.16851783518
2015-03-23,32.810001,33.290001,32.75,33.0,1910000,32.420435,0.579088674822
2015-03-24,32.91,33.139999,32.810001,32.990002,1894000,32.410613,0.243093284716
2015-03-25,32.970001,33.02,32.259998,32.310001,3000300,31.742555,-2.0018197755
2015-03-26,32.029999,32.200001,31.700001,31.98,2894300,31.418349,-0.156100535626
2015-03-27,32.040001,32.119999,31.9,32.029999,1986600,31.46747,-0.0312172274901
2015-03-30,32.139999,32.139999,31.620001,31.709999,3225600,31.15309,-1.33789674356
2015-03-31,31.549999,32.209999,31.549999,32.07,2641500,31.506768,1.64818071785
2015-04-01,32.0,32.34,31.879999,32.32,3099100,31.752377,1.0
2015-04-02,32.259998,32.759998,32.07,32.150002,2180300,31.585365,-0.34096716311
2015-04-06,32.009998,32.310001,31.889999,32.009998,2308900,31.447821,0.0
2015-04-07,31.969999,32.060001,31.65,31.690001,1876700,31.133443,-0.875814853795
2015-04-08,31.790001,32.0,31.67,31.860001,2383200,31.300457,0.220195022957
2015-04-09,31.85,32.029999,31.73,31.92,1945700,31.359403,0.21978021978
2015-04-10,31.969999,32.110001,31.68,31.790001,2269800,31.231687,-0.563021600345
2015-04-13,31.799999,32.09,31.77,32.02,1327700,31.457647,0.691827065781
2015-04-14,31.950001,31.969999,31.549999,31.75,1413300,31.192388,-0.625981201065
2015-04-15,31.799999,32.099998,31.799999,31.950001,1244500,31.388877,0.471704417349
2015-04-16,31.92,32.040001,31.76,32.009998,1687500,31.447821,0.281948621554
2015-04-17,31.82,31.91,31.139999,31.23,2308900,30.681521,-1.85417976116
2015-04-20,31.299999,32.169998,31.24,31.790001,3021100,31.231687,1.56550164746
