Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,25.41,25.58,25.35,25.52,2056300,24.542503,0.4329004329
2015-03-10,25.440001,25.76,25.42,25.6,2747400,24.619439,0.62892686207
2015-03-11,25.6,25.76,25.530001,25.610001,2223600,24.629056,0.03906640625
2015-03-12,25.719999,26.129999,25.639999,26.08,1765400,25.081053,1.39969290045
2015-03-13,26.09,26.23,25.92,26.040001,1716100,25.042586,-0.191640475278
2015-03-16,26.18,26.59,26.18,26.42,2319700,25.40803,0.916730328495
2015-03-17,26.299999,26.549999,26.219999,26.32,1559100,25.31186,0.0760494325494
2015-03-18,26.32,27.110001,26.17,27.059999,1985300,26.023515,2.81154635258
2015-03-19,26.91,27.18,26.76,26.99,1885700,25.956197,0.297287253809
2015-03-20,27.049999,27.77,26.92,27.74,3717300,26.677469,2.55083558413
2015-03-23,27.73,27.950001,27.59,27.65,2779900,26.590916,-0.288496213487
2015-03-24,27.58,27.67,27.309999,27.35,3850100,26.302408,-0.833937635968
2015-03-25,27.42,27.469999,26.719999,26.75,2249100,25.725389,-2.44347191831
2015-03-26,26.639999,26.83,26.389999,26.450001,2559000,25.436881,-0.713205732478
2015-03-27,26.450001,26.709999,26.440001,26.52,2208300,25.5042,0.26464649283
2015-03-30,26.719999,27.1,26.540001,27.030001,3024900,25.994665,1.16018716917
2015-03-31,26.969999,27.190001,26.75,26.85,3332600,25.82156,-0.444935129586
2015-04-01,26.549999,26.629999,26.26,26.379999,2674100,25.598372,-0.640301342384
2015-04-02,26.4,26.719999,26.379999,26.610001,1822300,25.821559,0.795458333333
2015-04-06,26.67,27.059999,26.530001,26.959999,2046400,26.161187,1.08736032996
2015-04-07,26.92,26.92,26.450001,26.450001,1565500,25.6663,-1.74591010401
2015-04-08,26.5,26.530001,26.34,26.440001,1063300,25.656596,-0.226411320755
2015-04-09,26.35,26.35,25.66,25.76,1702800,24.996744,-2.23908918406
2015-04-10,25.879999,26.219999,25.780001,25.91,2847200,25.142299,0.115923497524
2015-04-13,25.93,25.99,25.73,25.74,1482100,24.977336,-0.732741997686
2015-04-14,25.790001,26.01,25.73,25.809999,1326600,25.045261,0.0775416798161
2015-04-15,25.85,25.860001,25.49,25.5,1699200,24.744447,-1.35396518375
2015-04-16,25.41,25.68,25.280001,25.52,1809300,24.763855,0.4329004329
2015-04-17,25.42,25.59,25.110001,25.299999,1710400,24.550372,-0.472073170732
2015-04-20,25.4,25.48,25.24,25.33,1425100,24.579484,-0.275590551181
2015-04-21,25.469999,25.610001,25.280001,25.299999,1909400,24.550372,-0.667451930406
2015-04-22,25.34,25.52,25.120001,25.17,3584100,24.424225,-0.670876085241
2015-04-23,25.15,25.35,25.120001,25.200001,2621800,24.453337,0.198811133201
2015-04-24,25.209999,25.629999,25.18,25.43,2420600,24.676521,0.872673576861
2015-04-27,25.49,25.620001,25.219999,25.299999,1877000,24.550372,-0.745394272264
2015-04-28,25.219999,25.49,24.969999,25.4,3913100,24.64741,0.713723263827
2015-04-29,25.110001,25.34,24.6,24.629999,2615500,23.900224,-1.91159689719
2015-04-30,24.459999,24.57,24.07,24.1,4323500,23.385929,-1.47178665052
2015-05-01,24.139999,24.440001,24.08,24.25,3799000,23.531484,0.455679389216
2015-05-04,24.370001,24.6,24.299999,24.41,2866300,23.686743,0.164132122933
2015-05-05,24.280001,24.360001,23.790001,23.84,3143800,23.133632,-1.81219514777
2015-05-06,23.879999,23.92,23.68,23.889999,3307300,23.18215,0.0418760486548
2015-05-07,23.969999,24.309999,23.709999,24.219999,3662300,23.502372,1.04297042315
2015-05-08,24.5,25.030001,24.459999,24.549999,3123800,23.822594,0.20407755102
2015-05-11,24.450001,24.5,23.98,24.129999,3808200,23.415039,-1.30880158246
2015-05-12,23.969999,24.200001,23.709999,24.129999,2395100,23.415039,0.667501070818
2015-05-13,24.23,24.43,23.870001,23.959999,3147700,23.250076,-1.11432521667
2015-05-14,24.049999,24.469999,24.049999,24.469999,2259000,23.744965,1.74636181898
2015-05-15,24.549999,24.639999,24.43,24.629999,5271100,23.900224,0.325865593722
2015-05-18,24.51,24.639999,24.370001,24.540001,1648400,23.812892,0.122403100775
2015-05-19,24.469999,24.620001,24.4,24.49,2207200,23.764373,0.0817368239369
2015-05-20,24.469999,24.68,24.41,24.459999,1433500,23.735261,-0.04086636865
2015-05-21,24.530001,24.59,24.17,24.309999,1897700,23.589706,-0.896869103267
2015-05-22,24.32,24.51,24.139999,24.34,1275800,23.618817,0.0822368421053
2015-05-26,24.299999,24.34,23.99,24.030001,2970900,23.318003,-1.11110292638
2015-05-27,24.07,24.360001,24.01,24.309999,1425600,23.589706,0.997087660989
2015-05-28,24.27,24.370001,24.120001,24.32,2177300,23.59941,0.20601565719
2015-05-29,24.32,24.41,23.870001,23.959999,4836100,23.250076,-1.48026726974
2015-06-01,23.99,24.379999,23.91,24.27,2570400,23.550892,1.16715298041
