Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,23.389999,23.51,23.24,23.4,1130500,23.121754,0.0427575905411
2015-03-10,23.15,23.309999,22.959999,23.040001,1188500,22.766036,-0.475157667387
2015-03-11,23.059999,23.309999,22.969999,23.26,916000,22.98342,0.867307062763
2015-03-12,23.299999,23.73,23.299999,23.610001,1511800,23.392617,1.3304807438
2015-03-13,23.530001,23.620001,23.290001,23.59,1633600,23.372801,0.254989364429
2015-03-16,23.68,23.780001,23.459999,23.780001,1304900,23.561052,0.42230152027
2015-03-17,23.6,23.629999,22.809999,23.139999,2375200,22.926944,-1.94915677966
2015-03-18,23.07,23.469999,23.0,23.379999,1641100,23.164734,1.34373211964
2015-03-19,23.309999,23.34,22.98,23.07,1727000,22.857588,-1.02959678377
2015-03-20,23.1,23.24,22.950001,23.049999,2542400,22.837772,-0.216454545455
2015-03-23,23.030001,23.440001,23.02,23.25,1332900,23.035931,0.95527134367
2015-03-24,23.24,23.34,23.02,23.049999,959900,22.837772,-0.817560240964
2015-03-25,23.059999,23.129999,22.68,22.68,1282400,22.47118,-1.64787084336
2015-03-26,22.6,22.700001,22.24,22.25,1486200,22.045139,-1.54867256637
2015-03-27,22.200001,22.299999,22.08,22.17,1630100,21.965875,-0.135139633552
2015-03-30,22.309999,22.48,22.16,22.34,2276000,22.13431,0.134473336373
2015-03-31,22.24,22.540001,22.200001,22.290001,1809600,22.084771,0.224824640288
2015-04-01,22.27,22.440001,22.219999,22.299999,1250500,22.094678,0.134705882353
2015-04-02,22.299999,22.6,22.26,22.48,1092100,22.273021,0.807179408394
2015-04-06,22.299999,22.959999,22.290001,22.92,969600,22.70897,2.78027366728
2015-04-07,22.9,23.07,22.790001,22.85,907100,22.639615,-0.218340611354
2015-04-08,22.84,23.01,22.74,22.889999,772700,22.679245,0.218909807356
2015-04-09,22.889999,23.030001,22.690001,23.0,940500,22.788233,0.48056358587
2015-04-10,23.02,23.18,22.969999,23.07,692500,22.857588,0.217202432667
2015-04-13,23.040001,23.24,23.0,23.09,741600,22.877405,0.217009539192
2015-04-14,23.09,23.129999,22.870001,23.02,541300,22.80805,-0.303161541793
2015-04-15,23.059999,23.24,23.030001,23.08,1015200,22.867497,0.0867346091385
2015-04-16,23.08,23.08,22.780001,22.889999,1153300,22.679245,-0.823227902946
