Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,91.139999,93.169998,90.910004,92.760002,5240700,85.425897,1.77748849877
2015-03-10,92.459999,92.779999,91.699997,92.389999,1468700,85.085149,-0.0757084152683
2015-03-11,92.639999,92.720001,91.639999,91.739998,1848000,84.48654,-0.971503680608
2015-03-12,92.019997,92.610001,91.230003,92.309998,1561100,85.011472,0.315149977673
2015-03-13,92.800003,94.43,92.610001,94.389999,2443200,86.927018,1.71335770323
2015-03-16,94.720001,95.93,94.720001,94.889999,1763400,87.387485,0.17947423797
2015-03-17,90.879997,92.690002,90.199997,91.599998,5207200,84.35761,0.792254647632
2015-03-18,91.599998,92.5,91.0,92.220001,2400400,84.928592,0.676859185084
2015-03-19,92.199997,94.18,92.059998,93.5,2488400,86.107387,1.4099816077
2015-03-20,93.5,93.5,85.650002,89.209999,11532600,82.156576,-4.58823636364
2015-03-23,89.400002,89.580002,87.419998,87.489998,2021900,80.572568,-2.13646975086
2015-03-24,87.010002,87.580002,86.82,87.419998,2836600,80.508103,0.47120559772
2015-03-25,87.779999,87.919998,86.849998,87.019997,1944700,80.139727,-0.865803154088
2015-03-26,86.989998,87.349998,86.43,86.959999,1103500,80.084473,-0.0344855738472
2015-03-27,86.860001,87.089996,85.309998,86.150002,2371500,79.338519,-0.817406161439
2015-03-30,86.809998,87.050003,85.75,86.339996,1013400,79.513492,-0.541414596047
2015-03-31,86.0,86.400002,84.110001,84.330002,1612900,77.662418,-1.94185813953
2015-04-01,80.0,80.629997,78.389999,78.730003,8036700,72.505186,-1.58749625
2015-04-02,79.5,82.800003,79.18,80.660004,4955300,74.28259,1.4591245283
2015-04-06,80.330002,80.639999,79.209999,79.650002,1748700,73.352444,-0.84650813279
2015-04-07,79.559998,79.790001,77.269997,77.400002,1749000,71.280341,-2.71492716729
2015-04-08,77.660004,79.029999,77.449997,78.949997,2092000,72.707785,1.66107768936
2015-04-09,78.739998,80.68,78.639999,80.300003,2817600,73.951053,1.98121036274
2015-04-10,80.529999,82.790001,80.389999,81.349998,3558200,74.91803,1.01825283768
2015-04-13,81.129997,83.089996,80.949997,81.910004,2342800,75.433758,0.96142860698
2015-04-14,81.900002,82.589996,81.089996,81.120003,1621000,74.706219,-0.952379708123
2015-04-15,81.279999,85.349998,80.25,82.300003,2998300,75.792922,1.25492619654
2015-04-16,82.169998,83.540001,81.68,82.989998,1549900,76.428362,0.997931142702
2015-04-17,82.709999,83.089996,81.68,82.519997,1672900,75.995522,-0.229720713695
2015-04-20,82.57,83.709999,82.489998,82.629997,1346800,76.096825,0.0726619837714
2015-04-21,82.849998,83.389999,82.480003,82.599998,971900,76.069198,-0.301750158159
2015-04-22,82.470001,83.809998,82.470001,83.25,987800,76.667807,0.945797248141
2015-04-23,83.029999,83.489998,82.300003,82.339996,911500,75.829753,-0.831028553909
2015-04-24,82.68,83.25,82.160004,83.230003,764600,76.649391,0.665218916304
2015-04-27,83.220001,83.860001,82.75,83.279999,802900,76.695434,0.0720956492178
2015-04-28,82.879997,83.25,81.839996,83.059998,1000100,76.492827,0.217182681607
2015-04-29,82.279999,83.400002,81.089996,81.720001,1312300,75.258778,-0.680600397188
2015-04-30,81.199997,82.010002,80.470001,81.760002,1852800,75.295616,0.689661355529
2015-05-01,82.099998,82.970001,81.809998,82.5,1730200,75.977106,0.487213166558
2015-05-04,82.610001,86.309998,82.019997,82.459999,4263900,75.940268,-0.181578499194
2015-05-05,82.110001,82.629997,81.010002,81.419998,2477900,74.982495,-0.840339777855
2015-05-06,81.089996,81.440002,80.199997,80.940002,2793700,75.140316,-0.184972262176
2015-05-07,81.25,82.900002,81.220001,82.75,2173100,76.82062,1.84615384615
2015-05-08,83.900002,84.349998,81.75,82.07,2074700,76.189344,-2.18117038901
2015-05-11,81.940002,83.360001,81.68,81.809998,1557200,75.947972,-0.158657550436
2015-05-12,81.370003,81.860001,80.839996,81.800003,1388400,75.938694,0.528450269321
2015-05-13,82.379997,82.889999,81.739998,82.150002,2161100,76.263614,-0.279187919854
