Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,31.0,31.17,30.719999,30.98,8000600,30.729831,-0.0645161290323
2015-03-10,30.540001,30.950001,30.299999,30.309999,6677600,30.065241,-0.753117198654
2015-03-11,30.370001,31.0,30.33,30.68,5609000,30.432254,1.02074082908
2015-03-12,30.77,31.129999,30.379999,31.049999,6592500,30.799265,0.90997400065
2015-03-13,30.5,30.74,30.1,30.34,9251800,30.094999,-0.524590163934
2015-03-16,30.6,30.84,30.51,30.790001,6866900,30.541366,0.620918300654
2015-03-17,30.68,31.129999,30.65,30.9,7752800,30.650477,0.717079530639
2015-03-18,30.83,31.129999,29.6,29.77,14735200,29.529602,-3.43820953617
2015-03-19,29.73,29.870001,28.93,29.42,12247200,29.182428,-1.04271779347
2015-03-20,29.5,30.200001,29.440001,30.01,10170800,29.767664,1.72881355932
2015-03-23,30.049999,30.25,29.9,29.91,4924000,29.668471,-0.465886870745
2015-03-24,29.809999,29.98,29.700001,29.790001,5033900,29.549441,-0.0670848730991
2015-03-25,29.799999,29.799999,29.209999,29.209999,5568500,28.974123,-1.97986583825
2015-03-26,29.469999,30.07,29.030001,29.780001,7821400,29.539522,1.05192402619
2015-03-27,29.809999,30.24,29.51,30.23,7319000,29.985887,1.40892658198
2015-03-30,30.32,30.620001,30.290001,30.360001,4145200,30.114838,0.131929419525
2015-03-31,30.120001,30.59,30.08,30.440001,5342800,30.194192,1.0624169634
2015-04-01,30.360001,30.440001,29.709999,29.93,8263400,29.68831,-1.41634053306
2015-04-02,29.950001,30.09,29.66,30.01,6892500,29.767664,0.200330544229
2015-04-06,29.549999,30.08,29.120001,29.969999,6929800,29.727986,1.42131984505
2015-04-07,29.91,30.1,29.75,29.77,3625300,29.529602,-0.468070879305
2015-04-08,29.76,30.190001,29.68,30.17,4818900,29.926372,1.37768817204
2015-04-09,30.139999,30.68,30.02,30.6,4718600,30.3529,1.52621438375
2015-04-10,30.57,30.74,30.530001,30.700001,6021500,30.452093,0.4252567877
2015-04-13,30.65,31.0,30.59,30.92,5967000,30.670316,0.880913539967
2015-04-14,30.709999,30.74,30.129999,30.450001,6881600,30.204112,-0.846623277324
2015-04-15,30.139999,30.950001,29.9,30.530001,9128700,30.283466,1.29396819157
2015-04-16,30.389999,30.629999,30.26,30.52,4825600,30.273546,0.42777559815
2015-04-17,30.26,30.35,30.0,30.25,6221300,30.005726,-0.0330469266358
2015-04-20,30.379999,30.5,30.08,30.120001,5027600,29.876776,-0.85581964634
2015-04-21,30.120001,30.34,29.809999,30.16,7020600,29.916452,0.132798800372
2015-04-22,30.190001,30.65,29.98,30.459999,6795800,30.214029,0.894329218472
2015-04-23,30.59,30.719999,30.280001,30.5,6804400,30.253707,-0.294213795358
2015-04-24,30.49,30.49,30.040001,30.120001,5837700,29.876776,-1.21350934733
2015-04-27,30.24,30.59,30.059999,30.09,5787700,29.847018,-0.496031746032
2015-04-28,30.120001,30.52,30.07,30.49,5131300,30.243788,1.22841629388
2015-04-29,30.469999,31.129999,30.290001,30.809999,6808400,30.561203,1.11585169399
2015-04-30,30.780001,31.1,30.41,30.5,6820600,30.253707,-0.909684830744
2015-05-01,30.67,30.93,30.620001,30.709999,4239300,30.46201,0.130417345941
2015-05-04,30.75,31.549999,30.6,31.379999,7957100,31.1266,2.04877723577
2015-05-05,31.25,31.85,31.190001,31.26,7959800,31.00757,0.032
2015-05-06,31.690001,31.690001,30.809999,31.02,8116000,30.828682,-2.11423470766
2015-05-07,30.99,31.33,30.82,31.17,7309200,30.977756,0.580832526622
2015-05-08,31.309999,31.389999,31.01,31.280001,5923000,31.087078,-0.0958096485407
2015-05-11,31.309999,32.18,31.23,32.040001,11008100,31.842391,2.33152993713
2015-05-12,31.879999,32.02,31.530001,31.77,7336800,31.574056,-0.34504078874
2015-05-13,31.77,31.85,31.52,31.700001,4858100,31.504488,-0.220330500472
2015-05-14,31.959999,31.99,31.43,31.809999,6407900,31.613808,-0.469336685524
2015-05-15,31.74,31.879999,30.99,31.209999,5259000,31.017509,-1.66982041588
2015-05-18,31.24,31.91,31.219999,31.860001,6779500,31.663501,1.98463828425
2015-05-19,32.119999,32.43,31.700001,31.74,5494400,31.54424,-1.18306043534
2015-05-20,31.73,31.93,31.459999,31.66,5243300,31.464734,-0.220611408761
2015-05-21,31.43,31.75,31.299999,31.48,5961700,31.285844,0.159083678015
2015-05-22,31.459999,31.809999,31.41,31.41,5657300,31.216276,-0.158928803526
2015-05-26,31.360001,31.469999,31.200001,31.280001,5143000,31.087078,-0.255102032682
2015-05-27,31.459999,31.85,31.26,31.76,4590700,31.564118,0.953595071634
2015-05-28,31.690001,31.959999,31.59,31.9,4823200,31.703253,0.662666435384
2015-05-29,31.9,31.950001,31.18,31.65,6622800,31.454795,-0.783699059561
2015-06-01,31.73,31.83,31.190001,31.440001,4921400,31.246091,-0.913958398991
2015-06-02,31.35,31.85,31.1,31.629999,4489100,31.434918,0.893138755981
2015-06-03,31.959999,32.450001,31.76,32.290001,6740000,32.090849,1.03254696597
2015-06-04,32.009998,32.369999,31.9,32.259998,7954700,32.061032,0.781005984443
2015-06-05,33.470001,33.59,32.880001,33.23,13552500,33.025051,-0.717063020106
2015-06-08,33.16,33.48,33.009998,33.02,5922600,32.816347,-0.422195416164
2015-06-09,32.990002,33.169998,32.779999,33.02,5549200,32.816347,0.0909305795131
2015-06-10,33.189999,33.57,33.080002,33.43,7451100,33.223818,0.723112405035
2015-06-11,33.450001,33.720001,33.34,33.389999,7436700,33.184064,-0.17937817102
2015-06-12,33.34,33.529999,33.220001,33.360001,5910000,33.15425,0.0599910017996
2015-06-15,32.990002,33.209999,32.610001,33.049999,5355900,32.84616,0.181864190248
2015-06-16,32.939999,33.349998,32.91,33.240002,6033300,33.034991,0.910755947503
2015-06-17,33.369999,33.59,32.98,33.07,7677700,32.866037,-0.89900811804
