Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,27.33,27.59,27.219999,27.459999,1727600,27.215712,0.475664105379
2015-03-10,27.09,27.290001,26.549999,26.549999,2973800,26.313807,-1.99335917313
2015-03-11,26.57,27.129999,26.5,27.08,3318800,26.839093,1.91945803538
2015-03-12,27.440001,28.120001,27.26,28.040001,4569500,27.790554,2.1865888416
2015-03-13,28.02,28.02,27.200001,27.59,2685000,27.344556,-1.53461812991
2015-03-16,27.6,27.77,27.200001,27.440001,3349800,27.195891,-0.579706521739
2015-03-17,27.18,27.379999,27.059999,27.35,4002800,27.106692,0.625459896983
2015-03-18,27.27,27.559999,26.780001,27.139999,3776300,26.898559,-0.476718005134
2015-03-19,27.059999,27.129999,26.4,26.51,2984700,26.274164,-2.03251670482
2015-03-20,26.799999,27.469999,26.719999,27.450001,4265100,27.205802,2.42538068751
2015-03-23,27.450001,27.530001,27.15,27.26,1792300,27.017492,-0.692171195185
2015-03-24,27.200001,27.23,26.969999,27.09,1955300,26.849004,-0.404415426308
2015-03-25,27.15,27.15,26.469999,26.48,1398800,26.24443,-2.46777163904
2015-03-26,26.379999,26.790001,26.139999,26.73,2469400,26.492206,1.32676654006
2015-03-27,26.610001,26.75,26.190001,26.42,1614300,26.184965,-0.714021017887
2015-03-30,26.57,27.139999,26.5,27.0,1588700,26.759805,1.61836657885
2015-03-31,26.83,27.059999,26.66,27.0,1419300,26.759805,0.633619083116
2015-04-01,27.01,27.059999,26.639999,26.93,1537600,26.690428,-0.296186597556
2015-04-02,26.879999,27.190001,26.82,27.110001,1464600,26.868827,0.855662234214
2015-04-06,26.790001,27.040001,26.200001,26.9,1555300,26.660694,0.410597222449
2015-04-07,26.799999,27.35,26.790001,27.209999,1893600,26.967936,1.52985080335
2015-04-08,27.219999,27.42,26.969999,27.27,2169400,27.027403,0.183692144882
2015-04-09,27.23,27.59,27.059999,27.540001,2009600,27.295002,1.13845391113
2015-04-10,27.52,27.639999,27.18,27.33,1110000,27.086869,-0.690406976744
2015-04-13,27.35,27.799999,27.290001,27.65,1560900,27.404022,1.09689213894
2015-04-14,27.549999,27.67,27.27,27.440001,1304300,27.195891,-0.399266802151
2015-04-15,27.4,28.110001,27.24,27.92,2027200,27.671621,1.89781021898
2015-04-16,27.889999,27.98,27.52,27.780001,1438300,27.532867,-0.394399440459
2015-04-17,27.59,27.84,27.299999,27.389999,1814700,27.146335,-0.724903950707
2015-04-20,27.49,27.6,27.190001,27.459999,2732100,27.215712,-0.109134230629
2015-04-21,27.280001,27.620001,26.940001,27.219999,2552700,26.977847,-0.219948672289
2015-04-22,27.75,28.09,27.299999,27.889999,2669100,27.641887,0.504500900901
2015-04-23,27.719999,27.92,27.530001,27.700001,1512000,27.453578,-0.0721428597454
2015-04-24,27.65,27.75,27.41,27.610001,1447400,27.364379,-0.144661844485
2015-04-27,27.719999,27.98,27.33,27.49,1892600,27.245446,-0.829722252154
2015-04-28,27.549999,27.950001,27.219999,27.879999,1430300,27.631976,1.19782218504
2015-04-29,27.77,28.450001,27.719999,28.290001,2656900,28.03833,1.87252790781
2015-04-30,28.17,28.65,27.719999,28.34,2752300,28.087884,0.603478878239
2015-05-01,28.52,28.620001,28.200001,28.32,1885400,28.068062,-0.70126227209
2015-05-04,28.4,28.780001,28.290001,28.75,1830200,28.494237,1.2323943662
2015-05-05,28.719999,29.09,28.6,28.639999,2034200,28.385215,-0.278551541732
2015-05-06,28.76,28.860001,28.540001,28.780001,1948500,28.523971,0.0695445062587
2015-05-07,28.65,28.76,28.389999,28.58,3538400,28.325749,-0.244328097731
2015-05-08,28.709999,28.82,28.43,28.719999,1907100,28.464503,0.034831070527
2015-05-11,28.690001,28.870001,28.57,28.719999,1444700,28.464503,0.104559076174
2015-05-12,28.65,28.99,28.51,28.9,1540900,28.642902,0.87260034904
2015-05-13,28.879999,29.17,28.68,29.139999,1532100,28.880767,0.900277039483
2015-05-14,29.309999,29.309999,28.91,29.16,1756300,28.900589,-0.51176733237
2015-05-15,29.379999,29.379999,28.6,28.74,1425800,28.484326,-2.1783492913
2015-05-18,28.77,29.26,28.719999,29.17,1290300,28.9105,1.39033715676
2015-05-19,29.299999,29.52,29.139999,29.43,1844500,29.228308,0.443689434938
2015-05-20,29.4,29.42,29.049999,29.110001,1176500,28.910502,-0.986391156463
2015-05-21,28.610001,29.200001,28.5,29.09,1231200,28.890638,1.67773150375
2015-05-22,29.1,29.17,28.950001,29.02,1094100,28.821118,-0.274914089347
2015-05-26,28.870001,29.120001,28.799999,28.959999,1645700,28.761528,0.311735354633
2015-05-27,28.98,29.290001,28.870001,29.26,1434000,29.059473,0.966183574879
2015-05-28,29.110001,29.299999,28.98,29.120001,1435900,28.920433,0.0343524550205
2015-05-29,29.209999,29.27,28.860001,28.879999,2361100,28.682076,-1.12975012426
2015-06-01,29.040001,29.07,28.299999,28.6,3798000,28.403997,-1.5151549065
2015-06-02,29.959999,30.6,29.809999,30.52,10810200,30.310838,1.86916227868
2015-06-03,30.6,31.25,30.42,30.92,4823200,30.708097,1.04575163399
2015-06-04,30.860001,31.290001,30.629999,30.790001,3869500,30.578988,-0.226830841645
2015-06-05,31.23,32.150002,31.0,31.84,6932000,31.621792,1.95325008005
2015-06-08,31.84,32.130001,31.65,31.809999,3708100,31.591997,-0.0942242462312
2015-06-09,31.940001,32.240002,31.780001,31.860001,2852700,31.641655,-0.250469622715
2015-06-10,32.209999,32.66,32.02,32.41,4370500,32.187885,0.620928302419
2015-06-11,32.360001,32.529999,31.85,31.940001,3543900,31.721107,-1.29789860019
2015-06-12,31.870001,31.98,31.690001,31.950001,2367500,31.731038,0.25101975993
2015-06-15,31.66,32.299999,31.51,32.119999,2204100,31.899872,1.45293430196
2015-06-16,31.99,32.599998,31.950001,32.259998,2506800,32.038911,0.844007502344
2015-06-17,32.419998,32.560001,31.809999,31.91,2303800,31.691312,-1.57309695084
2015-06-18,31.91,32.150002,31.530001,32.02,3032000,31.800558,0.34471952366
2015-06-19,31.950001,32.209999,31.27,31.530001,5204200,31.313917,-1.31455394947
2015-06-22,31.790001,32.110001,31.549999,32.09,2676000,31.870078,0.943689809887
2015-06-23,32.200001,32.490002,32.009998,32.389999,1488900,32.168022,0.590055882296
2015-06-24,32.330002,32.549999,32.16,32.18,1285400,31.959462,-0.463971514756
2015-06-25,32.369999,32.599998,32.099998,32.209999,1716000,31.989255,-0.494284846904
2015-06-26,33.029999,33.029999,32.369999,32.490002,2812200,32.267339,-1.63486835104
2015-06-29,31.860001,32.25,31.5,31.52,2136500,31.303985,-1.06717196902
2015-06-30,31.950001,32.349998,31.6,31.74,2058400,31.522477,-0.657280104623
2015-07-01,32.029999,32.189999,31.75,31.950001,2668700,31.731038,-0.249759608172
2015-07-02,31.879999,31.879999,31.129999,31.5,2689100,31.284122,-1.1919667877
2015-07-06,30.99,31.24,30.790001,31.190001,2936700,30.976247,0.645372700871
2015-07-07,31.139999,31.24,30.02,30.540001,4946400,30.330702,-1.92677591287
2015-07-08,30.360001,30.360001,29.65,29.75,4686400,29.546115,-2.00922588902
2015-07-09,30.280001,30.52,30.059999,30.41,3207400,30.201592,0.429322971291
2015-07-10,30.65,31.110001,30.5,31.030001,3163400,30.817343,1.23980750408
2015-07-13,31.26,31.52,31.15,31.309999,1934400,31.095423,0.159945617402
