Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,66.989998,68.43,66.949997,68.110001,7212700,66.543142,1.67189585526
2015-05-12,67.550003,67.68,67.080002,67.5,5027600,65.947174,-0.0740236828709
2015-05-13,67.540001,68.010002,67.029999,67.400002,4583800,65.849476,-0.207283088432
2015-05-14,66.900002,67.879997,66.370003,67.449997,6516400,65.898321,0.822115072583
2015-05-15,67.610001,68.129997,67.07,67.639999,6700600,66.083953,0.0443691755011
2015-05-18,67.639999,68.129997,67.589996,68.0,4286900,66.435672,0.532230936313
2015-05-19,68.040001,68.489998,67.910004,68.269997,3937700,66.699457,0.338030565285
2015-05-20,68.410004,69.860001,68.290001,69.080002,7379800,67.490828,0.979385997405
2015-05-21,68.940002,69.010002,68.459999,68.889999,3987100,67.305197,-0.0725311844348
2015-05-22,68.730003,68.730003,68.199997,68.300003,4419000,66.728773,-0.625636521506
2015-05-26,68.019997,68.239998,67.220001,67.5,5696300,65.947174,-0.764476658239
2015-05-27,67.650002,68.660004,67.440002,68.400002,6611400,66.826471,1.10864741733
2015-05-28,68.279999,69.230003,68.190002,69.150002,4633700,67.559218,1.27416961444
2015-05-29,69.160004,69.440002,63.16,64.599998,28412600,63.113886,-6.5934148876
2015-06-01,66.629997,67.309998,66.010002,66.480003,17656700,64.950642,-0.225114823283
2015-06-02,66.550003,66.550003,65.269997,65.800003,9919000,64.286285,-1.12697215055
2015-06-03,65.650002,66.230003,65.419998,65.699997,5683400,64.18858,0.0761538438338
2015-06-04,65.349998,66.769997,65.18,65.769997,10707800,64.256969,0.64269167996
2015-06-05,65.559998,66.260002,65.029999,66.199997,7697600,64.677077,0.976203507511
2015-06-08,65.849998,66.040001,65.150002,65.32,6939700,63.817324,-0.804856516472
2015-06-09,65.260002,65.419998,64.900002,65.080002,7134300,63.582847,-0.275819789279
2015-06-10,65.32,65.889999,65.050003,65.529999,8057000,64.022492,0.321492651562
2015-06-11,65.779999,66.0,65.540001,65.849998,6107100,64.33513,0.106413805205
2015-06-12,65.690002,65.949997,64.889999,65.279999,6326700,63.778244,-0.624148253185
2015-06-15,64.900002,66.18,64.260002,65.419998,6076400,63.915022,0.80122647762
2015-06-16,65.470001,65.989998,65.120003,65.970001,3350000,64.452373,0.763708557145
2015-06-17,65.720001,66.5,65.519997,66.300003,6432800,64.774783,0.882534983528
2015-06-18,66.32,67.220001,66.32,66.620003,5485700,65.087421,0.452356755127
2015-06-19,66.489998,67.440002,66.489998,66.800003,8432600,65.26328,0.466243058091
2015-06-22,67.309998,67.730003,66.93,67.059998,4327000,65.517294,-0.371415848207
2015-06-23,67.239998,68.139999,67.160004,67.330002,5639600,65.781087,0.133854852286
2015-06-24,67.290001,67.379997,66.709999,66.809998,4104600,65.273045,-0.713334808837
2015-06-25,67.0,67.589996,66.739998,66.839996,5097500,65.302354,-0.238811940299
2015-06-26,67.040001,67.68,66.940002,67.540001,17278000,65.986255,0.745823377896
2015-06-29,67.239998,67.489998,65.900002,65.970001,4710500,64.452373,-1.88875228699
2015-06-30,66.629997,66.709999,65.940002,66.540001,6236100,65.00926,-0.13506829364
