Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,34.009998,34.34,33.959999,34.25,1024100,34.25,0.705680723651
2015-05-12,34.060001,34.060001,33.700001,33.849998,812500,33.849998,-0.616567803389
2015-05-13,33.950001,34.139999,33.740002,34.080002,1463800,34.080002,0.382918987248
2015-05-14,34.23,34.400002,33.98,34.299999,1040800,34.299999,0.204496056091
2015-05-15,34.310001,34.57,34.25,34.450001,835300,34.450001,0.40804429006
2015-05-18,34.310001,34.709999,34.220001,34.619999,877400,34.619999,0.903520813071
2015-05-19,34.689999,35.349998,34.610001,35.32,1523200,35.32,1.81608826221
2015-05-20,35.299999,35.299999,34.849998,34.889999,1272700,34.889999,-1.16147312072
2015-05-21,34.849998,35.009998,34.57,34.959999,1146000,34.959999,0.315641338057
2015-05-22,34.869999,35.240002,34.849998,35.049999,803200,35.049999,0.516203054666
2015-05-26,35.029999,35.080002,34.43,34.610001,2087000,34.610001,-1.19896663428
2015-05-27,34.639999,35.5,34.639999,35.450001,1722000,35.450001,2.33834302362
2015-05-28,35.34,35.450001,35.0,35.290001,1880000,35.290001,-0.141479909451
2015-05-29,35.240002,35.93,35.0,35.77,2540500,35.77,1.5039669975
2015-06-01,36.0,36.349998,35.77,36.139999,1736700,36.139999,0.388886111111
2015-06-02,35.990002,36.360001,35.709999,36.23,1512100,36.23,0.66684630915
2015-06-03,36.349998,36.549999,36.27,36.43,3753900,36.43,0.220088045122
2015-06-04,36.169998,36.450001,36.080002,36.259998,1630200,36.259998,0.248825006847
2015-06-05,36.290001,36.439999,36.029999,36.369999,1495800,36.369999,0.220440886734
2015-06-08,36.330002,36.450001,36.189999,36.25,1333500,36.25,-0.220209181381
2015-06-09,36.290001,36.580002,36.02,36.549999,1436300,36.549999,0.716445281994
2015-06-10,36.709999,37.310001,36.5,37.099998,3590200,37.099998,1.06237812755
2015-06-11,37.110001,37.599998,37.02,37.400002,1861600,37.400002,0.781463196404
2015-06-12,37.259998,37.490002,37.080002,37.299999,2375200,37.299999,0.107356420148
2015-06-15,37.0,37.209999,36.830002,37.080002,2294700,37.080002,0.216221621622
2015-06-16,36.990002,37.509998,36.919998,37.5,1847400,37.5,1.37874553237
2015-06-17,37.66,37.66,37.09,37.369999,1165200,37.369999,-0.770050451407
2015-06-18,37.380001,37.950001,37.369999,37.869999,1614400,37.869999,1.3108560377
2015-06-19,38.029999,38.330002,38.0,38.259998,1738600,38.259998,0.604783081903
2015-06-22,38.540001,38.540001,38.009998,38.110001,2609900,38.110001,-1.11572389425
2015-06-23,38.349998,38.450001,37.93,37.93,1080100,37.93,-1.09517085242
2015-06-24,37.860001,37.919998,37.48,37.630001,1276700,37.630001,-0.607501304609
