Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,57.610001,57.830002,57.41,57.709999,1103700,57.278547,0.173577500893
2015-03-10,57.18,57.75,57.150002,57.259998,1204900,56.831911,0.139905561385
2015-03-11,57.369999,57.5,57.110001,57.290001,801500,56.861689,-0.139442219617
2015-03-12,57.360001,58.330002,57.299999,58.290001,694400,57.854213,1.62133888387
2015-03-13,58.299999,58.5,57.650002,57.950001,741300,57.516754,-0.600339632939
2015-03-16,58.220001,59.330002,58.110001,59.310001,1139300,58.866587,1.87220883078
2015-03-17,59.009998,59.099998,58.490002,59.0,936200,58.558904,-0.0169428916096
2015-03-18,58.84,60.5,58.630001,60.200001,1062700,59.749933,2.31135452073
2015-03-19,60.09,60.259998,59.849998,59.970001,1148000,59.521653,-0.199698785156
2015-03-20,60.220001,60.540001,59.939999,60.049999,2047700,59.601053,-0.282301556255
2015-03-23,60.150002,60.23,59.720001,59.740002,1367100,59.293373,-0.681629237519
2015-03-24,59.740002,59.93,58.950001,59.09,1049100,58.648231,-1.08805152032
2015-03-25,59.060001,59.27,57.610001,57.610001,1054600,57.179296,-2.45513033432
2015-03-26,57.459999,57.709999,56.740002,57.5,2057000,57.070118,0.0696153858269
2015-03-27,57.529999,57.77,57.279999,57.639999,1279000,57.209071,0.191204592234
2015-03-30,58.18,58.869999,58.07,58.77,841900,58.330624,1.01409419044
2015-03-31,58.330002,59.189999,58.16,58.93,1317600,58.489427,1.0286267434
2015-04-01,58.66,58.779999,57.830002,58.279999,1334800,57.844285,-0.647802591204
2015-04-02,58.040001,58.900002,58.040001,58.799999,839600,58.360398,1.30943829584
2015-04-06,58.459999,59.189999,58.259998,58.970001,1016500,58.529129,0.872394814786
2015-04-07,58.810001,59.02,58.68,58.84,838900,58.4001,0.0510100314401
2015-04-08,58.779999,59.220001,58.529999,59.209999,725600,58.767333,0.731541353037
2015-04-09,59.130001,59.459999,58.880001,59.299999,578300,58.85666,0.287498726746
