Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,68.230003,68.650002,68.019997,68.5,1633800,66.044468,0.395715943322
2015-03-10,67.769997,67.839996,67.160004,67.160004,1988400,64.752506,-0.900093001332
2015-03-11,67.32,67.360001,66.470001,66.57,1874600,64.183652,-1.11408199643
2015-03-12,66.860001,67.279999,66.639999,67.25,2301500,64.839277,0.583306901237
2015-03-13,67.0,67.25,66.040001,66.639999,2503400,64.251143,-0.537314925373
2015-03-16,68.120003,68.230003,66.889999,67.790001,3203000,65.35992,-0.484442139558
2015-03-17,67.489998,67.849998,67.129997,67.68,2215400,65.253863,0.281526160365
2015-03-18,67.349998,68.720001,66.730003,68.519997,3470900,66.063748,1.73719233073
2015-03-19,68.099998,68.209999,67.260002,67.580002,2032300,65.157449,-0.763577114936
2015-03-20,68.029999,68.650002,67.910004,68.480003,4282400,66.025188,0.661478769094
2015-03-23,68.459999,68.699997,67.809998,68.059998,2288400,65.620238,-0.584284262113
2015-03-24,68.029999,68.360001,67.480003,67.870003,2150600,65.437054,-0.235184480894
2015-03-25,67.919998,68.190002,66.809998,66.809998,2193600,64.415047,-1.6342756665
2015-03-26,66.5,66.970001,66.230003,66.669998,1981300,64.280066,0.255636090226
2015-03-27,66.949997,66.949997,66.32,66.699997,1386600,64.30899,-0.373413011505
2015-03-30,67.0,68.110001,67.0,67.82,1385000,65.388843,1.22388059701
2015-03-31,67.279999,68.080002,67.050003,67.940002,3182300,65.504544,0.980979503284
2015-04-01,67.949997,67.970001,67.099998,67.580002,2935200,65.157449,-0.54451069365
2015-04-02,67.379997,68.300003,66.980003,67.68,1987600,65.253863,0.44524044725
2015-04-06,67.019997,69.360001,66.949997,68.940002,2186500,66.468697,2.86482406139
2015-04-07,68.57,69.080002,68.349998,68.559998,1765900,66.102315,-0.0145865538865
2015-04-08,68.209999,68.5,67.790001,68.150002,1967200,65.707016,-0.0879592448022
2015-04-09,68.129997,68.709999,67.650002,68.550003,2398800,66.092678,0.616477349911
2015-04-10,68.519997,68.970001,68.089996,68.690002,2529400,66.227659,0.248110051727
2015-04-13,68.779999,68.779999,68.029999,68.339996,1839900,65.8902,-0.639725220118
2015-04-14,68.010002,68.870003,67.760002,68.660004,2583100,66.198736,0.955744715314
2015-04-15,69.0,70.0,68.599998,69.739998,2984400,67.240015,1.07246086957
2015-04-16,69.720001,69.720001,69.040001,69.43,1662400,66.94113,-0.415950940678
2015-04-17,68.940002,69.110001,68.300003,69.110001,2910100,66.632601,0.246589781068
2015-04-20,69.419998,69.809998,69.269997,69.809998,2749400,67.307506,0.561797768994
2015-04-21,70.0,70.25,69.040001,69.349998,2378400,66.863996,-0.928574285714
2015-04-22,69.440002,69.540001,68.690002,69.279999,2352700,66.796506,-0.230419060184
2015-04-23,69.120003,69.43,68.800003,69.099998,2075300,66.622958,-0.0289424177253
2015-04-24,69.360001,69.360001,68.419998,68.580002,2130900,66.121602,-1.12456601608
2015-04-27,68.68,69.620003,68.68,69.379997,3086600,66.89292,1.01921520093
2015-04-28,68.830002,69.0,68.129997,68.610001,4924300,66.150525,-0.319629512723
2015-04-29,69.379997,70.379997,68.370003,69.540001,4306800,67.047187,0.230619785123
2015-04-30,68.410004,69.410004,68.25,68.730003,3521400,66.794515,0.467766381069
2015-05-01,69.269997,70.57,68.949997,70.519997,3468200,68.534101,1.80453306502
2015-05-04,70.550003,70.980003,70.290001,70.800003,2805300,68.806222,0.354358595846
2015-05-05,71.010002,72.760002,70.989998,71.410004,4437100,69.399044,0.563303744168
2015-05-06,71.839996,71.970001,71.110001,71.559998,3020000,69.544814,-0.389752248873
2015-05-07,71.580002,71.580002,70.830002,71.25,2448300,69.243547,-0.461025413215
2015-05-08,72.0,72.290001,71.75,72.099998,2076100,70.069608,0.138886111111
2015-05-11,71.900002,72.660004,71.900002,72.269997,1854600,70.234819,0.514596647716
2015-05-12,71.919998,72.010002,71.440002,71.940002,1693400,69.914118,0.0278142388158
2015-05-13,72.099998,73.260002,72.010002,72.809998,2621000,70.759613,0.984743439244
2015-05-14,73.410004,73.82,73.120003,73.5,2767400,71.430185,0.122593645411
2015-05-15,73.360001,73.400002,72.699997,73.32,2944700,71.255253,-0.0545269894421
2015-05-18,73.050003,73.620003,72.660004,73.459999,1748900,71.39131,0.561253912611
2015-05-19,73.279999,73.360001,72.410004,72.800003,1904800,70.7499,-0.655016384484
2015-05-20,72.910004,73.0,72.489998,72.769997,6877900,70.720739,-0.192027146234
2015-05-21,72.410004,73.610001,72.389999,73.400002,2564600,71.333002,1.36721163556
2015-05-22,73.379997,73.510002,73.089996,73.089996,1514300,71.031727,-0.395204431529
2015-05-26,72.800003,72.839996,71.650002,72.010002,2452200,69.982146,-1.08516616407
2015-05-27,72.32,73.129997,71.970001,72.980003,1949400,70.924832,0.912614767699
2015-05-28,72.629997,72.940002,72.110001,72.779999,1715900,70.730459,0.206528991045
2015-05-29,72.809998,73.0,71.370003,71.589996,2497300,69.573968,-1.67559680471
2015-06-01,71.790001,72.07,71.279999,71.580002,1613200,69.564255,-0.292518452535
2015-06-02,71.529999,72.730003,71.489998,72.349998,1759600,70.312568,1.14637076956
2015-06-03,72.709999,73.279999,72.129997,72.870003,1776500,70.817929,0.220057766745
2015-06-04,72.449997,72.489998,71.660004,72.040001,2222700,70.0113,-0.565902024813
2015-06-05,71.919998,72.089996,71.459999,71.75,1854500,69.729466,-0.236370974315
2015-06-08,71.669998,72.089996,71.489998,71.660004,1575500,69.642004,-0.0139444680883
2015-06-09,71.660004,72.110001,71.400002,71.489998,1292300,69.476786,-0.237239729989
2015-06-10,72.029999,72.68,71.940002,72.540001,1717800,70.49722,0.708041103818
2015-06-11,72.879997,72.989998,72.169998,72.57,1315900,70.526374,-0.425352651977
2015-06-12,72.309998,72.480003,71.519997,71.879997,1746600,69.855803,-0.594663271876
2015-06-15,71.330002,71.330002,70.529999,70.889999,1781200,68.893684,-0.61685544324
2015-06-16,70.620003,70.82,69.959999,70.440002,2344700,68.456359,-0.254886706816
2015-06-17,70.629997,70.690002,69.889999,70.379997,2082800,68.398044,-0.353957256999
2015-06-18,70.550003,71.309998,70.480003,71.050003,1825000,69.049182,0.708717191692
2015-06-19,70.879997,70.879997,70.169998,70.199997,3127200,68.223112,-0.959367986429
2015-06-22,70.610001,70.760002,70.07,70.199997,1863300,68.223112,-0.580659954955
2015-06-23,70.080002,70.419998,70.0,70.300003,1936200,68.320302,0.313928358621
2015-06-24,70.050003,70.230003,69.480003,69.589996,2142300,67.63029,-0.656683769164
2015-06-25,69.669998,69.830002,68.449997,68.540001,2238800,66.609863,-1.62192770552
2015-06-26,68.739998,68.800003,68.099998,68.279999,2348700,66.357183,-0.669186810276
2015-06-29,67.75,68.089996,66.860001,66.93,2255800,65.045201,-1.21033210332
2015-06-30,67.830002,68.139999,67.110001,67.489998,3044900,65.589429,-0.501259015148
2015-07-01,67.980003,68.129997,67.389999,67.639999,2151400,65.735206,-0.5001529641
2015-07-02,67.760002,68.230003,67.349998,67.410004,1971100,65.511687,-0.51652595878
2015-07-06,66.660004,67.449997,66.349998,66.739998,1868900,64.860549,0.120002993099
2015-07-07,66.919998,66.959999,65.269997,66.910004,3143500,65.025768,-0.0149342502969
2015-07-08,66.410004,66.510002,65.209999,65.410004,2037000,63.568009,-1.50579722898
2015-07-09,66.220001,67.720001,65.389999,65.389999,2297200,63.548568,-1.25340076633
2015-07-10,66.25,66.379997,65.43,65.769997,1570200,63.917864,-0.724532830189
2015-07-13,66.279999,66.480003,65.949997,66.410004,1795500,64.539848,0.196145144782
2015-07-14,66.260002,66.610001,66.040001,66.43,1712100,64.559282,0.256562020629
2015-07-15,66.300003,66.360001,65.419998,65.739998,2299900,63.88871,-0.844653053786
2015-07-16,66.330002,66.400002,65.599998,65.980003,2103200,64.121957,-0.527663183246
2015-07-17,65.660004,65.970001,64.910004,65.110001,2177700,63.276454,-0.837653010195
2015-07-20,65.040001,65.510002,64.949997,65.25,1659400,63.412511,0.322876686303
2015-07-21,64.980003,65.139999,63.91,64.010002,3462000,62.207432,-1.49276847525
2015-07-22,63.790001,64.199997,63.369999,63.48,2166300,61.692355,-0.485971147735
2015-07-23,63.41,63.810001,62.869999,62.990002,3664900,61.216156,-0.662352941176
2015-07-24,63.0,63.029999,60.48,61.150002,7003600,59.427972,-2.9365047619
2015-07-27,60.849998,61.23,60.34,60.57,3084900,58.864303,-0.460144633037
2015-07-28,61.07,61.799999,60.689999,61.490002,3041200,59.758397,0.687738660553
2015-07-29,60.049999,62.52,59.5,61.799999,7330800,60.059665,2.91423818342
2015-07-30,60.639999,61.279999,60.119999,61.080002,3394500,59.892971,0.725598626741
2015-07-31,61.310001,61.310001,60.509998,60.580002,3295200,59.402688,-1.19066871325
2015-08-03,60.450001,60.580002,59.84,60.259998,2767700,59.088903,-0.314314304147
2015-08-04,60.43,60.709999,59.490002,59.580002,3022200,58.422122,-1.4065828231
2015-08-05,60.110001,60.599998,59.5,59.619999,3420200,58.461342,-0.815175498001
2015-08-06,59.880001,60.419998,59.5,59.98,2527800,58.814346,0.166998995207
2015-08-07,59.830002,60.290001,59.549999,59.849998,2371400,58.686872,0.0334213594043
2015-08-10,60.259998,61.400002,60.150002,61.389999,2425200,60.196944,1.87520915616
2015-08-11,60.650002,60.650002,59.77,60.110001,2668100,58.941821,-0.890356112437
2015-08-12,59.779999,60.41,59.43,60.299999,2934100,59.128127,0.869856153728
2015-08-13,59.98,60.59,59.700001,59.939999,1719000,58.775123,-0.0666905635212
2015-08-14,59.599998,60.259998,59.599998,59.959999,2079800,58.794734,0.604028543759
2015-08-17,59.66,60.43,59.259998,60.330002,1375400,59.157546,1.12303385853
2015-08-18,60.07,60.23,59.740002,59.82,2128100,58.657456,-0.416181122024
2015-08-19,59.360001,59.610001,58.209999,58.650002,3259600,57.510195,-1.19608993942
2015-08-20,58.290001,58.610001,58.0,58.119999,3600400,56.990493,-0.291648648282
2015-08-21,57.630001,58.0,56.689999,56.689999,4869200,55.588283,-1.63109835795
2015-08-24,51.77,55.630001,49.209999,54.32,6020200,53.264343,4.92563260576
2015-08-25,56.389999,56.389999,52.669998,52.709999,4600300,51.685631,-6.52597989938
2015-08-26,54.009998,54.779999,53.139999,54.57,4609700,53.509484,1.03684877011
2015-08-27,55.25,56.740002,55.009998,56.630001,4180500,55.529452,2.49773936652
2015-08-28,56.349998,57.450001,56.169998,57.049999,2974500,55.941288,1.24223784356
