Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,40.5,41.009998,40.27,40.869999,2771300,39.707744,0.913577777778
2015-03-10,40.529999,41.040001,40.099998,40.599998,3664000,39.445422,0.172709108628
2015-03-11,40.709999,40.889999,40.310001,40.419998,3989400,39.27054,-0.712358160461
2015-03-12,40.799999,41.049999,40.330002,41.0,3499900,39.834048,0.490198541426
2015-03-13,41.200001,41.200001,40.220001,40.830002,2483200,39.668884,-0.898055803445
2015-03-16,40.919998,41.450001,40.799999,41.360001,2115500,40.183811,1.07527620114
2015-03-17,41.07,43.5,41.07,42.59,7976500,41.378832,3.70099829559
2015-03-18,42.5,42.939999,42.110001,42.849998,4565300,41.631437,0.823524705882
2015-03-19,42.77,42.810001,42.259998,42.470001,2527000,41.262246,-0.701423895254
2015-03-20,42.810001,42.959999,42.150002,42.299999,5405200,41.097078,-1.19131508546
2015-03-23,42.310001,42.549999,41.900002,42.220001,4730700,41.019355,-0.212715665027
2015-03-24,42.150002,42.849998,42.150002,42.389999,2872700,41.184519,0.569387873339
2015-03-25,42.580002,42.700001,41.889999,41.889999,3093800,40.698738,-1.62048606761
2015-03-26,41.68,41.919998,41.349998,41.459999,2227700,40.280966,-0.527833493282
2015-03-27,41.299999,41.509998,41.02,41.169998,1779800,39.999212,-0.314772404716
2015-03-30,41.389999,41.990002,41.32,41.799999,1578100,40.611297,0.990577458096
2015-03-31,41.669998,41.830002,41.349998,41.439999,1705200,40.261534,-0.551953470216
2015-04-01,41.290001,41.549999,40.939999,41.240002,2050800,40.067225,-0.121092271226
2015-04-02,41.299999,41.419998,40.98,41.049999,2035500,39.882625,-0.60532689117
2015-04-06,40.93,41.369999,40.830002,41.130001,2604800,39.960352,0.488641583191
2015-04-07,40.700001,41.09,40.060001,40.349998,3449500,39.202531,-0.859958209829
2015-04-08,40.349998,40.68,40.240002,40.459999,2173800,39.309404,0.272617113884
2015-04-09,40.52,40.610001,40.02,40.380001,2405300,39.231681,-0.345505923001
