Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,156.25,157.520004,156.009995,156.350006,746200,153.500544,0.06400384
2015-05-12,155.949997,156.0,154.690002,155.440002,947700,152.607125,-0.327024693691
2015-05-13,155.380005,156.169998,155.110001,155.220001,822400,152.391133,-0.102975926664
2015-05-14,156.589996,157.880005,156.050003,157.669998,917100,154.796479,0.689700509348
2015-05-15,157.710007,158.869995,157.330002,158.009995,667600,155.130279,0.19021494305
2015-05-18,157.910004,158.649994,157.490005,158.020004,704800,155.140106,0.0696599311086
2015-05-19,158.0,159.440002,157.619995,158.929993,954800,156.03351,0.588603164557
2015-05-20,159.429993,160.360001,158.5,159.619995,1093900,156.710937,0.119175819069
2015-05-21,160.25,161.789993,160.039993,161.179993,1079900,158.242504,0.580338845554
2015-05-22,160.729996,161.050003,159.580002,160.0,956700,157.084017,-0.454175336382
2015-05-26,159.919998,159.919998,158.050003,158.470001,861400,155.581902,-0.906701487077
2015-05-27,159.369995,159.649994,158.089996,159.320007,865500,156.416417,-0.0313660046234
2015-05-28,158.0,160.580002,157.660004,160.479996,1256100,158.350394,1.56961772152
2015-05-29,159.899994,160.740005,158.270004,159.179993,1909200,157.067642,-0.450282068178
2015-06-01,159.089996,160.779999,158.300003,159.940002,1329700,157.817567,0.534292552248
2015-06-02,159.210007,161.25,157.440002,160.350006,1258600,158.22213,0.716034765327
2015-06-03,160.570007,161.440002,159.830002,160.259995,1189100,158.133312,-0.193069680815
2015-06-04,158.869995,160.350006,157.800003,158.119995,947800,156.021711,-0.472084108771
2015-06-05,157.470001,157.779999,156.509995,157.289993,928700,155.202724,-0.114312566747
2015-06-08,157.029999,157.649994,156.490005,156.660004,942700,154.581094,-0.235620583555
2015-06-09,156.940002,157.779999,156.179993,157.220001,938000,155.13366,0.178411492565
2015-06-10,157.839996,159.110001,156.440002,158.559998,1271400,156.455875,0.456159413486
2015-06-11,158.820007,161.050003,158.770004,160.770004,923900,158.636554,1.22780311929
2015-06-12,159.610001,161.360001,159.100006,161.059998,1027400,158.922699,0.908462496658
2015-06-15,159.669998,160.550003,159.0,159.960007,924100,157.837306,0.18163023964
2015-06-16,159.039993,163.5,159.039993,161.490005,871700,159.347001,1.54050057082
2015-06-17,162.0,163.380005,161.119995,162.869995,831400,160.708678,0.537033950617
2015-06-18,163.279999,165.919998,163.220001,165.160004,1150100,162.968297,1.1513994436
2015-06-19,164.5,165.970001,164.5,165.050003,1943500,162.859757,0.334348328267
2015-06-22,165.789993,166.550003,165.350006,165.470001,960400,163.274181,-0.193010443037
2015-06-23,165.660004,166.210007,163.729996,164.369995,1249800,162.188773,-0.778708782356
2015-06-24,164.240005,164.679993,162.889999,163.210007,869100,161.044177,-0.627129790942
2015-06-25,163.619995,164.100006,162.009995,162.130005,891000,159.978507,-0.910640536323
2015-06-26,162.419998,162.839996,161.449997,161.770004,2037500,159.623284,-0.400193330873
2015-06-29,160.800003,161.580002,158.639999,158.679993,1055400,156.574278,-1.31841415451
2015-06-30,159.990005,160.240005,158.160004,158.630005,900600,156.524953,-0.850053101755
2015-07-01,159.639999,160.509995,159.039993,160.100006,734400,157.975447,0.288152720422
2015-07-02,160.660004,161.229996,158.419998,159.5,975900,157.383403,-0.722024132403
2015-07-06,158.350006,159.589996,158.100006,159.25,967300,157.136721,0.568357414524
2015-07-07,159.830002,161.509995,158.130005,161.389999,986300,159.248322,0.976035150147
2015-07-08,160.220001,161.75,160.179993,160.660004,888500,158.528013,0.274624264919
2015-07-09,163.009995,164.0,162.550003,162.690002,1228800,160.531074,-0.196302686838
2015-07-10,164.300003,165.949997,163.679993,165.369995,1167100,163.175502,0.651242836557
2015-07-13,167.020004,167.619995,166.0,167.300003,942900,165.079899,0.167643990716
2015-07-14,167.160004,168.820007,167.039993,168.490005,1169800,166.25411,0.795645470312
2015-07-15,168.210007,169.050003,167.740005,168.589996,991000,166.352773,0.225901542231
2015-07-16,169.320007,170.070007,168.470001,169.860001,876600,167.605925,0.318919193052
2015-07-17,169.210007,169.970001,168.309998,168.990005,792100,166.747474,-0.130017133088
2015-07-20,169.539993,170.350006,168.979996,169.830002,877700,167.576324,0.171056394936
2015-07-21,169.110001,169.470001,165.979996,166.770004,833800,164.556933,-1.38371295971
2015-07-22,166.75,167.240005,165.75,166.279999,905400,164.07343,-0.281859670165
2015-07-23,166.610001,167.589996,165.139999,165.5,1222600,163.303782,-0.666227113221
2015-07-24,165.589996,165.979996,164.190002,164.800003,665500,162.613074,-0.477077733609
2015-07-27,163.919998,164.25,162.160004,162.559998,970500,160.402794,-0.829673021348
2015-07-28,163.410004,164.580002,162.0,163.339996,1584000,161.172442,-0.0428419302897
2015-07-29,170.600006,176.5,167.179993,173.440002,3107200,171.138419,1.66471037522
2015-07-30,172.860001,176.020004,172.360001,175.410004,1656800,173.082278,1.47518395537
