Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,28.32,28.5,28.17,28.389999,1152700,28.389999,0.247171610169
2015-03-10,28.129999,28.440001,28.049999,28.129999,2330400,28.129999,0.0
2015-03-11,28.15,28.25,27.969999,28.139999,1127400,28.139999,-0.0355275310835
2015-03-12,28.07,28.33,28.01,28.139999,1969100,28.139999,0.249372996081
2015-03-13,28.01,28.02,27.530001,27.67,2546200,27.67,-1.21385219564
2015-03-16,27.82,28.16,27.620001,28.16,2359400,28.16,1.22214234364
2015-03-17,28.0,28.16,27.84,27.98,1123200,27.98,-0.0714285714286
2015-03-18,27.83,28.530001,27.530001,28.389999,1830000,28.389999,2.01221343874
2015-03-19,28.190001,28.209999,27.610001,27.82,1220100,27.82,-1.31252567178
2015-03-20,28.09,28.49,27.9,28.040001,2935200,28.040001,-0.177995728017
2015-03-23,28.040001,28.51,28.030001,28.309999,1462300,28.309999,0.96290296138
2015-03-24,28.34,28.48,28.08,28.219999,1010600,28.219999,-0.423433309809
2015-03-25,28.35,28.35,27.85,27.85,1120400,27.85,-1.76366843034
2015-03-26,27.83,28.389999,27.83,28.24,1704400,28.24,1.47323032699
2015-03-27,28.16,28.26,27.629999,28.01,1421200,28.01,-0.532670454545
2015-03-30,28.219999,28.84,28.209999,28.83,1534800,28.83,2.16159114676
2015-03-31,28.620001,28.68,28.32,28.530001,1630800,28.530001,-0.314465397817
2015-04-01,28.43,28.639999,28.280001,28.4,1316000,28.4,-0.105522335561
2015-04-02,28.370001,29.059999,28.290001,28.440001,918200,28.440001,0.246739504873
2015-04-06,28.360001,29.24,28.32,29.120001,1193000,29.120001,2.67983065304
2015-04-07,29.059999,29.1,28.66,28.66,1447500,28.66,-1.37645909761
2015-04-08,28.719999,28.889999,28.280001,28.469999,1745700,28.469999,-0.870473567913
2015-04-09,28.459999,28.73,28.23,28.690001,1540900,28.690001,0.808158847792
2015-04-10,28.77,28.92,28.469999,28.620001,1223600,28.620001,-0.521372957942
2015-04-13,28.639999,29.07,28.549999,28.709999,941600,28.709999,0.244413416355
2015-04-14,28.74,29.09,28.58,29.059999,801600,29.059999,1.11342727905
2015-04-15,29.17,30.030001,29.049999,29.950001,2523200,29.950001,2.67398354474
2015-04-16,29.82,29.870001,29.48,29.52,2009000,29.52,-1.0060362173
2015-04-17,29.15,29.33,29.01,29.110001,1012100,29.110001,-0.137217838765
2015-04-20,29.26,29.559999,29.25,29.32,823900,29.32,0.205058099795
2015-04-21,29.389999,29.57,29.07,29.17,888800,29.17,-0.74855055286
2015-04-22,29.209999,29.34,28.76,29.01,1231800,29.01,-0.684693621523
2015-04-23,28.99,29.34,28.889999,29.209999,1320300,29.209999,0.758878923767
2015-04-24,29.17,29.43,29.030001,29.280001,1942600,29.280001,0.377103188207
2015-04-27,29.34,29.73,29.209999,29.48,1427600,29.48,0.477164280845
2015-04-28,29.49,29.629999,29.370001,29.559999,1591500,29.559999,0.237365208545
