Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,136.880005,137.559998,136.380005,137.539993,432100,137.539993,0.482165382738
2015-03-10,135.270004,137.039993,135.270004,136.059998,532200,136.059998,0.584012698041
2015-03-11,135.979996,136.300003,135.020004,135.669998,392200,135.669998,-0.227973238064
2015-03-12,136.509995,137.029999,135.850006,136.880005,254500,136.880005,0.271049749874
2015-03-13,137.259995,137.259995,135.610001,136.410004,358000,136.410004,-0.619256178758
2015-03-16,136.830002,138.830002,136.830002,138.679993,350500,138.679993,1.35203608343
2015-03-17,138.050003,139.149994,137.770004,138.809998,298600,138.809998,0.550521538199
2015-03-18,138.5,140.949997,138.009995,140.509995,332400,140.509995,1.4512599278
2015-03-19,140.509995,140.899994,139.639999,140.0,372500,140.0,-0.362959944593
2015-03-20,140.449997,141.0,139.529999,139.789993,612200,139.789993,-0.469920978354
2015-03-23,139.929993,141.320007,139.179993,140.529999,422600,140.529999,0.428790130791
2015-03-24,140.240005,140.850006,139.259995,140.339996,310700,140.339996,0.0712999118903
2015-03-25,140.710007,140.710007,138.520004,138.600006,621700,138.600006,-1.49953869308
2015-03-26,138.029999,138.789993,137.330002,138.289993,366700,138.289993,0.188360502705
2015-03-27,138.089996,139.520004,137.520004,138.960007,312900,138.960007,0.630031881527
2015-03-30,139.339996,141.25,139.0,140.860001,283000,140.860001,1.09086051646
2015-03-31,140.720001,141.440002,140.289993,140.429993,383500,140.429993,-0.206088685289
2015-04-01,139.729996,139.979996,138.360001,138.800003,426300,138.800003,-0.665564321636
2015-04-02,139.039993,140.419998,138.559998,140.139999,336900,140.139999,0.791143595642
2015-04-06,139.470001,141.350006,139.0,141.289993,387100,141.289993,1.30493438514
2015-04-07,141.199997,141.199997,139.899994,139.919998,284000,139.919998,-0.906514891781
2015-04-08,139.919998,141.699997,139.809998,140.660004,299100,140.660004,0.528877937806
2015-04-09,140.759995,141.580002,140.210007,141.539993,414700,141.539993,0.554133296183
2015-04-10,141.639999,142.679993,141.0,141.929993,359100,141.929993,0.204740187834
2015-04-13,141.630005,142.690002,141.119995,141.559998,293800,141.559998,-0.0494294976548
2015-04-14,140.919998,141.649994,139.899994,140.809998,243400,140.809998,-0.0780584740003
2015-04-15,141.199997,141.720001,140.850006,141.190002,189200,141.190002,-0.00707861204841
2015-04-16,141.070007,141.070007,139.880005,140.830002,244200,140.830002,-0.170131840994
2015-04-17,139.710007,140.240005,137.5,138.059998,521400,138.059998,-1.18102420537
2015-04-20,138.330002,139.929993,138.330002,138.919998,231800,138.919998,0.426513403795
2015-04-21,139.619995,139.860001,138.869995,139.380005,257600,139.380005,-0.17188798782
2015-04-22,140.279999,140.940002,138.710007,139.660004,302200,139.660004,-0.441969635315
2015-04-23,138.850006,141.009995,138.850006,140.5,382600,140.5,1.18832836061
2015-04-24,133.330002,138.110001,131.0,136.940002,1313300,136.940002,2.70756764858
2015-04-27,137.5,138.990005,134.940002,135.059998,642500,135.059998,-1.77454690909
2015-04-28,134.309998,135.960007,134.309998,135.289993,587100,135.289993,0.729651563244
2015-04-29,134.5,135.339996,133.309998,134.070007,641100,134.070007,-0.31969739777
2015-04-30,133.279999,134.850006,133.020004,133.429993,586800,133.429993,0.112540517051
2015-05-01,133.869995,134.550003,133.380005,134.179993,628100,134.179993,0.231566453708
2015-05-04,134.929993,136.169998,134.580002,135.240005,396500,135.240005,0.229757664035
2015-05-05,134.910004,135.330002,132.639999,132.759995,606900,132.759995,-1.59366165314
2015-05-06,133.080002,133.350006,132.149994,132.800003,392800,132.800003,-0.210399004953
2015-05-07,132.740005,133.339996,132.350006,133.100006,372300,133.100006,0.271207613711
2015-05-08,134.0,135.279999,132.789993,134.009995,288100,134.009995,0.00745895522388
2015-05-11,133.809998,134.800003,133.479996,133.570007,360000,133.570007,-0.179352069043
2015-05-12,132.800003,134.539993,132.529999,134.339996,333100,134.339996,1.15963325694
