Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,32.68,32.709999,32.43,32.689999,18358600,31.639698,0.0305966952264
2015-05-12,32.439999,32.5,32.0,32.25,24530200,31.213836,-0.585693606217
2015-05-13,32.27,32.900002,32.27,32.639999,20470800,31.591305,1.14657266811
2015-05-14,32.860001,33.130001,32.77,32.970001,21098900,31.910704,0.334753489508
2015-05-15,33.09,33.119999,32.75,32.990002,17149700,31.930062,-0.302200060441
2015-05-18,32.98,33.41,32.849998,33.41,23689500,32.336566,1.30382049727
2015-05-19,33.360001,33.380001,32.990002,33.150002,21867100,32.084922,-0.629493386406
2015-05-20,33.060001,33.5,33.009998,33.369999,21359800,32.297851,0.937682972242
2015-05-21,33.209999,33.560001,33.07,33.549999,21269800,32.472068,1.02378804649
2015-05-22,33.470001,33.509998,33.32,33.450001,20845000,32.375282,-0.0597550026963
2015-05-26,33.27,33.290001,32.84,33.099998,28594500,32.036525,-0.510976856026
2015-05-27,33.200001,33.849998,33.130001,33.709999,30172700,32.626927,1.53613850795
2015-05-28,33.740002,34.150002,33.68,34.009998,27065700,32.917287,0.800225204492
2015-05-29,34.240002,34.75,34.209999,34.459999,43545500,33.35283,0.642514565274
2015-06-01,34.369999,34.59,33.68,33.91,46734500,32.820502,-1.33837362055
2015-06-02,33.639999,33.75,33.139999,33.27,36351100,32.201065,-1.09987815398
2015-06-03,33.169998,33.240002,32.59,32.73,38138700,31.678414,-1.3264938997
2015-06-04,32.509998,32.720001,32.200001,32.310001,33761800,31.27191,-0.615186134432
2015-06-05,32.279999,32.299999,31.83,31.84,27778500,30.817009,-1.36307005462
2015-06-08,31.809999,31.950001,31.209999,31.299999,38171600,30.294358,-1.60326946254
2015-06-09,31.33,31.66,31.15,31.25,33976700,30.245965,-0.255346313438
2015-06-10,31.459999,32.16,31.370001,31.82,33336800,30.797651,1.14431345023
2015-06-11,31.950001,32.099998,31.84,31.85,24293600,30.826688,-0.312992165478
2015-06-12,31.719999,32.099998,31.200001,31.32,31629800,30.313716,-1.26103093509
2015-06-15,31.120001,31.51,30.940001,31.389999,23175000,30.381467,0.867602799884
2015-06-16,31.26,31.76,31.129999,31.639999,20254500,30.623434,1.2156078055
2015-06-17,31.75,32.09,31.690001,31.950001,28194200,30.923476,0.629924409449
2015-06-18,32.080002,32.5,32.0,32.380001,27722400,31.33966,0.935158919254
2015-06-19,32.400002,32.57,31.959999,32.07,39008400,31.039619,-1.01852462849
2015-06-22,32.259998,32.389999,32.080002,32.259998,23608400,31.223513,0.0
2015-06-23,32.310001,32.34,31.93,32.09,17995900,31.058977,-0.680906818913
2015-06-24,32.150002,32.150002,31.879999,31.91,23313900,30.88476,-0.746506952006
2015-06-25,32.02,32.32,31.99,31.99,22743300,30.96219,-0.0936914428482
2015-06-26,31.51,31.530001,30.76,31.02,62157200,30.023355,-1.55506188512
2015-06-29,30.700001,30.98,30.309999,30.389999,35194500,29.413596,-1.00977846874
2015-06-30,30.629999,30.690001,30.15,30.42,34412200,29.442633,-0.685599108247
2015-07-01,30.49,30.549999,30.01,30.18,27178900,29.210344,-1.01672679567
2015-07-02,30.18,30.92,30.1,30.559999,27105200,29.578134,1.25910868125
2015-07-06,30.24,30.450001,29.84,30.040001,32468100,29.074842,-0.661372354497
2015-07-07,29.870001,29.93,29.09,29.9,43833700,28.939339,0.100431868081
2015-07-08,29.4,29.67,29.15,29.5,45223800,28.552191,0.340136054422
2015-07-09,29.719999,29.889999,28.82,28.93,47167800,28.000505,-2.65813938957
2015-07-10,29.200001,29.35,28.940001,29.17,31423800,28.232794,-0.102743147166
2015-07-13,29.27,29.82,29.190001,29.73,26452400,28.774801,1.57157499146
2015-07-14,29.66,30.110001,29.440001,29.65,39778300,28.697372,-0.0337154416723
2015-07-15,29.65,29.99,29.469999,29.690001,47852500,28.736087,0.134910623946
2015-07-16,30.469999,30.48,29.1,29.9,81166700,28.939339,-1.87068926389
2015-07-17,29.66,29.799999,29.1,29.469999,43697600,28.523154,-0.640596763318
2015-07-20,29.620001,29.620001,29.07,29.1,33812900,28.165043,-1.75557387726
2015-07-21,28.959999,29.26,28.67,28.719999,45191000,27.797251,-0.828729310384
2015-07-22,28.57,28.85,28.43,28.610001,36387200,27.690787,0.140010500525
2015-07-23,28.66,28.969999,28.43,28.6,33775200,27.681108,-0.209351011863
2015-07-24,28.530001,28.639999,28.059999,28.059999,31621000,27.158457,-1.64739566606
2015-07-27,28.07,28.42,27.620001,28.35,42161100,27.43914,0.997506234414
2015-07-28,28.51,29.18,28.440001,28.959999,33182400,28.02954,1.57839003858
2015-07-29,28.950001,29.129999,28.790001,29.01,26470200,28.077935,0.20725042462
2015-07-30,29.1,29.450001,28.85,28.91,26582400,27.981147,-0.652920962199
2015-07-31,29.120001,29.120001,28.77,28.950001,27158800,28.019863,-0.583791188743
2015-08-03,29.0,29.35,28.9,29.049999,26213600,28.116649,0.172410344828
2015-08-04,28.98,29.15,28.860001,29.129999,25741700,28.194078,0.51759489303
2015-08-05,29.190001,29.389999,29.02,29.120001,23622700,28.41854,-0.239808145262
2015-08-06,29.16,29.23,28.85,29.01,27958200,28.311189,-0.514403292181
2015-08-07,28.799999,28.959999,28.690001,28.879999,25606100,28.18432,0.277777787423
2015-08-10,29.07,29.68,29.059999,29.639999,22807400,28.926013,1.96078087375
2015-08-11,29.469999,29.48,28.959999,28.969999,23758900,28.272152,-1.69664070908
2015-08-12,28.66,29.57,28.66,29.459999,33589100,28.750348,2.79134333566
2015-08-13,29.4,29.450001,28.870001,28.870001,18821900,28.174562,-1.80271768707
2015-08-14,28.92,29.040001,28.82,29.02,14302700,28.320949,0.345781466113
2015-08-17,28.83,29.200001,28.709999,29.08,15548300,28.379503,0.867152271939
2015-08-18,28.950001,29.049999,28.799999,28.91,19182600,28.213598,-0.138172706799
2015-08-19,28.65,28.799999,28.280001,28.360001,30530100,27.676847,-1.01221291449
2015-08-20,28.030001,28.24,27.530001,27.530001,31936600,26.866841,-1.7838030045
2015-08-21,27.33,27.629999,26.559999,26.559999,52288400,25.920206,-2.81742041712
2015-08-24,25.200001,27.629999,24.870001,26.25,83234200,25.617674,4.16666253307
2015-08-25,27.040001,27.15,25.870001,25.870001,59371900,25.246828,-4.3269229169
2015-08-26,26.51,27.34,26.08,27.299999,47386700,26.64238,2.98000377216
2015-08-27,27.719999,27.91,27.01,27.719999,38649400,27.052263,0.0
2015-08-28,27.67,28.610001,27.450001,28.42,43452400,27.735401,2.7105168052
2015-08-31,28.33,29.129999,28.16,28.540001,42401800,27.852512,0.741267207907
2015-09-01,27.91,28.17,27.66,27.82,44144000,27.149854,-0.322465066284
2015-09-02,28.35,28.6,28.139999,28.6,34618800,27.911066,0.881834215168
2015-09-03,28.799999,29.42,28.690001,29.08,38665900,28.379503,0.972225728202
2015-09-04,28.57,28.9,28.41,28.52,29116500,27.832993,-0.175008750438
2015-09-08,28.98,29.5,28.950001,29.5,27805000,28.789386,1.79434092478
2015-09-09,29.719999,30.120001,29.17,29.24,30774100,28.535648,-1.61507071383
2015-09-10,29.18,29.66,28.9,29.27,25195800,28.564927,0.308430431803
2015-09-11,29.08,29.52,29.040001,29.469999,21786900,28.760108,1.34112448418
2015-09-14,29.469999,29.530001,29.09,29.389999,24065100,28.682035,-0.271462513453
2015-09-15,29.559999,29.940001,29.48,29.73,29819000,29.013845,0.575104890903
2015-09-16,29.620001,29.790001,29.4,29.77,25957800,29.052882,0.506411191546
2015-09-17,29.620001,30.200001,29.549999,29.709999,29805200,28.994326,0.303841988392
2015-09-18,29.219999,29.42,28.809999,29.02,60693400,28.320949,-0.684459297894
2015-09-21,29.09,29.34,28.940001,29.16,24417100,28.457576,0.240632519766
2015-09-22,28.67,28.9,28.48,28.67,28576200,27.979379,0.0
2015-09-23,29.02,29.09,28.59,28.74,25984000,28.047693,-0.964851826327
2015-09-24,28.379999,28.67,27.870001,28.48,32754700,27.793956,0.352364353501
2015-09-25,28.940001,29.120001,28.629999,28.809999,29192300,28.116006,-0.449212147574
2015-09-28,28.68,29.360001,28.639999,28.76,42291000,28.067211,0.278940027894
2015-09-29,28.83,29.35,28.76,29.24,34169600,28.535648,1.42212972598
2015-09-30,29.559999,30.32,29.540001,30.139999,41051700,29.413968,1.96211102714
2015-10-01,30.209999,30.280001,29.459999,30.0,29832800,29.277341,-0.695130774417
2015-10-02,29.67,30.530001,29.530001,30.51,27901500,29.775056,2.83114256825
2015-10-05,30.73,31.379999,30.559999,31.209999,34842500,30.458193,1.56198828506
2015-10-06,31.16,31.85,31.110001,31.74,35530200,30.975427,1.86136071887
2015-10-07,32.0,32.419998,31.719999,32.32,36930100,31.541455,1.0
2015-10-08,32.23,32.599998,31.98,32.52,27794600,31.736638,0.899782811046
2015-10-09,32.369999,32.549999,31.940001,32.139999,24209900,31.365791,-0.710534467425
2015-10-12,32.16,32.32,32.0,32.209999,18795000,31.434105,0.155469527363
2015-10-13,32.029999,32.48,31.98,32.040001,35588600,31.268201,0.0312269756862
2015-10-14,31.389999,32.93,30.85,32.799999,75954800,32.009892,4.49187653685
2015-10-15,32.84,33.060001,32.459999,32.75,37634800,31.961098,-0.274056029233
2015-10-16,32.75,33.200001,32.48,33.040001,28659200,32.244113,0.885499236641
2015-10-19,32.880001,33.619999,32.869999,33.59,37624000,32.780863,2.15936428956
2015-10-20,33.400002,33.700001,33.310001,33.439999,24416100,32.634475,0.119751489835
2015-10-21,33.669998,34.049999,33.32,33.369999,31928800,32.566162,-0.890997973923
2015-10-22,33.700001,34.5,33.59,34.400002,39572600,33.571353,2.07715424103
2015-10-23,34.540001,35.029999,34.400002,34.900002,42796600,34.059309,1.0422726971
2015-10-26,34.77,34.959999,34.549999,34.59,22646900,33.756775,-0.517687661777
2015-10-27,34.41,34.549999,34.310001,34.470001,22630100,33.639666,0.174370822435
2015-10-28,34.470001,34.709999,34.119999,34.709999,21908400,33.873883,0.696251792972
2015-10-29,34.200001,34.290001,33.77,34.029999,21325200,33.210263,-0.49708185681
2015-10-30,34.099998,34.290001,33.860001,33.860001,24693900,33.04436,-0.70380356034
2015-11-02,33.73,34.279999,33.639999,34.110001,21743100,33.288338,1.12659650163
2015-11-03,34.0,34.41,33.98,34.310001,18167000,33.483521,0.911767647059
2015-11-04,34.27,34.27,33.900002,34.150002,20762100,33.562143,-0.350154654217
2015-11-05,34.099998,34.200001,33.73,34.0,16486100,33.414724,-0.293249284062
2015-11-06,33.93,33.970001,33.41,33.84,23701700,33.257478,-0.26525198939
2015-11-09,33.599998,33.830002,33.080002,33.349998,24168700,32.775912,-0.744047663336
2015-11-10,33.169998,33.27,32.810001,33.209999,22451700,32.638322,0.120593917431
2015-11-11,33.16,33.380001,32.799999,32.860001,19864700,32.294349,-0.904701447527
2015-11-12,32.709999,32.919998,32.389999,32.400002,23265400,31.842268,-0.947713266515
2015-11-13,32.27,32.380001,31.959999,32.110001,23673200,31.557259,-0.495813449024
2015-11-16,32.09,32.259998,31.93,32.099998,29899700,31.547429,0.0311561234029
2015-11-17,32.150002,32.880001,32.009998,32.639999,22636400,32.078134,1.52409632821
2015-11-18,32.73,33.240002,32.619999,33.16,18619800,32.589184,1.31377940727
2015-11-19,33.220001,34.73,33.130001,34.299999,45381600,33.709559,3.25104746385
2015-11-20,34.48,35.290001,34.48,34.66,41137700,34.063363,0.522041763341
2015-11-23,34.66,34.849998,34.41,34.48,20152900,33.886461,-0.519330640508
2015-11-24,34.330002,34.439999,33.900002,34.360001,21413500,33.768528,0.0873842069686
