Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,66.82,67.059998,66.449997,66.57,1295800,65.127377,-0.374139479198
2015-03-10,66.239998,66.349998,65.019997,65.330002,1971400,63.914251,-1.37378627336
2015-03-11,65.330002,65.800003,65.209999,65.309998,1330300,64.228953,-0.0306199286509
2015-03-12,64.720001,65.339996,64.669998,64.959999,1657400,63.884748,0.370825086977
2015-03-13,65.010002,65.379997,64.18,64.800003,1557700,63.7274,-0.323025678418
2015-03-16,64.959999,66.0,64.889999,65.860001,1032900,64.769852,1.38547108044
2015-03-17,65.449997,65.519997,64.900002,65.32,1226700,64.23879,-0.19862032996
2015-03-18,65.080002,67.07,65.07,66.650002,1437500,65.546777,2.41241541449
2015-03-19,66.449997,67.010002,66.050003,66.339996,1383500,65.241903,-0.16553951086
2015-03-20,66.540001,67.290001,66.449997,66.830002,2748700,65.723798,0.435829569645
2015-03-23,66.760002,67.0,66.519997,66.519997,904800,65.418924,-0.359504183358
2015-03-24,66.610001,66.879997,66.220001,66.230003,843500,65.133731,-0.570481901059
2015-03-25,66.209999,66.220001,65.25,65.349998,1219000,64.268292,-1.29889897748
2015-03-26,64.93,65.559998,64.529999,65.419998,957100,64.337133,0.754655783151
2015-03-27,65.389999,65.629997,64.580002,65.379997,1213000,64.297794,-0.0152959170408
2015-03-30,65.849998,66.459999,65.720001,66.389999,969000,65.291078,0.820047101596
2015-03-31,66.25,66.900002,66.139999,66.669998,1722900,65.566442,0.633959245283
2015-04-01,66.660004,66.75,66.07,66.669998,1109400,65.566442,0.0149924983503
2015-04-02,66.669998,67.459999,61.150002,62.509998,8069900,61.475301,-6.23968820278
2015-04-06,62.09,62.240002,61.459999,61.48,3462600,60.462351,-0.982444838138
2015-04-07,61.48,62.389999,61.279999,61.990002,1358000,60.963912,0.829541314249
2015-04-08,61.900002,62.459999,61.5,62.419998,1488300,61.386791,0.840058131177
2015-04-09,62.27,62.439999,61.799999,62.32,923900,61.288447,0.0802954873936
2015-04-10,62.25,62.59,62.110001,62.529999,900400,61.49497,0.449797590361
2015-04-13,62.529999,62.990002,61.900002,61.970001,1257000,60.944242,-0.895566942197
2015-04-14,62.009998,62.139999,61.650002,61.91,1286100,60.885234,-0.161261092123
2015-04-15,61.959999,62.330002,61.759998,61.82,1273300,60.796724,-0.225950616946
2015-04-16,61.709999,62.130001,61.709999,61.860001,1936400,60.836062,0.243075680491
2015-04-17,61.509998,61.610001,60.470001,60.68,2097700,59.675594,-1.34937087789
2015-04-20,61.02,61.459999,61.009998,61.16,1424600,60.147648,0.229432972796
2015-04-21,61.34,61.709999,61.259998,61.43,1273200,60.41318,0.146723182263
2015-04-22,61.610001,61.810001,61.41,61.59,993900,60.570531,-0.0324638852059
2015-04-23,61.18,61.459999,60.84,60.84,1380600,59.832946,-0.555737169009
2015-04-24,61.110001,61.110001,60.18,60.57,1823400,59.567414,-0.883654051978
2015-04-27,60.849998,61.16,60.470001,60.98,1456300,59.970628,0.213643392396
2015-04-28,60.970001,61.139999,60.380001,60.689999,993200,59.685427,-0.459245523056
2015-04-29,60.5,60.689999,59.720001,59.740002,1366800,58.751155,-1.25619504132
2015-04-30,59.450001,59.84,59.32,59.75,1890000,58.760988,0.504624045339
2015-05-01,60.119999,60.369999,60.040001,60.279999,1526400,59.282214,0.266134402298
2015-05-04,60.369999,60.77,60.34,60.68,993700,59.675594,0.51350174778
2015-05-05,59.619999,60.150002,58.200001,58.59,2343800,57.620189,-1.72760653686
2015-05-06,60.34,60.490002,58.200001,58.75,2316200,57.77754,-2.63506794829
2015-05-07,59.290001,60.400002,59.119999,60.009998,1862800,59.016682,1.21436496518
2015-05-08,60.560001,61.0,60.41,60.59,1040200,59.587084,0.04953599654
2015-05-11,60.470001,60.619999,59.759998,59.799999,1216100,58.810159,-1.10799072089
2015-05-12,59.43,59.689999,59.099998,59.419998,769100,58.436448,-0.016829883897
2015-05-13,59.450001,59.720001,59.220001,59.25,825400,58.269264,-0.336418833702
2015-05-14,59.619999,59.900002,59.419998,59.790001,906800,58.800326,0.28514257439
2015-05-15,59.790001,59.93,59.240002,59.299999,1300000,58.318436,-0.819538370638
2015-05-18,59.220001,60.169998,59.220001,60.119999,1630000,59.124862,1.51975343601
2015-05-19,60.349998,60.349998,59.73,59.799999,760500,58.810159,-0.911348828877
2015-05-20,59.900002,60.029999,59.610001,59.799999,563600,58.810159,-0.166949910953
2015-05-21,59.650002,59.939999,59.59,59.790001,650100,58.800326,0.234700746531
2015-05-22,59.490002,59.740002,59.279999,59.66,1049900,58.672477,0.285758941477
2015-05-26,59.400002,59.400002,58.709999,59.110001,1095400,58.131582,-0.488217155279
2015-05-27,59.349998,59.349998,58.700001,59.060001,1571100,58.08241,-0.488621751933
2015-05-28,58.959999,59.869999,58.849998,59.630001,854600,58.642975,1.13636704777
2015-05-29,59.57,59.73,59.0,59.0,1769300,58.023402,-0.956857478597
2015-06-01,59.09,59.990002,58.860001,59.650002,1196000,58.662644,0.947710272466
2015-06-02,59.419998,59.740002,58.950001,59.189999,1159000,58.210256,-0.387073388996
2015-06-03,59.439999,59.639999,59.119999,59.48,815600,58.495456,0.0672964345104
2015-06-04,59.240002,59.580002,58.740002,58.799999,677500,57.826712,-0.742746430022
2015-06-05,58.869999,58.869999,58.389999,58.610001,533400,57.639858,-0.44164770582
2015-06-08,58.540001,58.549999,57.889999,58.080002,887900,57.118632,-0.785785774073
2015-06-09,58.169998,58.290001,57.759998,57.900002,852600,56.941611,-0.464149921408
2015-06-10,58.060001,58.700001,57.880001,58.490002,830700,57.521845,0.740614868401
2015-06-11,58.459999,58.740002,58.23,58.549999,896500,57.917519,0.153951422408
2015-06-12,58.130001,58.189999,57.369999,57.650002,1131400,57.027244,-0.825733686122
2015-06-15,57.16,58.060001,56.830002,57.950001,1186800,57.324002,1.38208712386
2015-06-16,57.970001,58.349998,57.720001,58.18,947800,57.551517,0.362254608207
2015-06-17,58.369999,58.5,57.490002,57.970001,1060100,57.343787,-0.685280121386
2015-06-18,58.0,58.59,57.98,58.389999,1212500,57.759248,0.672412068966
2015-06-19,58.220001,58.34,57.779999,58.049999,2303000,57.422921,-0.291999307935
2015-06-22,58.240002,59.279999,58.049999,59.220001,1238700,58.580284,1.68269053287
2015-06-23,59.509998,59.73,58.900002,59.119999,1085900,58.481362,-0.655350383309
2015-06-24,58.93,59.060001,58.279999,58.290001,741600,57.66033,-1.08603258103
