Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,75.830002,76.940002,75.559998,76.379997,1283500,76.379997,0.725299994058
2015-05-12,75.709999,76.5,75.07,76.139999,944000,76.139999,0.567956684295
2015-05-13,76.190002,76.889999,75.800003,76.589996,805100,76.589996,0.52499539244
2015-05-14,76.870003,78.260002,76.599998,78.010002,1212600,78.010002,1.48302192729
2015-05-15,78.099998,78.400002,77.239998,77.769997,1026700,77.769997,-0.422536502498
2015-05-18,77.449997,78.690002,77.269997,78.489998,883300,78.489998,1.34280315079
2015-05-19,78.400002,78.629997,77.809998,78.139999,1189400,78.139999,-0.331636471132
2015-05-20,78.139999,78.870003,78.010002,78.480003,534400,78.480003,0.435121582226
2015-05-21,78.57,78.93,77.839996,78.830002,816800,78.830002,0.330917653048
2015-05-22,78.760002,79.349998,78.440002,78.809998,626800,78.809998,0.0634789216994
2015-05-26,78.440002,78.75,77.010002,77.279999,1048800,77.279999,-1.47884111477
2015-05-27,77.309998,78.620003,77.120003,78.480003,919900,78.480003,1.51339416669
2015-05-28,78.32,78.599998,77.699997,77.779999,917200,77.779999,-0.689480337079
2015-05-29,77.589996,78.099998,76.849998,77.269997,1815500,77.269997,-0.412423013915
2015-06-01,77.559998,77.669998,76.260002,76.739998,1395200,76.739998,-1.05724603036
2015-06-02,76.489998,78.0,76.32,77.510002,1299000,77.510002,1.33351291237
2015-06-03,77.870003,78.230003,77.379997,77.830002,549900,77.830002,-0.051368946268
2015-06-04,77.169998,77.779999,76.769997,77.029999,766800,77.029999,-0.181416358207
2015-06-05,76.900002,78.199997,76.32,77.900002,1797000,77.900002,1.30039008321
2015-06-08,78.220001,79.139999,78.0,78.239998,1634600,78.239998,0.0255650725446
2015-06-09,78.379997,78.470001,77.129997,77.370003,1067800,77.370003,-1.2885864234
2015-06-10,77.910004,78.5,77.5,78.410004,1739700,78.410004,0.641766107469
2015-06-11,78.82,78.970001,78.110001,78.550003,897800,78.550003,-0.342548845471
2015-06-12,78.279999,78.550003,77.739998,78.190002,894600,78.190002,-0.114968064831
2015-06-15,77.839996,78.970001,77.370003,78.650002,1722400,78.650002,1.04060385615
2015-06-16,78.709999,79.199997,78.110001,78.510002,1557800,78.510002,-0.254093511042
2015-06-17,78.739998,79.330002,78.029999,78.260002,1707100,78.260002,-0.609596154676
2015-06-18,78.209999,78.769997,78.019997,78.489998,3580200,78.489998,0.358009210561
2015-06-19,79.400002,81.489998,78.550003,79.300003,4648300,79.300003,-0.125943321765
2015-06-22,79.779999,80.389999,78.940002,79.470001,1837200,79.470001,-0.388566061526
2015-06-23,79.779999,79.779999,78.769997,79.620003,1256200,79.620003,-0.200546505397
2015-06-24,79.459999,79.910004,78.410004,78.519997,1058600,78.519997,-1.18298768164
2015-06-25,79.040001,79.68,78.779999,79.120003,1427400,79.120003,0.101217103983
2015-06-26,79.300003,79.300003,77.040001,77.480003,1376800,77.480003,-2.29508188039
2015-06-29,76.699997,76.720001,75.400002,75.449997,1086700,75.449997,-1.62972626974
2015-06-30,76.029999,76.459999,75.449997,75.93,1213600,75.93,-0.131525715264
2015-07-01,76.650002,77.57,76.5,77.519997,1805400,77.519997,1.13502280143
2015-07-02,77.160004,77.75,76.510002,76.879997,1003500,76.879997,-0.362891375693
2015-07-06,76.32,77.220001,75.809998,76.620003,1314300,76.620003,0.393085691824
2015-07-07,76.779999,76.900002,75.580002,76.860001,1196500,76.860001,0.104196406671
2015-07-08,76.529999,76.989998,75.93,75.989998,867500,75.989998,-0.705606960742
2015-07-09,77.040001,77.839996,76.980003,77.260002,977300,77.260002,0.285567234092
2015-07-10,78.139999,78.82,77.790001,78.540001,1094700,78.540001,0.51190428093
2015-07-13,79.0,79.720001,78.839996,79.559998,967600,79.559998,0.708858227848
2015-07-14,79.760002,81.010002,79.68,80.690002,1118700,80.690002,1.16599796474
2015-07-15,80.690002,80.739998,80.010002,80.099998,1068200,80.099998,-0.731198395558
2015-07-16,80.620003,80.980003,80.25,80.589996,660800,80.589996,-0.0372202913463
2015-07-17,80.540001,80.589996,79.0,79.059998,1373000,79.059998,-1.83759992752
2015-07-20,79.300003,79.620003,78.669998,79.190002,1170500,79.190002,-0.138715001057
2015-07-21,78.800003,79.709999,78.239998,78.290001,1118500,78.290001,-0.647210635258
2015-07-22,78.050003,79.5,77.959999,79.410004,920000,79.410004,1.74247398812
2015-07-23,79.709999,80.470001,79.269997,79.339996,535700,79.339996,-0.464186431617
2015-07-24,79.230003,79.870003,78.43,78.959999,683600,78.959999,-0.340785043262
2015-07-27,78.410004,78.839996,77.010002,77.160004,970700,77.160004,-1.59418433393
2015-07-28,77.5,78.82,76.599998,78.730003,1293100,78.730003,1.58710064516
2015-07-29,78.459999,79.360001,78.199997,79.269997,802700,79.269997,1.03237064788
2015-07-30,79.040001,79.650002,78.07,79.449997,625500,79.449997,0.518719629065
2015-07-31,79.660004,79.900002,78.980003,79.080002,1033000,79.080002,-0.728096875315
2015-08-03,78.970001,79.110001,77.760002,78.290001,1041000,78.290001,-0.861086477636
2015-08-04,78.129997,79.43,78.07,79.040001,643300,79.040001,1.16473062197
2015-08-05,79.690002,80.760002,79.690002,80.139999,763400,80.139999,0.564684387886
2015-08-06,80.150002,80.769997,77.489998,77.639999,982600,77.639999,-3.13163186197
2015-08-07,77.550003,77.919998,76.830002,77.589996,648500,77.589996,0.0515705976182
2015-08-10,78.32,79.519997,78.239998,79.160004,752800,79.160004,1.07252808989
2015-08-11,78.260002,78.650002,76.68,77.410004,999500,77.410004,-1.08612059581
2015-08-12,76.690002,77.290001,74.82,77.050003,1465700,77.050003,0.469423641429
2015-08-13,77.220001,77.650002,76.610001,76.970001,937000,76.970001,-0.323750319558
2015-08-14,76.860001,78.470001,76.760002,78.32,630300,78.32,1.89955631148
2015-08-17,77.800003,79.0,77.57,78.779999,519800,78.779999,1.25963491287
2015-08-18,78.900002,79.589996,78.529999,78.660004,700700,78.660004,-0.304179966941
2015-08-19,78.379997,78.449997,77.160004,77.510002,759500,77.510002,-1.10997069826
2015-08-20,76.989998,77.059998,75.129997,75.129997,1356100,75.129997,-2.41589953022
2015-08-21,74.559998,75.129997,72.330002,72.330002,1444800,72.330002,-2.99087454375
2015-08-24,67.010002,70.440002,67.010002,69.029999,2421500,69.029999,3.01447088451
2015-08-25,71.269997,71.709999,68.900002,68.959999,1876200,68.959999,-3.24119278411
2015-08-26,70.839996,73.139999,69.769997,73.050003,2209200,73.050003,3.11971643815
2015-08-27,73.830002,74.370003,72.82,74.199997,1934600,74.199997,0.501144507622
2015-08-28,73.769997,74.059998,72.989998,73.860001,969100,73.860001,0.122006240559
2015-08-31,73.120003,73.470001,71.919998,72.209999,1720800,72.209999,-1.24453495988
2015-09-01,70.769997,71.690002,69.650002,70.040001,2045400,70.040001,-1.03150491867
2015-09-02,70.870003,71.040001,68.459999,70.269997,2079800,70.269997,-0.846629003247
