Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,90.949997,92.43,90.650002,92.120003,2618300,91.021259,1.28642774996
2015-03-10,92.760002,92.989998,90.139999,91.199997,5344400,90.112227,-1.68176473304
2015-03-11,92.129997,93.349998,91.830002,92.199997,40723100,91.100299,0.075979596526
2015-03-12,92.260002,93.160004,91.68,92.860001,3998000,91.752431,0.650334908946
2015-03-13,92.589996,93.480003,92.139999,92.919998,3659200,91.811713,0.356412154937
2015-03-16,93.230003,96.860001,93.230003,96.779999,4697600,95.625674,3.80778277997
2015-03-17,96.510002,97.449997,95.139999,97.309998,3404100,96.149351,0.82892548277
2015-03-18,96.830002,97.699997,95.349998,97.120003,3710800,95.961623,0.299494985036
2015-03-19,97.449997,99.779999,97.25,99.57,4131600,98.382398,2.17547774783
2015-03-20,100.139999,102.199997,99.75,102.050003,4122700,100.832821,1.90733375182
2015-03-23,102.25,102.769997,101.68,101.760002,3600400,100.546279,-0.479215647922
2015-03-24,101.940002,102.709999,100.360001,101.459999,3644500,100.249855,-0.470868148502
2015-03-25,101.239998,101.459999,94.019997,95.57,10500000,94.430107,-5.60055127619
2015-03-26,91.970001,93.470001,88.25,93.040001,13850700,91.930284,1.16342284263
2015-03-27,93.589996,99.529999,93.550003,98.830002,9735700,97.651226,5.5988954204
2015-03-30,100.089996,101.099998,99.110001,100.129997,4715400,98.935716,0.0399650330688
2015-03-31,99.57,100.589996,98.019997,98.290001,3861100,97.117666,-1.28552676509
2015-04-01,97.980003,98.300003,94.769997,96.839996,4613300,95.684956,-1.16350986435
2015-04-02,97.110001,97.639999,96.010002,96.510002,3025700,95.358898,-0.61785500342
2015-04-06,94.139999,96.120003,93.610001,95.470001,3263800,94.331301,1.41279160201
2015-04-07,95.529999,97.699997,95.25,96.779999,3088000,95.625674,1.30848949344
2015-04-08,96.650002,97.699997,96.080002,97.470001,2974700,96.307447,0.848421089531
2015-04-09,97.239998,99.940002,97.059998,99.839996,3253100,98.649174,2.67379478967
2015-04-10,99.870003,100.43,98.800003,99.639999,2128000,98.451563,-0.230303387495
2015-04-13,99.5,100.57,98.389999,98.580002,2450000,97.404208,-0.924621105528
2015-04-14,98.239998,98.470001,94.57,95.639999,4966500,94.499272,-2.64657884052
