Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,57.759998,58.630001,57.610001,58.419998,4034000,56.863522,1.14265931934
2015-03-10,57.849998,58.169998,57.07,57.099998,5721900,55.578691,-1.29645639746
2015-03-11,57.43,57.77,57.119999,57.169998,3151500,55.646826,-0.452728539091
2015-03-12,56.5,57.34,56.349998,57.220001,3707900,55.695497,1.2743380531
2015-03-13,57.389999,57.5,56.610001,57.119999,4805400,55.598159,-0.470465246044
2015-03-16,57.490002,58.439999,57.380001,58.330002,5162700,56.775924,1.46112362285
2015-03-17,58.189999,58.23,57.48,57.970001,3261200,56.425515,-0.378068403129
2015-03-18,58.169998,58.689999,56.93,58.299999,6239000,56.746721,0.223484621746
2015-03-19,58.349998,58.73,58.09,58.529999,3411400,56.970592,0.308485014858
2015-03-20,58.900002,59.529999,58.73,59.279999,9150800,57.70061,0.645156175037
2015-03-23,59.18,59.259998,58.630001,58.66,3807300,57.09713,-0.878675228118
2015-03-24,58.790001,59.02,58.41,58.439999,3665700,56.88299,-0.595342735238
2015-03-25,58.41,58.599998,55.73,55.73,11204000,54.245193,-4.58825543571
2015-03-26,55.09,56.25,54.619999,55.799999,6830800,54.313328,1.28879833001
2015-03-27,55.77,57.18,55.560001,56.759998,5144300,55.24775,1.77514434284
2015-03-30,57.099998,58.119999,56.84,58.0,5336100,56.454714,1.57618569444
2015-03-31,57.740002,57.91,57.080002,57.189999,4905300,55.666294,-0.952551058104
2015-04-01,57.049999,57.23,56.23,56.540001,5322900,55.033614,-0.893949183067
2015-04-02,56.68,57.200001,56.419998,56.720001,3545900,55.208818,0.0705733944954
2015-04-06,56.189999,57.150002,55.860001,56.810001,3120500,55.296421,1.10340276034
2015-04-07,56.689999,57.43,56.57,56.939999,3259600,55.422954,0.440994892238
2015-04-08,56.799999,57.290001,56.560001,56.970001,4142200,55.452158,0.299299301044
2015-04-09,56.720001,57.84,56.529999,57.779999,4362200,56.240574,1.86882577805
2015-04-10,57.830002,57.849998,57.540001,57.700001,3410800,56.162708,-0.224798539692
2015-04-13,57.82,57.990002,57.189999,57.209999,3004400,55.685761,-1.055
2015-04-14,57.150002,57.41,56.580002,56.75,3875100,55.238018,-0.699915986005
2015-04-15,57.110001,58.689999,56.990002,58.5,6654600,56.941393,2.43389769858
2015-04-16,58.139999,58.580002,58.080002,58.41,4058800,56.85379,0.464398012804
2015-04-17,57.84,58.200001,57.200001,57.330002,5231200,55.802567,-0.881739280775
2015-04-20,57.599998,58.529999,57.599998,58.169998,3220400,56.620183,0.989583367694
2015-04-21,58.869999,58.869999,58.029999,58.16,2853700,56.610451,-1.20604554452
2015-04-22,58.540001,58.860001,57.970001,58.73,4473500,57.165264,0.324562686632
2015-04-23,54.299999,54.93,53.93,54.720001,22987500,53.262104,0.773484360469
2015-04-24,54.68,54.830002,54.130001,54.73,10533600,53.271836,0.0914411119239
2015-04-27,55.32,56.299999,55.09,55.560001,8397300,54.079724,0.433841287057
2015-04-28,55.310001,55.52,54.639999,55.09,6729300,53.952406,-0.397759891561
2015-04-29,54.669998,55.32,54.369999,55.02,5276300,53.883852,0.640208547291
2015-04-30,54.91,55.150002,53.919998,54.209999,6756900,53.090577,-1.27481515207
2015-05-01,54.709999,55.43,54.419998,55.310001,5726700,54.167865,1.09669532255
2015-05-04,55.299999,55.610001,55.009998,55.299999,4060500,54.158069,0.0
2015-05-05,54.970001,55.029999,53.849998,54.009998,7970100,52.894706,-1.74641255691
2015-05-06,54.130001,54.549999,53.34,53.700001,7737300,52.59111,-0.794383875958
2015-05-07,53.970001,54.400002,53.82,54.060001,5846600,52.943677,0.166759307638
2015-05-08,54.5,55.169998,54.34,54.700001,4814600,53.57046,0.366974311927
2015-05-11,54.619999,54.75,54.310001,54.439999,4204100,53.315827,-0.329549621559
2015-05-12,54.200001,54.59,53.75,54.169998,4315500,53.051402,-0.0553560875396
2015-05-13,54.16,54.959999,54.130001,54.689999,4332600,53.560665,0.978580132939
2015-05-14,55.119999,55.860001,55.0,55.610001,4109300,54.461669,0.88897316562
2015-05-15,55.900002,56.0,55.27,55.610001,4165300,54.461669,-0.518785312387
2015-05-18,55.509998,55.900002,55.279999,55.790001,3861300,54.637952,0.504419041773
2015-05-19,55.889999,56.130001,55.57,55.779999,4848500,54.628157,-0.196815176182
2015-05-20,55.810001,56.27,55.560001,55.630001,4179300,54.481257,-0.322522839589
2015-05-21,55.509998,56.0,55.259998,55.5,4260800,54.35394,-0.0180111698076
2015-05-22,55.23,55.599998,55.23,55.369999,5419700,54.226623,0.253483613978
2015-05-26,55.25,55.25,54.200001,54.560001,5312000,53.433352,-1.24886696833
2015-05-27,54.709999,56.23,54.59,55.970001,7278200,54.814236,2.30305615615
2015-05-28,55.959999,56.400002,55.720001,55.91,6851200,54.755473,-0.0893477499883
2015-05-29,56.02,56.34,55.57,55.919998,5928700,54.765265,-0.178511245984
2015-06-01,55.700001,56.34,55.419998,55.709999,4576000,54.559603,0.0179497303779
2015-06-02,55.419998,55.599998,54.880001,55.25,4630100,54.109102,-0.306744868522
2015-06-03,55.459999,55.580002,54.82,54.889999,3659000,53.756536,-1.02776777908
2015-06-04,54.66,54.880001,53.830002,53.98,6640700,52.865327,-1.24405415295
2015-06-05,53.98,54.259998,53.580002,53.790001,3650400,52.679252,-0.351980363097
2015-06-08,53.669998,53.720001,52.709999,52.82,4795400,51.729281,-1.58374889449
2015-06-09,52.84,53.290001,52.439999,52.919998,4414300,51.827214,0.15139666919
2015-06-10,53.139999,54.389999,52.919998,54.189999,6930600,53.07099,1.97591272066
2015-06-11,54.169998,54.259998,53.57,53.639999,4711200,52.532348,-0.978399519232
2015-06-12,53.349998,53.509998,52.990002,53.009998,4174100,51.915356,-0.637300867378
2015-06-15,52.450001,53.110001,52.32,53.049999,4895300,51.954531,1.14394278086
2015-06-16,52.91,53.200001,52.66,53.09,2702200,51.993706,0.3402003402
2015-06-17,53.310001,53.529999,52.869999,53.290001,3465700,52.189577,-0.0375164127271
2015-06-18,53.48,54.369999,53.34,54.220001,5911000,53.100373,1.38369670905
2015-06-19,54.25,54.59,53.540001,54.509998,9948600,53.384382,0.479258986175
2015-06-22,54.619999,55.52,54.619999,55.5,9503400,54.35394,1.61113331401
2015-06-23,55.310001,55.599998,54.709999,54.830002,5055800,53.697777,-0.867834010706
2015-06-24,54.650002,54.810001,53.93,53.990002,4203500,52.875123,-1.2076852257
2015-06-25,54.23,54.419998,53.740002,53.799999,3759600,52.689044,-0.792920892495
2015-06-26,53.389999,53.75,52.43,52.900002,7860300,51.807631,-0.917769262367
2015-06-29,52.560001,52.66,51.470001,51.52,6566400,50.456126,-1.97869288473
2015-06-30,51.98,51.990002,51.299999,51.509998,5260600,50.446331,-0.904197768372
