Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,96.739998,97.910004,95.849998,96.050003,1184100,93.01752,-0.713246861965
2015-05-12,95.480003,96.370003,94.889999,95.959999,1537000,92.930357,0.502718878214
2015-05-13,96.400002,97.209999,95.800003,95.959999,1406800,92.930357,-0.456434637833
2015-05-14,96.949997,98.449997,96.330002,98.410004,1297200,95.30301,1.50593815903
2015-05-15,98.620003,98.650002,97.32,97.669998,2179000,94.586368,-0.963298490267
2015-05-18,97.209999,98.400002,97.169998,97.870003,1102000,94.780058,0.678946617415
2015-05-19,97.779999,97.839996,94.790001,95.589996,2700400,92.572036,-2.23972491552
2015-05-20,95.779999,96.110001,94.709999,94.830002,1380800,91.836036,-0.991853215618
2015-05-21,95.099998,95.669998,94.379997,95.25,978000,92.242774,0.157730812991
2015-05-22,95.059998,95.790001,95.0,95.230003,886200,92.223409,0.178839683965
2015-05-26,95.239998,96.0,92.510002,93.199997,1977500,90.257494,-2.14195825582
2015-05-27,93.699997,94.660004,93.139999,94.370003,1344700,91.39056,0.715054451923
2015-05-28,97.57,99.760002,97.480003,99.230003,3934200,96.097121,1.70134570052
2015-05-29,98.870003,98.940002,96.629997,97.360001,2975800,94.286158,-1.52725999209
2015-06-01,97.599998,97.849998,96.389999,97.129997,1431500,94.063416,-0.481558411507
2015-06-02,96.989998,97.300003,96.519997,96.949997,1027000,93.889099,-0.0412423969738
2015-06-03,97.690002,98.190002,96.849998,98.139999,1424400,95.041531,0.460637722169
2015-06-04,97.300003,97.940002,94.610001,95.400002,1847200,92.38804,-1.952724503
2015-06-05,95.400002,95.580002,94.269997,94.870003,1050600,91.874774,-0.555554495691
2015-06-08,94.650002,95.290001,92.379997,92.599998,1755600,89.676438,-2.16587845397
2015-06-09,92.550003,92.849998,91.410004,92.040001,1567300,89.134121,-0.551055627735
2015-06-10,93.019997,94.089996,92.110001,93.599998,1825900,90.644866,0.623522918411
2015-06-11,93.550003,94.860001,93.550003,94.459999,1295200,91.477715,0.972737542296
2015-06-12,93.529999,93.889999,92.129997,93.010002,1508000,90.073497,-0.555968144509
2015-06-15,92.230003,92.379997,91.330002,91.75,1297000,88.853276,-0.520441271156
2015-06-16,91.480003,92.25,90.989998,91.050003,1412300,88.175379,-0.47004808253
2015-06-17,91.470001,93.379997,91.260002,92.019997,1774600,89.114748,0.601285660858
2015-06-18,92.110001,92.82,91.099998,92.419998,1864000,89.502121,0.336550859445
2015-06-19,92.339996,92.489998,90.900002,91.019997,2590500,88.14632,-1.42949865408
2015-06-22,91.709999,91.910004,90.68,91.599998,1113100,88.70801,-0.119944391233
2015-06-23,91.089996,91.330002,88.529999,88.620003,2944300,85.822099,-2.71159634259
2015-06-24,88.540001,88.809998,87.440002,87.730003,1932400,84.960198,-0.914838480745
2015-06-25,88.150002,88.150002,85.550003,85.949997,2628800,83.23639,-2.49575150322
2015-06-26,84.949997,85.839996,83.870003,84.449997,2916000,81.783748,-0.588581539326
2015-06-29,83.309998,83.480003,81.440002,81.959999,3374500,79.372364,-1.62045256561
2015-06-30,81.800003,82.379997,78.330002,78.419998,4307600,76.410271,-4.13203530078
2015-07-01,79.150002,79.449997,78.269997,79.440002,3700700,77.404135,0.366392915568
2015-07-02,80.0,81.949997,79.769997,80.870003,3300700,78.797488,1.08750375
2015-07-06,79.82,80.0,78.349998,79.82,3386900,77.774394,0.0
2015-07-07,79.839996,80.129997,77.260002,79.82,3355300,77.774394,-0.0250450914351
2015-07-08,79.309998,79.730003,78.190002,78.309998,2328600,76.30309,-1.26087507908
2015-07-09,79.730003,79.739998,77.339996,77.349998,2106600,75.367693,-2.98508078571
2015-07-10,78.43,78.68,76.550003,77.099998,1960600,75.1241,-1.69578222619
2015-07-13,76.400002,78.0,75.919998,77.709999,3047100,75.718468,1.71465571428
2015-07-14,77.949997,78.730003,77.339996,78.360001,3203000,76.351811,0.525983342886
2015-07-15,79.040001,79.389999,77.800003,78.690002,3341300,76.673356,-0.442812494398
2015-07-16,78.959999,79.599998,78.25,78.889999,2698700,76.868228,-0.0886524833922
2015-07-17,78.339996,79.169998,77.93,78.93,2242700,76.907203,0.753132537816
2015-07-20,78.870003,78.970001,77.650002,78.379997,1640800,76.371296,-0.621283100496
2015-07-21,77.75,79.330002,77.75,78.690002,1695700,76.673356,1.20900578778
2015-07-22,78.690002,78.760002,77.110001,78.519997,2400100,76.507707,-0.216043964518
2015-07-23,77.080002,78.889999,76.519997,77.900002,3644600,75.903601,1.06382975963
2015-07-24,78.32,78.379997,76.830002,77.260002,1686200,75.280003,-1.35341930541
2015-07-27,76.769997,77.139999,76.0,76.489998,1956400,74.529733,-0.364724516011
2015-07-28,76.82,78.25,76.07,77.739998,3055800,75.747698,1.19760218693
2015-07-29,77.18,79.199997,77.010002,78.75,4279300,76.731816,2.03420575279
2015-07-30,85.440002,88.459999,85.019997,86.440002,7635100,84.224741,1.17041195762
2015-07-31,86.400002,86.419998,85.139999,86.059998,3931000,83.854475,-0.393523139039
2015-08-03,86.199997,86.800003,85.010002,85.849998,2397100,83.649858,-0.406031336637
2015-08-04,84.959999,86.080002,83.739998,84.389999,2759000,82.227275,-0.670903962699
2015-08-05,84.199997,85.669998,83.860001,84.690002,2438900,82.51959,0.581953702445
2015-08-06,85.110001,85.519997,83.269997,84.190002,2005400,82.032404,-1.0809528718
2015-08-07,84.489998,84.809998,83.32,83.510002,1743500,81.36983,-1.15989587312
2015-08-10,84.339996,85.099998,83.459999,84.959999,1630800,82.782667,0.735123345275
2015-08-11,84.099998,84.860001,82.309998,83.190002,2503600,81.058031,-1.08204045379
2015-08-12,82.440002,83.43,80.580002,83.160004,2922800,81.028801,0.873364850234
2015-08-13,82.610001,83.230003,81.550003,81.57,1854800,79.479546,-1.25892868589
2015-08-14,81.580002,82.629997,81.410004,82.5,1230000,80.385712,1.12772490493
2015-08-17,82.019997,83.860001,81.419998,83.599998,1619000,81.45752,1.9263607142
2015-08-18,82.769997,83.809998,81.669998,83.309998,1695100,81.174951,0.652411525398
2015-08-19,82.019997,83.18,81.650002,81.709999,2469000,79.615957,-0.377954171347
2015-08-20,80.529999,81.07,79.300003,79.790001,1982700,77.745164,-0.918909734495
2015-08-21,78.870003,81.790001,78.839996,79.440002,3745900,77.404135,0.72270695869
