Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,13.86,13.89,13.62,13.65,10942100,13.46686,-1.51515151515
2015-05-12,13.58,13.66,13.52,13.55,12321100,13.368202,-0.220913107511
2015-05-13,13.59,13.87,13.59,13.63,15322200,13.447129,0.294334069169
2015-05-14,13.76,13.85,13.63,13.64,11151400,13.456995,-0.872093023256
2015-05-15,13.64,13.65,13.51,13.54,9301200,13.358336,-0.733137829912
2015-05-18,13.52,13.53,13.3,13.4,15708700,13.220214,-0.887573964497
2015-05-19,13.34,13.37,13.03,13.08,30820300,12.904508,-1.94902548726
2015-05-20,13.13,13.16,13.02,13.07,16282000,12.894642,-0.4569687738
2015-05-21,13.1,13.11,12.99,13.0,16890100,12.825581,-0.763358778626
2015-05-22,12.99,13.05,12.93,12.94,13121900,12.766386,-0.384911470362
2015-05-26,12.91,12.91,12.66,12.76,22046000,12.588802,-1.16189000775
2015-05-27,12.74,12.85,12.68,12.79,16554200,12.618399,0.392464678179
2015-05-28,12.69,12.73,12.57,12.68,18068000,12.509875,-0.0788022064618
2015-05-29,12.62,12.65,12.44,12.5,22126700,12.33229,-0.95087163233
2015-06-01,12.54,12.55,12.29,12.42,14021300,12.253363,-0.956937799043
2015-06-02,12.42,12.8,12.41,12.62,18985200,12.45068,1.61030595813
2015-06-03,12.63,12.8,12.6,12.61,14758800,12.440813,-0.158353127474
2015-06-04,12.53,12.65,12.47,12.5,14034000,12.33229,-0.23942537909
2015-06-05,12.45,12.49,12.35,12.42,17257800,12.253363,-0.240963855422
2015-06-08,12.4,12.42,12.24,12.25,17656200,12.085644,-1.20967741935
2015-06-09,12.27,12.34,12.15,12.19,15033700,12.026448,-0.651996740016
2015-06-10,12.28,12.32,12.14,12.17,16315600,12.006717,-0.895765472313
2015-06-11,12.17,12.19,12.03,12.09,15411500,11.927791,-0.657354149548
2015-06-12,12.07,12.16,12.02,12.06,14542300,11.898193,-0.082850041425
2015-06-15,11.97,12.11,11.92,12.0,12755200,11.838998,0.250626566416
2015-06-16,11.97,12.05,11.92,12.02,12010800,11.85873,0.417710944027
2015-06-17,12.03,12.04,11.85,11.96,14743000,11.799535,-0.581878636741
2015-06-18,12.0,12.07,11.87,11.92,13423800,11.760072,-0.666666666667
2015-06-19,11.9,12.0,11.86,11.93,19106600,11.769938,0.252100840336
2015-06-22,11.9,11.9,11.69,11.76,24095500,11.602218,-1.17647058824
2015-06-23,11.79,11.83,11.71,11.74,16465700,11.582486,-0.424088210348
2015-06-24,11.71,11.85,11.69,11.74,18029900,11.582486,0.256191289496
2015-06-25,11.76,11.77,11.55,11.57,15529600,11.414767,-1.6156462585
2015-06-26,11.58,11.76,11.56,11.69,16253300,11.533157,0.949913644214
2015-06-29,11.48,11.61,11.34,11.35,19926700,11.197719,-1.13240418118
2015-06-30,11.45,11.5,11.15,11.15,22622900,11.000402,-2.62008733624
2015-07-01,11.2,11.23,10.94,11.07,28330900,10.921475,-1.16071428571
2015-07-02,11.09,11.23,11.04,11.1,14451000,10.951074,0.0901713255185
2015-07-06,10.95,11.13,10.92,11.03,18040300,10.882012,0.730593607306
2015-07-07,10.96,11.11,10.58,11.06,31468600,10.91161,0.912408759124
2015-07-08,10.95,11.0,10.39,10.5,45976600,10.359123,-4.1095890411
2015-07-09,10.74,10.97,10.57,10.59,40237700,10.447916,-1.39664804469
2015-07-10,10.77,10.87,10.61,10.63,23818300,10.487379,-1.29990714949
2015-07-13,10.77,10.84,10.69,10.82,19075700,10.67483,0.464252553389
2015-07-14,10.77,10.86,10.65,10.77,17365100,10.625501,0.0
2015-07-15,10.77,10.79,10.52,10.57,19278600,10.428184,-1.85701021356
2015-07-16,10.65,10.65,10.43,10.51,16344600,10.368989,-1.31455399061
2015-07-17,10.49,10.55,10.36,10.49,16003600,10.349257,0.0
2015-07-20,10.45,10.47,10.18,10.2,22766800,10.063148,-2.39234449761
2015-07-21,10.2,10.44,10.16,10.23,24257300,10.092745,0.294117647059
2015-07-22,10.16,10.16,9.96,9.99,40629000,9.855966,-1.67322834646
2015-07-23,10.09,10.19,9.9,9.96,21993800,9.826368,-1.28840436075
2015-07-24,9.91,9.91,9.65,9.81,27614400,9.678381,-1.00908173562
2015-07-27,9.71,9.99,9.59,9.62,27877700,9.49093,-0.926879505664
2015-07-28,9.75,9.93,9.61,9.87,27138600,9.737576,1.23076923077
2015-07-29,9.92,10.22,9.89,10.16,31605600,10.023685,2.41935483871
2015-07-30,10.19,10.25,9.88,9.98,19834700,9.8461,-2.06084396467
2015-07-31,10.09,10.14,9.86,9.87,18334500,9.737576,-2.18037661051
2015-08-03,9.82,9.82,9.58,9.64,21546200,9.510662,-1.83299389002
2015-08-04,9.94,10.07,9.68,9.73,24551600,9.599454,-2.11267605634
2015-08-05,9.91,10.15,9.75,9.76,24967600,9.658832,-1.51362260343
2015-08-06,9.76,9.96,9.64,9.91,22662000,9.807277,1.5368852459
2015-08-07,9.82,10.06,9.36,9.41,33244900,9.31246,-4.17515274949
2015-08-10,9.53,10.09,9.41,10.08,27951600,9.975515,5.77124868835
2015-08-11,9.7,9.74,9.42,9.48,39791600,9.381734,-2.26804123711
2015-08-12,9.39,9.56,9.28,9.51,28685600,9.411424,1.27795527157
2015-08-13,9.52,9.52,9.3,9.31,14475800,9.213497,-2.20588235294
2015-08-14,9.32,9.43,9.28,9.41,13248100,9.31246,0.965665236052
2015-08-17,9.31,9.49,9.26,9.43,10932100,9.332253,1.28893662728
2015-08-18,9.3,9.36,9.24,9.27,16228000,9.173912,-0.322580645161
2015-08-19,9.18,9.29,9.1,9.11,18602800,9.01557,-0.762527233115
2015-08-20,9.19,9.22,8.98,9.03,17703300,8.936399,-1.74102285092
2015-08-21,8.97,8.98,8.73,8.73,25195100,8.639508,-2.67558528428
2015-08-24,8.2,8.54,7.97,8.2,41143100,8.115002,0.0
2015-08-25,8.63,8.66,8.11,8.11,26304900,8.025935,-6.02549246813
2015-08-26,8.26,8.29,8.02,8.26,27813900,8.174381,0.0
2015-08-27,8.4,8.92,8.38,8.86,27421600,8.768161,5.47619047619
2015-08-28,8.88,9.42,8.8,9.41,42079000,9.31246,5.96846846847
2015-08-31,9.27,9.53,9.22,9.45,30466400,9.352045,1.94174757282
2015-09-01,9.15,9.32,9.07,9.22,32623900,9.12443,0.765027322404
2015-09-02,9.39,9.39,9.01,9.32,40482700,9.223393,-0.745473908413
2015-09-03,9.4,9.75,9.35,9.57,28212600,9.470801,1.8085106383
2015-09-04,9.39,9.64,9.3,9.49,48097800,9.391631,1.0649627263
2015-09-08,9.87,9.87,9.6,9.72,18041200,9.619247,-1.51975683891
2015-09-09,9.92,9.94,9.53,9.57,29463100,9.470801,-3.52822580645
2015-09-10,9.56,9.72,9.51,9.63,29546600,9.53018,0.732217573222
2015-09-11,9.6,9.75,9.54,9.65,19595500,9.549972,0.520833333333
2015-09-14,9.58,9.61,9.32,9.38,31266100,9.282771,-2.08768267223
2015-09-15,9.39,9.71,9.37,9.63,17947800,9.53018,2.55591054313
2015-09-16,9.7,9.88,9.7,9.86,19895300,9.757795,1.64948453608
2015-09-17,9.81,10.16,9.75,9.95,24518200,9.846863,1.42711518858
2015-09-18,9.85,10.03,9.76,9.97,29097100,9.866656,1.21827411168
2015-09-21,9.98,10.1,9.9,9.9,17709400,9.797381,-0.801603206413
2015-09-22,9.6,9.63,9.38,9.5,25291700,9.401527,-1.04166666667
2015-09-23,9.58,9.59,9.19,9.2,20939100,9.104637,-3.96659707724
2015-09-24,9.07,9.26,8.86,9.18,25769300,9.084845,1.21278941566
2015-09-25,9.25,9.29,8.96,9.07,19005100,8.975984,-1.94594594595
2015-09-28,9.46,9.64,9.2,9.59,95703500,9.490595,1.37420718816
2015-09-29,9.62,9.77,9.36,9.45,39300500,9.352045,-1.76715176715
2015-09-30,9.61,9.71,9.43,9.66,41955500,9.559869,0.520291363163
2015-10-01,9.71,9.85,9.19,9.26,36865000,9.164015,-4.63439752832
2015-10-02,9.15,9.52,9.1,9.52,28139600,9.42132,4.04371584699
2015-10-05,9.61,10.45,9.6,10.41,48445400,10.302095,8.32466181061
2015-10-06,10.43,11.03,10.41,10.98,57268300,10.866186,5.27325023969
2015-10-07,11.15,11.18,10.66,10.94,41579500,10.826601,-1.88340807175
2015-10-08,10.85,11.11,10.63,11.01,36373200,10.895876,1.47465437788
2015-10-09,10.67,10.92,10.25,10.26,78717500,10.15365,-3.84254920337
2015-10-12,10.28,10.29,9.97,10.08,31444100,9.975515,-1.94552529183
2015-10-13,9.96,10.22,9.86,10.03,36236700,9.926033,0.70281124498
2015-10-14,10.09,10.11,9.91,9.95,42258600,9.846863,-1.3875123885
2015-10-15,9.93,10.0,9.63,9.7,49802300,9.599454,-2.31621349446
2015-10-16,9.78,9.79,9.43,9.55,27304000,9.451009,-2.35173824131
2015-10-19,9.43,9.57,9.36,9.42,23063000,9.322357,-0.106044538706
2015-10-20,9.36,9.46,9.31,9.41,25704200,9.31246,0.534188034188
2015-10-21,9.39,9.43,9.11,9.11,20398400,9.01557,-2.98189563365
2015-10-22,9.16,9.49,9.05,9.09,34028500,8.995777,-0.764192139738
2015-10-23,9.16,9.28,9.06,9.14,20297300,9.045259,-0.218340611354
2015-10-26,9.13,9.19,8.71,8.77,25980500,8.679095,-3.9430449069
2015-10-27,8.79,8.94,8.62,8.73,26942500,8.639508,-0.682593856655
2015-10-28,8.75,9.13,8.71,8.99,33242700,8.896814,2.74285714286
2015-10-29,8.9,9.01,8.82,8.95,29431800,8.857228,0.561797752809
2015-10-30,8.97,9.06,8.87,8.93,34944600,8.837436,-0.445930880713
2015-11-02,8.95,9.24,8.93,9.17,29981800,9.074948,2.45810055866
2015-11-03,9.2,9.58,9.19,9.38,25614000,9.282771,1.95652173913
2015-11-04,9.45,9.51,9.27,9.38,22174500,9.312556,-0.740740740741
2015-11-05,9.27,9.32,9.06,9.2,22526500,9.13385,-0.755124056095
