Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,49.0,49.130001,48.650002,48.93,1600600,47.248982,-0.142857142857
2015-05-12,48.889999,48.959999,48.32,48.330002,1890600,46.669597,-1.14542240019
2015-05-13,48.52,49.07,48.450001,48.759998,1448700,47.08482,0.494637262984
2015-05-14,49.23,49.650002,49.049999,49.599998,2588300,47.895962,0.751570180784
2015-05-15,49.639999,49.779999,49.25,49.32,1237500,47.625582,-0.644639416693
2015-05-18,49.099998,49.330002,48.799999,49.049999,1177900,47.364858,-0.101830961378
2015-05-19,48.799999,48.93,47.740002,47.950001,1955800,46.302651,-1.74179921602
2015-05-20,47.810001,48.279999,47.700001,48.060001,1278200,46.408872,0.522903147398
2015-05-21,48.139999,48.209999,47.52,47.77,1355600,46.128834,-0.768589546502
2015-05-22,47.720001,48.34,47.200001,48.099998,1752100,46.447495,0.796305515585
2015-05-26,47.880001,47.950001,47.009998,47.189999,1337400,45.568759,-1.4411069039
2015-05-27,47.150002,47.900002,47.07,47.810001,1337600,46.167461,1.39978573066
2015-05-28,47.48,47.630001,47.209999,47.580002,961000,45.945363,0.210619208088
2015-05-29,47.470001,47.740002,47.290001,47.299999,1451600,45.67498,-0.358125124118
2015-06-01,47.580002,48.0,47.0,47.59,1721400,45.955018,0.0210130298019
2015-06-02,47.75,49.59,47.619999,49.41,3087700,47.712491,3.47643979058
2015-06-03,49.349998,50.700001,49.27,49.77,3568000,48.060123,0.851067916963
2015-06-04,49.34,49.799999,48.779999,49.060001,1668100,47.374517,-0.567488852858
2015-06-05,49.080002,49.25,48.669998,48.919998,1155000,47.239323,-0.326006506683
2015-06-08,48.869999,49.16,48.400002,48.52,1590900,46.853068,-0.716183767468
2015-06-09,48.59,48.830002,48.290001,48.310001,1335900,46.650283,-0.576248199218
2015-06-10,48.869999,49.119999,48.669998,48.900002,1252600,47.220014,0.0613934941967
2015-06-11,48.73,49.200001,48.59,48.900002,1159300,47.220014,0.348865175457
2015-06-12,48.709999,48.790001,48.009998,48.59,1159700,46.920662,-0.246353936488
2015-06-15,48.119999,48.119999,47.419998,47.5,1420000,45.86811,-1.28844350142
2015-06-16,47.330002,48.169998,47.200001,48.09,1174100,46.43784,1.60574259008
2015-06-17,48.240002,48.380001,47.5,48.119999,860900,46.466808,-0.248762427497
2015-06-18,47.169998,48.060001,47.139999,47.84,2501600,46.196429,1.42039861863
2015-06-19,47.599998,47.93,47.330002,47.5,2100800,45.86811,-0.21007984076
2015-06-22,47.5,48.0,47.02,47.169998,1820100,45.549445,-0.694741052632
2015-06-23,47.32,48.189999,47.060001,48.099998,1547200,46.447495,1.64834742181
2015-06-24,48.029999,48.27,47.380001,47.43,1445800,45.800515,-1.24921718195
2015-06-25,47.5,48.049999,47.259998,47.299999,1435000,45.67498,-0.421054736842
2015-06-26,46.939999,47.389999,46.200001,46.25,2456500,45.016042,-1.46995955411
2015-06-29,45.91,46.32,44.93,45.009998,1996100,43.809124,-1.960361577
2015-06-30,45.41,45.459999,43.91,44.07,2663900,42.894205,-2.95089187404
2015-07-01,44.349998,44.889999,44.200001,44.490002,2210800,43.303001,0.315679833853
2015-07-02,44.490002,44.66,43.669998,44.25,1968100,43.069402,-0.539451537898
2015-07-06,43.599998,44.34,43.310001,43.639999,1721700,42.475677,0.0917454170525
2015-07-07,43.259998,44.25,42.240002,44.110001,3237100,42.933138,1.964870641
2015-07-08,43.779999,43.799999,42.75,42.799999,1922200,41.658088,-2.23846510367
2015-07-09,43.470001,43.689999,42.959999,42.959999,1588500,41.813819,-1.17322748624
2015-07-10,43.459999,43.799999,43.27,43.349998,1264900,42.193413,-0.253108611438
2015-07-13,43.77,44.389999,43.299999,44.150002,1590700,42.972072,0.868179118117
2015-07-14,43.950001,44.310001,43.689999,44.18,1060300,43.00127,0.523319669549
2015-07-15,44.18,44.18,43.220001,43.52,1435100,42.358879,-1.49388863739
2015-07-16,43.939999,43.939999,43.099998,43.259998,1591800,42.105814,-1.54756717223
2015-07-17,43.099998,43.32,42.5,42.689999,1898200,41.551022,-0.951273826045
2015-07-20,42.66,42.700001,42.09,42.18,1876000,41.054631,-1.12517580872
2015-07-21,42.150002,43.259998,42.150002,42.580002,2949000,41.44396,1.02016602514
2015-07-22,42.07,42.48,41.459999,42.18,3162200,41.054631,0.261468980271
2015-07-23,42.540001,43.970001,42.5,43.490002,3993200,42.329681,2.23319458784
2015-07-24,43.450001,43.560001,42.450001,42.639999,3379400,41.502357,-1.86421629772
2015-07-27,42.450001,44.290001,42.25,43.799999,4301200,42.631408,3.18020722779
2015-07-28,44.41,44.830002,44.009998,44.5,3862200,43.312732,0.202657059221
2015-07-29,44.630001,45.509998,44.48,45.439999,3012900,44.227652,1.81491817578
2015-07-30,45.400002,45.759998,44.43,44.849998,2509400,43.653393,-1.2114625017
2015-07-31,45.18,45.32,44.009998,44.139999,3127000,42.962337,-2.30190571049
2015-08-03,44.009998,44.549999,43.549999,44.529999,1796600,43.341931,1.18155197371
2015-08-04,44.759998,45.080002,44.549999,44.990002,1878700,43.789661,0.513860612773
2015-08-05,45.299999,46.16,45.299999,45.490002,2220700,44.276321,0.419432680341
2015-08-06,45.439999,45.98,45.290001,45.700001,2016800,44.480717,0.572187512592
2015-08-07,45.439999,46.080002,44.98,45.139999,2321900,43.935656,-0.660211282135
2015-08-10,45.299999,46.709999,44.919998,46.689999,2237400,45.444301,3.06843273882
2015-08-11,45.610001,45.91,45.09,45.279999,2386600,44.071921,-0.723529911784
2015-08-12,44.889999,44.970001,43.84,44.740002,2084500,43.546331,-0.334143469239
2015-08-13,44.57,45.5,44.369999,45.459999,2025400,44.247119,1.99685663002
2015-08-14,45.48,46.490002,45.360001,46.310001,2140600,45.074443,1.82498021108
2015-08-17,46.060001,47.0,45.830002,46.959999,2082000,45.707098,1.95396869401
2015-08-18,46.700001,46.93,46.299999,46.459999,1252300,45.220438,-0.513922901201
2015-08-19,46.150002,46.470001,45.75,46.049999,1742700,44.821377,-0.216691214878
2015-08-20,46.07,46.130001,44.720001,44.810001,2091800,43.614463,-2.73496635555
2015-08-21,44.5,44.5,43.34,43.34,2745600,42.183682,-2.60674157303
2015-08-24,41.150002,43.279999,40.799999,41.439999,3463200,40.334372,0.704731435979
2015-08-25,42.669998,42.900002,40.509998,40.540001,2862900,39.458387,-4.99179071909
2015-08-26,41.5,41.639999,40.630001,41.580002,3003600,40.47064,0.192775903614
2015-08-27,42.23,43.220001,42.189999,43.130001,3527300,41.979285,2.13118872839
2015-08-28,42.970001,43.619999,42.240002,43.310001,2247100,42.154483,0.791249690685
