Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,24.27,24.450001,24.09,24.16,1766000,24.16,-0.453234445818
2015-05-12,24.02,24.1,23.75,23.790001,1447400,23.790001,-0.95753122398
2015-05-13,25.950001,26.4,25.780001,25.98,7858300,25.98,0.115603078397
2015-05-14,26.16,26.370001,25.549999,25.84,2355900,25.84,-1.22324159021
2015-05-15,25.790001,25.98,25.58,25.639999,1765600,25.639999,-0.581628515641
2015-05-18,25.75,25.9,25.65,25.84,1621500,25.84,0.349514563107
2015-05-19,25.809999,25.889999,25.43,25.52,2054400,25.52,-1.12359167468
2015-05-20,25.559999,25.65,24.83,25.040001,2194500,25.040001,-2.03442104986
2015-05-21,25.02,25.09,24.84,24.99,2101100,24.99,-0.119904076739
2015-05-22,25.02,25.07,24.75,24.77,1270500,24.77,-0.999200639488
2015-05-26,24.629999,24.629999,23.99,24.02,3646800,24.02,-2.47665052686
2015-05-27,24.02,24.219999,23.93,24.139999,2134200,24.139999,0.499579517069
2015-05-28,24.110001,24.16,23.85,24.0,2285000,24.0,-0.456246351877
2015-05-29,23.91,24.059999,23.73,23.9,9575800,23.9,-0.0418235048097
2015-06-01,24.01,24.4,23.85,24.360001,2488500,24.360001,1.45773011245
2015-06-02,24.32,24.65,24.290001,24.450001,1658500,24.450001,0.534543585526
2015-06-03,24.48,24.690001,24.32,24.4,1044100,24.4,-0.326797385621
2015-06-04,24.290001,24.35,24.15,24.25,1219300,24.25,-0.164680931878
2015-06-05,24.0,24.43,23.93,24.32,1177200,24.32,1.33333333333
2015-06-08,24.33,24.379999,24.17,24.23,1371800,24.23,-0.411015207563
2015-06-09,24.309999,24.42,24.120001,24.34,1212200,24.34,0.123410124369
2015-06-10,24.42,24.65,24.26,24.540001,1441700,24.540001,0.491404586405
2015-06-11,24.639999,24.76,24.51,24.66,795300,24.66,0.0811728929047
2015-06-12,24.610001,24.610001,24.26,24.309999,1324300,24.309999,-1.21902473714
2015-06-15,24.25,24.26,23.83,23.9,2190700,23.9,-1.44329896907
2015-06-16,23.85,23.889999,23.74,23.809999,1695700,23.809999,-0.167719077568
2015-06-17,23.9,23.99,23.700001,23.940001,1397900,23.940001,0.167368200837
2015-06-18,24.049999,24.26,23.93,24.09,1122600,24.09,0.16632433124
2015-06-19,23.950001,24.18,23.91,24.120001,2853400,24.120001,0.709812078922
2015-06-22,24.27,24.32,24.059999,24.139999,1376100,24.139999,-0.535644829007
2015-06-23,24.120001,24.309999,24.059999,24.23,783300,24.23,0.456048903149
2015-06-24,24.16,24.25,23.84,23.9,1132700,23.9,-1.0761589404
2015-06-25,23.879999,23.950001,23.700001,23.719999,1341600,23.719999,-0.670016778476
2015-06-26,23.700001,23.73,23.48,23.67,3357500,23.67,-0.126586492549
2015-06-29,23.5,23.5,23.01,23.059999,1873100,23.059999,-1.87234468085
2015-06-30,23.23,23.309999,22.870001,22.940001,2550300,22.940001,-1.24838140336
