Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,287.0,288.769989,285.950012,286.950012,539800,283.937221,-0.0174174216028
2015-05-12,286.140015,289.839996,284.540009,288.709991,735200,285.678722,0.898153304423
2015-05-13,287.910004,289.549988,285.040009,287.929993,758600,285.569622,0.00694279452687
2015-05-14,288.959991,291.73999,288.170013,291.299988,478500,288.911991,0.809799651468
2015-05-15,291.75,292.230011,289.700012,291.220001,662900,288.83266,-0.181662039417
2015-05-18,290.839996,291.98999,289.480011,291.049988,373300,288.66404,0.0722018989438
2015-05-19,291.73999,294.350006,291.100006,292.440002,671700,290.04266,0.239943793787
2015-05-20,292.519989,292.929993,287.549988,287.670013,603000,285.311774,-1.65799814795
2015-05-21,288.450012,288.730011,287.059998,287.450012,395800,285.093576,-0.346680519466
2015-05-22,286.980011,288.029999,286.51001,286.51001,523900,284.16128,-0.163774821237
2015-05-26,286.320007,287.26001,284.630005,286.390015,697000,284.042268,0.0244509633586
2015-05-27,286.950012,290.920013,286.26001,289.73999,670900,287.364782,0.972287117381
2015-05-28,288.589996,290.269989,288.480011,289.910004,484300,287.533401,0.457399084617
2015-05-29,289.769989,289.98999,287.079987,288.179993,593600,285.817572,-0.548709687117
2015-06-01,288.920013,288.920013,286.230011,288.23999,519400,285.877078,-0.235367219093
2015-06-02,287.570007,289.200012,285.75,286.519989,380700,284.171177,-0.365134740912
2015-06-03,286.679993,287.700012,286.209991,287.26001,328500,284.905131,0.202322106238
2015-06-04,285.839996,286.369995,281.769989,282.209991,395400,279.896512,-1.26994299286
2015-06-05,283.01001,283.01001,278.420013,280.380005,608700,278.081527,-0.929297518487
2015-06-08,279.630005,280.220001,278.089996,278.299988,432500,276.018561,-0.475634580059
2015-06-09,278.660004,279.649994,276.890015,278.170013,351800,275.889652,-0.175838295043
2015-06-10,279.130005,282.839996,277.570007,282.48999,739800,280.174215,1.20373479734
2015-06-11,283.48999,284.820007,282.529999,282.769989,375500,280.451918,-0.253977574305
2015-06-12,282.0,283.48999,280.25,280.910004,335700,278.607181,-0.386523404255
2015-06-15,279.329987,280.570007,278.089996,278.859985,391300,276.573968,-0.168260488266
2015-06-16,279.079987,279.269989,277.480011,279.109985,328700,276.821918,0.0107488897081
2015-06-17,280.350006,281.589996,278.609985,280.230011,588300,277.932762,-0.0428018539083
2015-06-18,281.540009,283.899994,281.350006,283.51001,473400,281.185873,0.699723285155
2015-06-19,284.649994,284.720001,281.869995,281.98999,1757200,279.678314,-0.934482366439
2015-06-22,283.190002,285.470001,282.579987,285.179993,552400,282.842166,0.702705245929
2015-06-23,286.0,286.290009,283.559998,284.519989,415700,282.187572,-0.517486363636
2015-06-24,284.149994,284.149994,281.980011,281.980011,416400,279.668416,-0.76367518769
2015-06-25,282.589996,284.029999,281.720001,282.600006,399500,280.283329,0.00354223438257
2015-06-26,282.850006,284.369995,281.5,283.089996,543900,280.769302,0.0848470902984
2015-06-29,279.630005,281.790009,276.25,276.269989,769100,274.005204,-1.20159351283
2015-06-30,277.720001,278.910004,275.0,275.019989,504800,272.765451,-0.972206535459
2015-07-01,276.160004,281.149994,275.320007,280.809998,597400,278.507994,1.68380429195
2015-07-02,282.269989,282.390015,277.380005,277.670013,506800,275.393751,-1.629636936
2015-07-06,275.0,281.170013,275.0,279.959991,589200,277.664956,1.80363309091
2015-07-07,280.959991,283.970001,279.619995,283.630005,698700,281.304884,0.950318225202
2015-07-08,282.140015,284.109985,280.940002,280.940002,834200,278.636934,-0.425325347771
2015-07-09,284.420013,285.0,277.140015,277.410004,654500,275.135873,-2.46466798382
2015-07-10,278.5,280.0,276.709991,278.209991,683300,275.929303,-0.104132495512
2015-07-13,280.559998,282.470001,279.440002,282.079987,538200,279.767572,0.541769678798
2015-07-14,281.329987,284.660004,281.059998,284.279999,565300,281.94955,1.04859493702
2015-07-15,284.0,285.940002,282.01001,282.160004,968400,279.846934,-0.647885915493
2015-07-16,256.070007,266.690002,250.270004,261.230011,7164700,259.088519,2.01507551019
2015-07-17,261.23999,269.0,259.690002,266.01001,2193000,263.829333,1.82591493745
2015-07-20,266.01001,270.029999,265.0,267.619995,1110500,265.42612,0.605234742858
2015-07-21,268.970001,270.51001,266.380005,266.98999,981700,264.80128,-0.736145664066
2015-07-22,267.0,274.660004,267.0,273.690002,1286500,271.446367,2.50561872659
2015-07-23,273.440002,273.440002,269.549988,270.480011,737200,268.26269,-1.08250108922
2015-07-24,270.459991,271.23999,265.640015,267.119995,694100,264.930219,-1.23493163911
2015-07-27,266.040009,267.119995,264.549988,266.040009,565000,263.859086,0.0
2015-07-28,265.48999,273.959991,265.48999,273.839996,806800,271.595131,3.14513025519
2015-07-29,274.230011,280.51001,273.149994,278.799988,948400,276.514462,1.666475884
2015-07-30,278.200012,279.0,275.799988,277.920013,583500,275.641702,-0.10064665274
2015-07-31,279.459991,279.890015,277.480011,277.76001,783400,275.48301,-0.608309258838
2015-08-03,278.320007,279.190002,276.190002,278.209991,633100,275.929303,-0.0395285991783
2015-08-04,278.230011,279.730011,277.040009,277.519989,396800,275.244957,-0.255192456575
2015-08-05,280.0,280.0,273.899994,274.670013,898300,272.418344,-1.90356678571
2015-08-06,273.850006,275.48999,270.429993,271.720001,728000,269.492515,-0.77779987341
2015-08-07,271.23999,271.279999,267.540009,269.339996,706600,267.132021,-0.700484467648
2015-08-10,271.940002,274.220001,270.339996,273.48999,507100,271.247995,0.569974254836
2015-08-11,270.809998,271.950012,268.950012,271.019989,650100,268.798242,0.0775418195601
2015-08-12,269.700012,274.0,267.470001,273.170013,723000,271.602086,1.28661507067
2015-08-13,273.640015,278.809998,271.649994,276.01001,554200,274.425782,0.866099572462
2015-08-14,275.589996,281.200012,274.679993,279.369995,567800,277.766482,1.37160240026
2015-08-17,279.359985,286.48999,278.480011,284.690002,791400,283.055953,1.90793860474
2015-08-18,285.0,288.459991,283.160004,285.070007,718400,283.433777,0.0245638596491
2015-08-19,283.869995,285.149994,281.700012,281.920013,721100,280.301863,-0.686927831171
2015-08-20,279.470001,279.820007,268.559998,268.920013,1171200,267.37648,-3.7749983763
2015-08-21,266.01001,266.630005,258.230011,261.350006,1633600,259.849923,-1.75181527943
2015-08-24,251.619995,265.76001,250.720001,254.320007,1543800,252.860274,1.07305144808
2015-08-25,262.549988,263.309998,248.5,248.649994,1255500,247.222805,-5.29422762724
2015-08-26,253.75,256.100006,249.100006,255.550003,969000,254.08321,0.709360788177
2015-08-27,258.450012,262.410004,255.309998,259.369995,671300,257.881277,0.355961678191
2015-08-28,258.440002,259.910004,256.140015,258.109985,498200,256.628499,-0.127695789137
2015-08-31,256.829987,259.670013,255.110001,255.809998,613100,254.341713,-0.397145602784
2015-09-01,251.809998,253.449997,247.589996,248.529999,661000,247.103499,-1.30256901078
2015-09-02,251.380005,254.119995,249.279999,254.119995,673100,252.66141,1.08997929251
2015-09-03,255.0,258.480011,254.520004,255.869995,557900,254.401366,0.341174509804
2015-09-04,253.380005,256.170013,252.039993,253.860001,505100,252.402908,0.189437205197
2015-09-08,258.049988,261.670013,256.459991,261.630005,462100,260.128314,1.38733468959
2015-09-09,264.589996,265.0,256.980011,257.279999,595800,255.803276,-2.76276394063
2015-09-10,256.299988,258.920013,254.910004,255.660004,649600,254.19258,-0.249701143178
2015-09-11,255.0,256.369995,253.720001,255.660004,537700,254.19258,0.258825098039
2015-09-14,256.48999,257.059998,251.119995,251.949997,822000,250.503867,-1.77004685446
2015-09-15,253.699997,254.520004,250.210007,250.669998,963600,249.231215,-1.19432362469
2015-09-16,250.669998,254.990005,248.75,250.630005,1084000,249.191452,-0.0159544422225
2015-09-17,250.630005,257.679993,248.800003,253.169998,1006400,251.716866,1.01344330261
2015-09-18,248.399994,250.740005,245.960007,246.649994,944100,245.234285,-0.7045088737
2015-09-21,248.639999,249.520004,243.529999,244.270004,1144600,242.867956,-1.75755912869
2015-09-22,241.830002,241.919998,235.75,237.25,1919000,235.888245,-1.89389321512
2015-09-23,234.960007,237.979996,232.339996,232.619995,1662300,231.284815,-0.995919275743
2015-09-24,230.970001,230.970001,224.830002,227.800003,2251800,226.492488,-1.37247174364
2015-09-25,229.820007,232.710007,226.789993,227.490005,1378500,226.18427,-1.01383775521
2015-09-28,230.149994,230.149994,219.669998,220.559998,1411600,219.294039,-4.16684607865
2015-09-29,220.259995,223.279999,218.270004,218.940002,1609200,217.683342,-0.59928858166
2015-09-30,221.949997,225.169998,221.289993,222.779999,2530800,221.501298,0.373959004829
2015-10-01,222.759995,232.990005,220.429993,231.919998,2226200,230.588836,4.11205028084
2015-10-02,229.570007,237.190002,227.300003,237.0,1587500,235.63968,3.23648245565
2015-10-05,238.839996,242.229996,238.839996,241.169998,1148400,239.785743,0.97554933806
2015-10-06,240.75,242.130005,235.600006,236.679993,1208400,235.321509,-1.69055327103
2015-10-07,232.759995,241.059998,232.5,239.119995,837300,237.747506,2.73242831097
2015-10-08,239.100006,244.820007,237.710007,244.210007,734100,242.808303,2.13718146038
2015-10-09,243.919998,246.009995,241.130005,242.860001,682500,241.466045,-0.434567484705
2015-10-12,242.009995,244.169998,241.360001,243.770004,467400,242.370826,0.727246409802
2015-10-13,241.860001,244.990005,241.0,244.899994,812000,243.49433,1.25692259465
2015-10-14,243.509995,245.229996,242.300003,242.509995,749400,241.118048,-0.410660761584
2015-10-15,240.789993,241.199997,235.800003,236.080002,1776400,234.724962,-1.95605761739
2015-10-16,236.470001,243.470001,235.630005,243.169998,1137100,241.774264,2.8333391008
2015-10-19,242.070007,244.110001,238.929993,242.869995,872800,241.475982,0.330477951364
2015-10-20,242.759995,243.720001,238.440002,239.600006,811800,238.224762,-1.30169264503
2015-10-21,240.550003,241.949997,236.259995,238.360001,899300,236.991874,-0.910414455493
2015-10-22,240.770004,247.429993,238.660004,246.929993,1012600,245.512677,2.55845366851
2015-10-23,249.259995,249.929993,243.509995,245.770004,616000,244.359346,-1.4001408449
2015-10-26,246.889999,247.720001,243.339996,247.240005,736300,245.82091,0.141765969224
2015-10-27,245.0,245.0,240.289993,241.910004,1022600,240.521501,-1.26122285714
2015-10-28,242.330002,247.309998,241.25,246.759995,1348700,245.343654,1.82808276459
2015-10-29,259.970001,261.850006,249.0,258.109985,2172500,256.628499,-0.715473321093
2015-10-30,260.519989,269.859985,258.040009,266.829987,1861900,265.29845,2.42207825366
2015-11-02,268.420013,270.720001,265.420013,269.829987,1011700,268.28123,0.525286465879
2015-11-03,269.570007,270.540009,267.299988,269.98999,779000,268.440316,0.155797376969
2015-11-04,271.26001,272.209991,268.040009,270.700012,827700,269.146262,-0.206443257154
2015-11-05,271.48999,272.190002,267.529999,268.109985,1016300,266.571101,-1.24498328649
2015-11-06,267.579987,268.920013,264.850006,267.230011,681700,265.696178,-0.130793040213
2015-11-09,267.519989,267.700012,263.579987,266.559998,526500,265.03001,-0.358848325162
2015-11-10,265.23999,266.51001,263.049988,264.570007,444800,263.714286,-0.252595017818
2015-11-11,264.880005,267.640015,262.779999,266.119995,516500,265.25926,0.468132730517
2015-11-12,264.410004,265.25,261.329987,262.089996,509900,261.242296,-0.877428223177
2015-11-13,262.299988,264.970001,259.519989,262.630005,719100,261.780558,0.125816627944
2015-11-16,262.630005,267.519989,260.279999,266.910004,710400,266.046714,1.62966870446
2015-11-17,267.339996,273.170013,267.01001,269.730011,992500,268.8576,0.893998292721
2015-11-18,268.440002,273.0,268.190002,272.609985,641900,271.728259,1.55341341415
2015-11-19,273.0,275.0,272.200012,272.820007,553200,271.937602,-0.0659315018315
2015-11-20,272.619995,275.929993,272.0,274.279999,767300,273.392871,0.608907648172
2015-11-23,274.279999,279.459991,274.279999,275.440002,716600,274.549123,0.422926572929
2015-11-24,272.559998,278.529999,271.399994,276.320007,649100,275.426282,1.37951607998
2015-11-25,277.48999,277.649994,275.109985,275.779999,425100,274.88802,-0.616235201854
2015-11-27,276.179993,278.470001,275.190002,276.829987,200900,275.934611,0.235351588267
2015-11-30,276.730011,276.769989,273.690002,276.070007,868700,275.17709,-0.238501056541
2015-12-01,277.070007,282.0,276.609985,277.559998,651000,276.662261,0.176847362623
2015-12-02,277.76001,277.76001,272.100006,273.209991,690300,272.326325,-1.63811162017
2015-12-03,274.209991,274.350006,264.670013,266.01001,1029600,265.149631,-2.99040197992
2015-12-04,267.839996,272.559998,267.769989,272.420013,703100,271.538902,1.70998247775
2015-12-07,271.049988,273.920013,268.119995,270.600006,463800,269.724781,-0.166014395839
2015-12-08,268.049988,273.329987,268.019989,270.859985,496300,269.983919,1.04831080985
2015-12-09,269.670013,273.829987,266.970001,267.709991,447000,266.844114,-0.72682237754
2015-12-10,269.220001,269.98999,266.0,266.540009,497800,265.677915,-0.995465414919
2015-12-11,266.540009,266.540009,261.299988,261.880005,720000,261.032984,-1.74833189865
2015-12-14,262.140015,263.589996,260.209991,263.339996,490400,262.488253,0.457763382672
2015-12-15,266.149994,266.839996,262.720001,263.390015,616300,262.53811,-1.03700133843
2015-12-16,266.179993,270.230011,265.100006,269.519989,788900,268.648257,1.25478852199
2015-12-17,270.48999,271.0,263.079987,263.200012,570800,262.348722,-2.69510084273
2015-12-18,261.019989,261.75,256.089996,256.230011,772700,255.401264,-1.83510006967
2015-12-21,258.140015,261.329987,254.690002,261.089996,826400,260.24553,1.14278330696
2015-12-22,262.049988,262.940002,259.73999,261.850006,381300,261.003082,-0.0763144473031
2015-12-23,263.779999,268.309998,263.25,267.149994,451100,266.285928,1.27757791067
2015-12-24,266.320007,268.440002,264.829987,265.170013,113600,264.312351,-0.431809090483
2015-12-28,263.25,265.73999,263.25,264.230011,304400,263.375389,0.372273884141
2015-12-29,266.01001,266.380005,263.910004,264.890015,425400,264.033258,-0.421034907671
2015-12-30,263.950012,266.390015,261.700012,262.450012,529100,261.601147,-0.568289422923
2015-12-31,261.410004,263.5,259.589996,259.600006,618100,258.760359,-0.692398137908
2016-01-04,257.309998,260.040009,251.110001,254.75,1135000,253.92604,-0.994908095254
2016-01-05,256.570007,258.660004,254.839996,255.779999,757300,254.952707,-0.307911282865
2016-01-06,251.020004,252.320007,246.520004,248.380005,790300,247.576648,-1.05170861204
2016-01-07,243.630005,249.089996,240.559998,241.570007,880300,240.788677,-0.845543634907
2016-01-08,243.399994,244.770004,241.029999,241.770004,1197600,240.988027,-0.669675447897
2016-01-11,242.5,243.899994,239.539993,241.970001,724900,241.187377,-0.21855628866
2016-01-12,243.850006,246.919998,243.059998,246.419998,1018300,245.622981,1.05392328758
2016-01-13,247.830002,247.830002,240.429993,241.160004,586000,240.379999,-2.69136018487
2016-01-14,243.660004,246.509995,241.020004,243.240005,834600,242.453273,-0.172370923871
2016-01-15,238.479996,243.529999,237.259995,242.100006,883500,241.316961,1.51795121634
2016-01-19,243.490005,243.960007,236.039993,239.350006,1027100,238.575856,-1.7002747197
2016-01-20,240.0,245.770004,234.960007,245.369995,2186800,244.576374,2.23749791667
2016-01-21,245.190002,249.880005,239.889999,245.970001,1631400,245.174439,0.318120230694
2016-01-22,248.429993,254.100006,247.070007,250.009995,962500,249.201366,0.635994865564
2016-01-25,248.399994,249.679993,243.940002,244.139999,865600,243.350356,-1.71497387395
2016-01-26,245.809998,250.399994,244.580002,249.419998,732500,248.613278,1.46861398209
2016-01-27,249.419998,255.089996,247.279999,252.25,1416800,251.434126,1.134633158
2016-01-28,243.350006,258.269989,243.350006,249.660004,1993700,248.852507,2.59297219824
2016-01-29,250.460007,259.559998,250.460007,255.669998,1347500,254.843063,2.08016883111
2016-02-01,249.990005,256.839996,245.809998,254.850006,779300,254.025723,1.94407812424
2016-02-02,253.360001,255.100006,248.110001,248.949997,646200,248.144796,-1.74060782388
