Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,34.889999,34.950001,34.25,34.400002,4344500,31.983447,-1.40440531397
2015-05-12,34.310001,35.060001,34.060001,35.0,4783100,32.541297,2.01107251498
2015-05-13,34.91,35.130001,34.220001,34.349998,5368100,31.936957,-1.6041306216
2015-05-14,34.43,34.5,34.209999,34.34,2715700,31.927661,-0.261399941911
2015-05-15,34.400002,34.599998,34.349998,34.5,2711900,32.076421,0.290691843564
2015-05-18,34.52,34.720001,34.360001,34.400002,2817200,31.983447,-0.347618771727
2015-05-19,34.380001,34.419998,33.75,33.959999,5358600,31.574355,-1.22164627046
2015-05-20,34.060001,34.560001,33.990002,34.360001,4611400,31.946256,0.880798564862
2015-05-21,34.43,34.48,34.099998,34.25,4288400,31.843983,-0.522799883822
2015-05-22,34.25,34.360001,33.82,33.950001,4925900,31.565059,-0.875909489051
2015-05-26,33.91,34.0,33.5,33.599998,4141900,31.239643,-0.914190504276
2015-05-27,33.82,34.02,33.610001,33.939999,3260000,31.555759,0.354816676523
2015-05-28,33.849998,34.07,33.82,34.060001,3972300,31.667332,0.620392946552
2015-05-29,33.57,33.799999,33.009998,33.240002,5442000,31.402806,-0.983014596366
2015-06-01,33.240002,33.369999,32.849998,32.869999,4816600,31.053254,-1.11312568513
2015-06-02,32.830002,33.119999,32.709999,32.959999,4601100,31.13828,0.395970125131
2015-06-03,32.900002,33.16,32.779999,32.990002,4347200,31.166624,0.273556214373
2015-06-04,32.860001,33.299999,32.720001,32.830002,4776900,31.015468,-0.091293363016
2015-06-05,32.740002,32.779999,32.18,32.18,3876900,30.401392,-1.71045194194
2015-06-08,32.200001,32.34,32.049999,32.220001,3783000,30.439182,0.0621117993133
2015-06-09,32.279999,32.279999,31.83,32.07,3086700,30.297471,-0.650554543078
2015-06-10,32.07,32.5,32.07,32.259998,3191800,30.476968,0.592447770502
2015-06-11,32.369999,32.830002,32.299999,32.73,3713300,30.920992,1.11214399481
2015-06-12,32.66,33.049999,32.540001,32.560001,3084400,30.76039,-0.306181873852
2015-06-15,32.450001,32.5,32.110001,32.369999,2984900,30.580889,-0.24653928362
2015-06-16,32.240002,32.369999,31.9,32.220001,3404800,30.439182,-0.0620378373426
2015-06-17,32.34,32.490002,31.98,32.209999,3219200,30.429733,-0.401982065554
2015-06-18,32.240002,32.490002,32.240002,32.360001,3733600,30.571444,0.372205311898
2015-06-19,32.34,32.599998,32.240002,32.459999,4133700,30.665915,0.371054421769
2015-06-22,32.639999,32.959999,32.5,32.650002,3486800,30.845416,0.0306464470174
2015-06-23,32.779999,33.009998,32.490002,32.549999,5070500,30.750941,-0.701647367347
2015-06-24,32.560001,32.66,31.51,31.879999,11369700,30.117972,-2.08845816682
2015-06-25,31.52,31.639999,29.889999,29.92,16783600,28.266303,-5.07614213198
2015-06-26,29.950001,30.24,29.280001,29.99,15536300,28.332434,0.133552583187
2015-06-29,30.09,30.33,29.5,29.530001,6761600,27.897859,-1.86108009305
2015-06-30,29.799999,29.860001,29.370001,29.379999,5479000,27.756149,-1.40939602045
2015-07-01,29.49,29.620001,29.379999,29.57,4763100,27.935648,0.271278399457
2015-07-02,29.58,29.690001,29.48,29.610001,3658000,27.973438,0.101423258959
2015-07-06,29.43,29.620001,29.209999,29.450001,4921700,27.822281,0.0679612640163
2015-07-07,29.530001,29.940001,29.24,29.879999,4530100,28.228513,1.18522854097
2015-07-08,29.68,29.85,29.389999,29.49,6600800,27.860069,-0.640161725067
2015-07-09,29.73,29.84,29.35,29.49,4324900,27.860069,-0.807265388496
2015-07-10,29.82,30.040001,29.620001,29.76,3685700,28.115147,-0.201207243461
2015-07-13,29.860001,30.030001,29.610001,30.0,3926900,28.341882,0.468851290393
2015-07-14,29.93,30.09,29.75,29.98,4625700,28.322987,0.167056465085
2015-07-15,29.85,29.969999,29.43,29.67,5574700,28.030121,-0.603015075377
2015-07-16,29.799999,30.530001,29.75,30.49,5894300,28.804799,2.31543967501
2015-07-17,30.5,31.129999,30.49,30.940001,9012400,29.229928,1.44262622951
2015-07-20,30.940001,31.0,30.459999,30.5,5490000,28.814246,-1.42211049056
2015-07-21,30.370001,30.389999,29.67,29.719999,4644300,28.077357,-2.14027651827
2015-07-22,29.700001,29.799999,29.110001,29.190001,4721100,27.576651,-1.71717165935
2015-07-23,29.209999,29.35,28.9,28.959999,5870200,27.359362,-0.855871306261
2015-07-24,29.049999,29.049999,28.01,28.030001,6520600,26.480765,-3.51118084376
2015-07-27,27.959999,28.299999,27.5,28.120001,5833200,26.565791,0.572253239351
2015-07-28,28.33,28.469999,27.98,28.219999,4480200,26.660263,-0.388284504059
2015-07-29,28.120001,28.18,27.780001,28.16,6479000,26.603579,0.142243949422
2015-07-30,28.120001,28.219999,27.870001,28.16,5565400,26.603579,0.142243949422
2015-07-31,28.42,29.059999,28.379999,28.6,6925000,27.019261,0.633356790992
2015-08-03,28.74,29.030001,28.4,28.9,6371700,27.302679,0.556715379262
2015-08-04,28.879999,28.889999,28.370001,28.43,5086300,26.858657,-1.5581683365
2015-08-05,28.66,28.91,28.4,28.559999,5688900,26.981471,-0.348921842289
2015-08-06,27.52,28.059999,26.48,27.93,13508100,26.386292,1.4898255814
2015-08-07,27.9,28.07,27.33,27.65,7704900,26.121767,-0.89605734767
2015-08-10,27.82,28.799999,27.719999,28.76,5873000,27.170417,3.37886412653
2015-08-11,28.620001,28.92,28.1,28.24,4552800,26.679158,-1.32774628484
2015-08-12,27.99,28.549999,27.639999,28.530001,5304400,26.95313,1.92926402287
2015-08-13,28.549999,28.620001,27.75,27.969999,5846300,26.42408,-2.03152371389
2015-08-14,27.99,28.379999,27.99,28.27,3816300,26.7075,1.00035727045
2015-08-17,28.1,28.58,27.959999,28.42,3292400,26.849209,1.13879003559
2015-08-18,28.309999,28.610001,28.049999,28.120001,4753400,26.565791,-0.671133898662
2015-08-19,28.0,28.540001,27.92,28.370001,3766300,26.801974,1.32143214286
2015-08-20,28.16,28.23,27.700001,27.709999,3760700,26.17845,-1.59801491477
2015-08-21,27.59,27.950001,27.110001,27.110001,5755100,25.611614,-1.73975715839
2015-08-24,25.76,26.690001,24.809999,25.860001,10127900,24.430703,0.388202639752
2015-08-25,26.59,26.59,25.16,25.17,7080000,23.778839,-5.34035351636
2015-08-26,25.76,26.52,25.34,26.370001,8906200,24.912515,2.36801630435
2015-08-27,26.67,26.799999,26.219999,26.74,7642400,25.262064,0.262467191601
2015-08-28,26.700001,27.27,26.620001,27.040001,4785200,25.545484,1.27340819201
2015-08-31,26.98,27.290001,26.809999,27.040001,5508900,25.545484,0.222390659748
2015-09-01,26.58,26.65,25.77,25.9,6195500,24.468491,-2.5583145222
2015-09-02,26.379999,27.16,26.110001,27.0,10175400,25.507693,2.35026923238
2015-09-03,26.379999,26.940001,26.379999,26.77,5027400,25.806537,1.47839656855
2015-09-04,26.379999,26.4,26.08,26.18,5944700,25.237771,-0.758146351711
