Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-03-09,7.59,7.61,7.5,7.55,14179700,7.000577,-0.527009222661
2015-03-10,7.38,7.39,7.27,7.29,13430900,6.854829,-1.21951219512
2015-03-11,7.29,7.44,7.25,7.36,12106500,6.920651,0.960219478738
2015-03-12,7.42,7.47,7.33,7.36,9792700,6.920651,-0.808625336927
2015-03-13,7.31,7.38,7.27,7.28,17359600,6.845426,-0.410396716826
2015-03-16,7.29,7.36,7.27,7.36,10511300,6.920651,0.960219478738
2015-03-17,7.3,7.43,7.3,7.39,8816700,6.94886,1.23287671233
2015-03-18,7.33,7.6,7.32,7.52,10741200,7.071099,2.59208731241
2015-03-19,7.5,7.56,7.35,7.39,8216400,6.94886,-1.46666666667
2015-03-20,7.4,7.47,7.39,7.39,15003900,6.94886,-0.135135135135
2015-03-23,7.4,7.5,7.36,7.4,7435700,6.958263,0.0
2015-03-24,7.4,7.44,7.37,7.39,5469300,6.94886,-0.135135135135
2015-03-25,7.41,7.45,7.29,7.29,6625600,6.854829,-1.61943319838
2015-03-26,7.29,7.38,7.28,7.28,6468000,6.845426,-0.137174211248
2015-03-27,7.27,7.34,7.22,7.32,5543100,6.883038,0.687757909216
2015-03-30,7.32,7.38,7.27,7.32,4482200,6.883038,0.0
2015-03-31,7.33,7.41,7.05,7.05,13123700,6.629156,-3.81991814461
2015-04-01,7.11,7.3,6.92,7.29,11612300,6.854829,2.53164556962
2015-04-02,7.29,7.4,7.27,7.32,5927500,6.883038,0.411522633745
2015-04-06,7.31,7.35,7.26,7.33,7256500,6.892441,0.273597811218
2015-04-07,7.4,7.45,7.25,7.25,4990200,6.817217,-2.02702702703
2015-04-08,7.34,7.39,7.24,7.27,8385700,6.836023,-0.953678474114
2015-04-09,7.31,7.44,7.24,7.33,15611400,6.892441,0.273597811218
2015-04-10,7.28,7.5,7.28,7.43,11179300,6.986472,2.06043956044
2015-04-13,7.41,7.43,7.33,7.33,4582000,6.892441,-1.07962213225
2015-04-14,7.3,7.37,7.28,7.31,4741000,6.873635,0.13698630137
2015-04-15,7.32,7.35,7.22,7.25,8044600,6.817217,-0.956284153005
2015-04-16,7.22,7.24,7.11,7.15,6621400,6.723186,-0.969529085873
2015-04-17,7.08,7.12,7.01,7.02,8001500,6.600946,-0.847457627119
2015-04-20,7.05,7.09,7.0,7.04,5822000,6.619753,-0.141843971631
2015-04-21,7.04,7.12,7.02,7.06,3273500,6.638559,0.284090909091
2015-04-22,7.06,7.11,7.03,7.1,3987400,6.676171,0.56657223796
2015-04-23,7.09,7.17,7.07,7.07,8227200,6.647962,-0.282087447109
2015-04-24,7.07,7.13,7.01,7.03,4494300,6.61035,-0.565770862801
2015-04-27,7.05,7.05,6.87,6.87,7001800,6.459901,-2.55319148936
2015-04-28,6.87,7.02,6.73,7.02,7715400,6.600946,2.18340611354
2015-04-29,7.0,7.04,6.89,6.91,5372300,6.497513,-1.28571428571
2015-04-30,6.87,6.91,6.81,6.86,8506700,6.450498,-0.145560407569
2015-05-01,6.91,6.91,6.8,6.86,7079000,6.450498,-0.723589001447
2015-05-04,6.9,6.9,6.81,6.87,5394600,6.459901,-0.434782608696
2015-05-05,6.81,6.87,6.71,6.74,10247900,6.337661,-1.02790014684
2015-05-06,6.4,6.55,5.93,5.94,39534100,5.585416,-7.1875
2015-05-07,6.03,6.04,5.9,5.95,13640300,5.594819,-1.32669983416
2015-05-08,6.0,6.04,5.97,6.0,8202300,5.641835,0.0
2015-05-11,5.98,6.0,5.84,5.84,22028900,5.491386,-2.34113712375
2015-05-12,5.8,5.84,5.68,5.7,14082900,5.359743,-1.72413793103
2015-05-13,5.74,5.76,5.44,5.46,31382100,5.13407,-4.87804878049
2015-05-14,5.48,5.5,5.33,5.42,18443900,5.096457,-1.09489051095
2015-05-15,5.43,5.65,5.43,5.64,14050700,5.303324,3.86740331492
2015-05-18,5.65,5.68,5.54,5.56,13695500,5.2281,-1.59292035398
2015-05-19,5.56,5.58,5.34,5.38,18677800,5.058845,-3.23741007194
2015-05-20,5.4,5.43,5.32,5.34,12991300,5.021233,-1.11111111111
2015-05-21,5.37,5.42,5.31,5.34,10731800,5.021233,-0.558659217877
2015-05-22,5.34,5.39,5.14,5.16,20584400,4.851978,-3.37078651685
2015-05-26,5.1,5.15,4.9,4.92,20103200,4.7224,-3.52941176471
2015-05-27,5.18,5.36,5.04,5.28,39374000,5.067942,1.9305019305
2015-05-28,5.3,5.36,5.17,5.17,14017900,4.962359,-2.45283018868
2015-05-29,5.18,5.2,5.03,5.15,21994100,4.943163,-0.579150579151
2015-06-01,5.19,5.19,5.05,5.08,12207900,4.875974,-2.11946050096
2015-06-02,5.07,5.23,5.06,5.16,31492600,4.952761,1.77514792899
2015-06-03,5.23,5.52,5.23,5.38,57767300,5.163925,2.86806883365
2015-06-04,5.36,5.36,5.0,5.0,85033400,4.799187,-6.71641791045
2015-06-05,5.07,5.13,4.96,4.97,223165600,4.770392,-1.97238658777
2015-06-08,5.05,5.1,4.99,5.03,63628100,4.827982,-0.39603960396
2015-06-09,5.03,5.06,4.93,4.96,52552400,4.760793,-1.3916500994
2015-06-10,5.05,5.05,4.94,4.98,30980300,4.77999,-1.38613861386
2015-06-11,5.01,5.02,4.96,5.01,25697800,4.808785,0.0
2015-06-12,4.99,5.03,4.95,4.96,21226900,4.760793,-0.60120240481
2015-06-15,4.95,4.96,4.86,4.88,27438000,4.684007,-1.41414141414
2015-06-16,4.97,5.02,4.93,4.97,27955600,4.770392,0.0
2015-06-17,5.02,5.03,4.95,4.98,19070200,4.77999,-0.796812749004
2015-06-18,5.0,5.02,4.98,5.0,16583800,4.799187,0.0
2015-06-19,4.98,5.05,4.97,5.03,40784200,4.827982,1.00401606426
2015-06-22,5.03,5.06,4.97,5.02,17741500,4.818384,-0.198807157058
2015-06-23,5.04,5.13,5.03,5.09,21570400,4.885572,0.992063492063
2015-06-24,5.1,5.12,5.0,5.07,19929800,4.866376,-0.588235294118
2015-06-25,5.12,5.12,5.03,5.08,16998200,4.875974,-0.78125
2015-06-26,5.08,5.08,5.01,5.01,23194400,4.808785,-1.37795275591
2015-06-29,4.99,5.04,4.91,4.93,28163700,4.731998,-1.20240480962
2015-06-30,5.02,5.02,4.93,4.95,27002700,4.751195,-1.39442231076
2015-07-01,5.0,5.0,4.91,4.95,21374700,4.751195,-1.0
2015-07-02,4.98,4.98,4.84,4.85,18450500,4.655211,-2.61044176707
2015-07-06,4.82,4.95,4.81,4.92,36948500,4.7224,2.07468879668
2015-07-07,4.92,4.93,4.8,4.88,24315500,4.684007,-0.813008130081
2015-07-08,4.85,4.88,4.8,4.83,16293500,4.636014,-0.412371134021
2015-07-09,4.86,4.88,4.79,4.81,24995300,4.616818,-1.02880658436
2015-07-10,4.85,4.9,4.83,4.9,13331400,4.703203,1.03092783505
2015-07-13,4.93,5.0,4.9,4.98,16262000,4.77999,1.01419878296
2015-07-14,4.98,5.0,4.9,4.93,18880500,4.731998,-1.00401606426
2015-07-15,4.92,4.93,4.85,4.88,17538500,4.684007,-0.813008130081
2015-07-16,4.97,5.04,4.89,5.03,25962900,4.827982,1.20724346076
2015-07-17,5.03,5.31,5.02,5.14,41797800,4.933564,2.18687872763
2015-07-20,5.17,5.17,4.96,5.01,27376100,4.808785,-3.09477756286
2015-07-21,5.01,5.02,4.86,4.87,24297600,4.674408,-2.79441117764
2015-07-22,4.87,4.9,4.78,4.79,17031400,4.597621,-1.64271047228
2015-07-23,4.78,4.82,4.75,4.77,10214900,4.578424,-0.209205020921
2015-07-24,4.78,4.8,4.52,4.54,26144700,4.357662,-5.02092050209
2015-07-27,4.52,4.63,4.19,4.59,25024200,4.405654,1.54867256637
2015-07-28,4.57,4.65,4.44,4.61,20123100,4.42485,0.875273522976
2015-07-29,4.61,4.69,4.53,4.68,12442800,4.492039,1.51843817787
2015-07-30,4.67,4.7,4.6,4.63,10248900,4.444047,-0.856531049251
2015-07-31,4.61,4.8,4.61,4.72,32936800,4.530432,2.38611713666
2015-08-03,5.07,5.19,4.94,5.15,57120800,4.943163,1.57790927022
2015-08-04,5.21,5.26,5.13,5.25,34015300,5.039146,0.767754318618
2015-08-05,5.28,5.29,5.1,5.11,24617500,4.904769,-3.2196969697
