Date,Open,High,Low,Close,Volume,Adj Close,perc_change
2015-05-11,52.369999,52.939999,51.959999,52.060001,1964800,50.313623,-0.591938143822
2015-05-12,51.77,51.990002,51.299999,51.68,2146600,49.946369,-0.173845856674
2015-05-13,51.82,52.189999,50.75,50.939999,1837600,49.231191,-1.69818795832
2015-05-14,51.09,51.59,51.09,51.43,2058600,49.704756,0.665492268546
2015-05-15,51.599998,52.220001,51.509998,52.009998,2189000,50.265297,0.794573674208
2015-05-18,51.869999,52.68,51.869999,52.52,1964800,50.758191,1.25313478414
2015-05-19,52.240002,53.07,52.099998,53.009998,2803900,51.231752,1.47395859594
2015-05-20,53.0,53.32,52.720001,52.849998,2897900,51.077119,-0.283022641509
2015-05-21,52.889999,53.189999,52.610001,53.150002,1961300,51.367058,0.491591992656
2015-05-22,52.990002,53.060001,52.209999,52.709999,2567100,50.941816,-0.528407226707
2015-05-26,52.689999,52.709999,51.98,52.68,1944700,50.912824,-0.0189770358508
2015-05-27,52.650002,53.290001,52.52,53.259998,2030700,51.473365,1.15858685058
2015-05-28,53.220001,53.5,53.0,53.360001,2835900,51.570013,0.263058995433
2015-05-29,53.5,53.82,53.279999,53.470001,2641400,51.676324,-0.0560728971963
2015-06-01,53.790001,53.959999,53.419998,53.66,2527700,51.859949,-0.241682464367
2015-06-02,53.32,53.459999,52.220001,52.900002,3136200,51.125445,-0.787693173293
2015-06-03,52.73,52.799999,51.52,51.970001,3445100,50.226642,-1.44130286364
2015-06-04,51.77,52.110001,51.650002,51.849998,2501700,50.110665,0.154525787135
2015-06-05,51.790001,51.790001,50.84,51.360001,4312300,49.637104,-0.830276099049
2015-06-08,51.369999,51.369999,50.759998,50.790001,2289600,49.086225,-1.12905978449
2015-06-09,51.330002,51.43,50.240002,50.330002,3562400,48.641657,-1.94817837724
2015-06-10,50.66,50.869999,50.380001,50.43,3033000,48.738301,-0.454007106198
2015-06-11,50.77,51.119999,50.43,50.619999,2872600,48.921926,-0.295452038605
2015-06-12,50.389999,50.509998,50.080002,50.240002,2002900,48.554676,-0.297672163081
2015-06-15,50.169998,50.189999,49.650002,49.810001,2658800,48.1391,-0.717554343933
2015-06-16,49.66,50.139999,49.459999,50.110001,2081900,48.429036,0.906163914619
2015-06-17,50.110001,50.869999,50.02,50.799999,2131000,49.095888,1.37696664584
2015-06-18,50.810001,51.900002,50.75,51.689999,2552700,49.956032,1.73193856068
2015-06-19,51.599998,51.77,51.080002,51.080002,4780600,49.366498,-1.00774422511
2015-06-22,51.34,51.450001,50.830002,51.150002,2353600,49.434149,-0.370077911959
2015-06-23,51.080002,51.259998,50.150002,50.439999,2364800,48.747964,-1.25294239417
2015-06-24,50.549999,50.720001,49.75,49.849998,4142500,48.177756,-1.38476956251
2015-06-25,50.009998,50.049999,49.509998,49.599998,3418800,47.936142,-0.81983606558
2015-06-26,49.110001,49.740002,48.77,49.700001,3099400,48.477492,1.20138462225
2015-06-29,49.639999,50.349998,49.279999,49.330002,2662800,48.116594,-0.624490342959
2015-06-30,49.650002,49.650002,48.91,49.099998,3082300,47.892248,-1.10776229173
2015-07-01,49.23,49.470001,49.07,49.380001,3031100,48.165363,0.304694292098
2015-07-02,49.68,50.18,49.52,49.790001,3714700,48.565278,0.221419082126
2015-07-06,49.610001,50.099998,49.529999,50.029999,2697800,48.799373,0.846599458847
2015-07-07,50.299999,51.650002,50.25,51.400002,4067100,50.135676,2.18688473533
2015-07-08,51.400002,51.77,51.18,51.43,3034600,50.164937,0.0583618654334
2015-07-09,51.52,51.52,50.580002,50.700001,2557800,49.452894,-1.59161296584
2015-07-10,50.889999,51.740002,50.560001,51.119999,2178900,49.862561,0.451955206366
2015-07-13,51.299999,51.59,51.0,51.220001,1609300,49.960104,-0.155941523508
2015-07-14,51.259998,51.619999,50.91,51.0,2209300,49.745514,-0.507214221897
2015-07-15,50.91,51.490002,50.759998,51.419998,1676700,50.155181,1.00176389707
2015-07-16,51.540001,52.330002,51.540001,52.27,1457300,50.984275,1.41637366286
2015-07-17,52.119999,52.150002,51.32,51.330002,2419300,50.067399,-1.51572719716
2015-07-20,51.279999,51.450001,50.82,51.189999,1428400,49.930839,-0.175507023703
2015-07-21,51.080002,51.16,50.34,50.599998,2105900,49.355352,-0.939710221625
2015-07-22,50.630001,51.48,50.59,51.32,3136400,50.057642,1.3628263606
2015-07-23,51.139999,51.27,50.150002,50.330002,2534700,49.091996,-1.58388153273
2015-07-24,50.290001,50.580002,50.110001,50.349998,2835000,49.111501,0.119302045749
2015-07-27,50.439999,51.869999,50.439999,51.830002,3111000,50.5551,2.75575540753
2015-07-28,51.73,52.290001,51.560001,52.279999,4114900,50.994028,1.06321090276
2015-07-29,51.900002,52.689999,51.66,52.34,3111900,51.052553,0.847780314151
